Class,Order,Family,Species,Common Name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal
,,Tyrannosauridae,Tyrannosaurus rex,Tyrannosaurus,,10,13,0,5,40
,,Caudipteridae,Caudipteryx dongi,Caudipteryx,,12,9,0,5,22
,,Scansoriopterygidae,Epidexipteryx hui,Epidexipteryx,,9,14,0,7,16
,,Anchiornithidae,Anchiornis huxleyi,Anchiornis,,10,12,0,5,31
,,Dromaeosauridae,Deinonychus antirrhopus,Deinonychus,,8,13,0,5,38
,,Archaeopterygidae,Archaeopteryx lithographica,Archaeopteryx,,9,14,0,5.5,21.5
,,Omnivoropterygidae,Sapeornis chaoyangensis,Sapeornis,,10.5,13,0,7,6.5
,,Jeholornithidae,Jeholornis prima,Jeholornis,,9,14,0,6,25.5
,,Confuciusornithidae,Confuciusornis sanctus,Confuciusornis,,7.5,12,0,7,16
,,Songlingornithidae,Yixianornis grabaui,Yixianornis,,12,10,0,9,6
,,,Apsaravis ukhaana,Apsaravis,,12,7,0,10,6
,,,Ichthyornis dispar,Ichthyornis,,11,10,0,12,5
,,Hesperornithidae,Hesperornis regalis,Hesperornis,,17,6,0,14,10
Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,8839,15,6,0,16,6.5
Aves,Galliformes,Cracidae,Crax rubra,Great Curassow,84990,15,7,0,17,5
Aves,Galliformes,Phasianidae,Gallus gallus,Chicken,9031,14,6,0,12,6
