Scientific Name,Cervical,Thoracic,Lumbar,Sacral,Caudal
Megaderma frons,7,12,4,3,11
Vesperugo serotinus,7,11,5,3,11
Vesperugo noctula,7,11,5,3,11
Vesperugo pipistrellus,7,12,4,3,11
Myzopoda aurita,7,13,5,4,8
Miniopterus schrebersi,7,12,5,5,10.5
Rhinopoma,7,12,6,4,17
Icaronycteris index,7,12,7,3,13
Chilonycteris psilotis,7,12,6,5,7
Rhinopoma microphyllum,7,12,6,4,17
Chilonycteris,7,12,6,5,7
Macrotus,7,12,6,5,7
Phyllostomus,7,12,6,5,7
Desmodus rotundus,7,11,6,5,2
Thyroptera discifera,7,12,4,4,9
Myotis evotis,7,11,5,4,11
Plecotus,7,12,5,4,10
Euderma,7,11,5,4,10
Histiotus montanus,7,11,5,3,10
Eidolon helvum,7,13.5,3.5,7,3.5
Eumops perotis,7,13,6,5,10
Myotis velifer,7,11,5,5,10
Macrotus californicus,7,12,6,5,7
