species,specimen,C,T,L,S,Ca,genus
Delphinus delphis,RBINS_1.519B,7,14,20,0,23,Delphinus
Ziphius cavirostris,USNM_347645,7,10,10,0,12,Ziphius
Feresa attenuata,SMNS_8841,7,12,16,0,24,Feresa
Ziphius cavirostris,USNM_49599,7,9,10,0,12,Ziphius
Cephalorhynchus commersonii,USNM_550156,7,13,13,0,19,Cephalorhynchus
Feresa attenuta,USNM_571268,7,12,17,0,23,Feresa
Phocoena phocoena,NRM_20065226,7,13,14,0,19,Phocoena
Phocoena phocoena,NRM_865044,7,13,14,0,18,Phocoena
Delphinus delphis,USNM_500273,7,14,21,0,21,Delphinus
Phocoena phocoena,NRM_855083,7,13,14,0,20,Phocoena
Balaenoptera borealis,NRM_558432,7,13,14,0,14,Balaenoptera
Mesoplodon carlhubbsi,USNM_504128,7,10,11,0,11,Mesoplodon
Phocoena spinipinnis,USNM_395751,7,14,15,0,19,Phocoena
Balaenoptera edeni,SAM_ZM12962,7,13,13,0,13,Balaenoptera
Stenella attenuata,USNM_395390,7,15,23,0,24,Stenella
Platanista gangetica,MNHN_A7945,7,11,7,0,16,Platanista
Peponocephala electra,USNM_593799,7,14,15,0,34,Peponocephala
Stenella longirostris,PEM_N1278,7,15,20,0,21,Stenella
Lagenodelphis hosei,USNM_571619,7,14,22,0,24,Lagenodelphis
Pontoporia blainvillei,SMNS_45597,7,10,6,0,10,Pontoporia
Kogia breviceps,SMNS_7618,7,12,9,0,12,Kogia
Mesoplodon stejnegeri,USNM_550113,7,9,11,0,12,Mesoplodon
Tursiops truncatus,USNM_484529,7,12,14,0,18,Tursiops
Delphinapterus leucas,MNHN_A3246,7,11,9,0,13,Delphinapterus
Grampus griseus,USNM_347613,7,13,19,0,21,Grampus
Neophocaena phocaenoides,USNM_240002,7,13,11,0,20,Neophocaena
Neophocaena phocaenoides,SMNS_45679,7,13,11,0,19,Neophocaena
Hyperoodon planifrons,NRM_558395,7,9,10,0,12,Hyperoodon
Platanista gangetica,SMNS_45653,7,10,8,0,15,Platanista
Sousa plumbea,PEM_N1179,7,12,9,0,13,Sousa
Lissodelphis borealis,USNM_484929,7,15,33,0,23,Lissodelphis
Megaptera novaeangliae,NRM_558433,7,14,11,0,12,Megaptera
Mesoplodon mirus,USNM_504612,7,10,10,0,12,Mesoplodon
Caperea marginata,RBINS_1536,7,17,3,0,10,Caperea
Delphinapterus leucas,NRM_558404,7,11,10,0,12,Delphinapterus
Phocoena phocoena,NRM_895156,7,13,13,0,20,Phocoena
Mesoplodon bidens,USNM_594220,7,10,10,0,12,Mesoplodon
Tursiops aduncus,SMNS_45711,7,13,14,0,16,Tursiops
Globicephala macrorhynchus,USNM_593641,7,11,13,0,16,Globicephala
Inia geoffrensis,SMNS_45662,7,13,3,0,10,Inia
Phocoenoides dalli,USNM_396304,7,18,24,0,32,Phocoenoides
Phocoena phocoena,NRM_835011,7,13,14,0,19,Phocoena
Phocoena phocoena,NRM_558322,7,13,14,0,19,Phocoena
Sotalia fluviatilis,RBINS_1516,7,12,11,0,16,Sotalia
Hyperoodon planifrons,SAM_ZM41892,7,9,10,0,14,Hyperoodon
Mesoplodon densirostris,USNM_504217,7,10,10,0,13,Mesoplodon
Kogia breviceps,USNM_572932,7,12,10,0,13,Kogia
Neophocaena phocaenoides,SMNS_45681,7,13,11,0,19,Neophocaena
Pseudorca crassidens,QM_J14210,7,10,10,0,14,Pseudorca
Delphinus delphis,NRM_805172,7,14,21,0,21,Delphinus
Orcinus orca,NRM_558250,7,12,9,0,15,Orcinus
Kogia breviceps,PEM_N1862,7,12,9,0,15,Kogia
Tursiops truncatus,USNM_571388,7,12,14,0,18,Tursiops
Inia geoffrensis,USNM_49582,7,13,3,0,11,Inia
Monodon monoceros,USNM_594407,7,11,9,0,14,Monodon
Cephalorhynchus heavisidii,SAM_ZM40014,7,13,19,0,15,Cephalorhynchus
Berardius bairdii,USNM_49726,7,11,13,0,11,Berardius
Tursiops truncatus,USNM_504618,7,13,16,0,18,Tursiops
Balaenoptera acutorostrata,NRM_558397,7,11,12,0,10,Balaenoptera
Feresa attenuata,PEM_N4762,7,12,16,0,22,Feresa
Tursiops truncatus,USNM_550852,7,12,15,0,18,Tursiops
Mesoplodon grayi,PEM_N0021,7,10,11,0,13,Mesoplodon
Lagenorhynchus acutus,USNM_504164,7,15,19,0,29,Lagenorhynchus
Sotalia fluviatilis,USNM_571558,7,12,12,0,15,Sotalia
Phocoena phocoena,NRM_845002,7,13,14,0,20,Phocoena
Delphinus capensis,SMNS_45763,7,14,20,0,24,Delphinus
Sousa plumbea,USNM_550939,7,12,10,0,13,Sousa
Stenella frontalis,USNM_22017,7,14,16,0,22,Stenella
Mesoplodon stejnegeri,USNM_504731,7,9,11,0,12,Mesoplodon
Tursiops truncatus,USNM_550364,7,12,15,0,18,Tursiops
Cephalorhynchus commersonii,SAM_ZM40555,7,13,15,0,18,Cephalorhynchus
Mesoplodon layardii,SAM_ZM19931,7,10,10,0,11,Mesoplodon
Kogia sima,USNM_504221,7,13,10,0,16,Kogia
Stenella coeruleoalba,USNM_504384,7,15,22,0,25,Stenella
Peponocephala electra,SAM_ZM38245,7,14,15,0,34,Peponocephala
Steno bredanensis,SAM_ZM41124,7,12,16,0,20,Steno
Balaenoptera physalus,NRM_558434,7,15,15,0,18,Balaenoptera
Mesoplodon mirus,SAM_ZM36844,7,10,11,0,10,Mesoplodon
Sousa plumbea,PEM_N1266,7,12,9,0,14,Sousa
Lagenorhynchus australis,USNM_395347,7,13,14,0,21,Lagenorhynchus
Sousa plumbea,PEM_N1582,7,12,9,0,15,Sousa
Globicephala melas,NRM_558264,7,11,14,0,18,Globicephala
Lagenorhynchus obliquidens,USNM_504412,7,14,23,0,20,Lagenorhynchus
Stenella clymene,USNM_550532,7,15,17,0,24,Stenella
Stenella longirostris,USNM_500017,7,15,17,0,25,Stenella
Globicephala macrorhynchus,USNM_22561,7,11,12,0,18,Globicephala
Stenella frontalis,USNM_504321,7,14,16,0,22,Stenella
Orcinus orca,MNHN_A3231,7,12,9,0,17,Orcinus
Cephalorhynchus heavisidii,SAM_ZM36717,7,13,18,0,17,Cephalorhynchus
Pontoporia blainvillei,USNM_501168,7,10,6,0,9,Pontoporia
Tursiops truncatus,USNM_504906,7,13,16,0,20,Tursiops
Balaenoptera physalus,NRM_558431,7,15,14,0,16,Balaenoptera
Lagenorhynchus obscurus,SAM_ZM35681,7,13,22,0,20,Lagenorhynchus
Kogia sima,PEM_N1564,7,13,10,0,15,Kogia
Monodon monoceros,NRM_558407,7,11,9,0,14,Monodon
Balaenoptera musculus,USNM_124326,7,14,16,0,19,Balaenoptera
Mesoplodon mirus,USNM_504724,7,10,10,0,11,Mesoplodon
Physeter macrocephalus,SMNS_26429,7,11,8,0,13,Physeter
Megaptera novaeangliae,SAM_ZM02288,7,14,11,0,11,Megaptera
Phocoena spinipinnis,USNM_550782,7,14,13,0,20,Phocoena
Lagenorhynchus acutus,USNM_504153,7,15,19,0,28,Lagenorhynchus
Kogia breviceps,USNM_504737,7,12,9,0,14,Kogia
Monodon monoceros,MNHN_A3235,7,11,9,0,15,Monodon
Mesoplodon europaeus,USNM_593439,7,10,10,0,12,Mesoplodon
Phocoenoides dalli,USNM_504969,7,17,25,0,34,Phocoenoides
Eubalaena japonica,USNM_339990,7,14,11,0,12,Eubalaena
Phocoena dioptrica,USNM_571486,7,14,14,0,20,Phocoena
Mesoplodon bidens,NRM_558398,7,10,10,0,12,Mesoplodon
Mesoplodon europaeus,USNM_572952,7,10,10,0,10,Mesoplodon
Lagenorhynchus australis,USNM_395350,7,13,15,0,20,Lagenorhynchus
Lagenorhynchus acutus,USNM_504154,7,15,19,0,28,Lagenorhynchus
Phocoena spinipinnis,USNM_550785,7,14,15,0,20,Phocoena
Pseudorca crassidens,SMNS_7617,7,10,12,0,15,Pseudorca
Stenella attenuata,USNM_396028,7,15,21,0,24,Stenella
Eubalaena glacialis,USNM_593893,7,14,12,0,15,Eubalaena
Tursiops aduncus,SAM_ZM38240,7,13,14,0,17,Tursiops
Steno bredanensis,USNM_504462,7,12,14,0,21,Steno
Stenella frontalis,USNM_21915,7,14,16,0,21,Stenella
Eschrichtius robustus,USNM_593558,7,14,11,0,10,Eschrichtius
Grampus griseus,USNM_504328,7,13,17,0,21,Grampus
Orcinus orca,NRM_558251,7,12,9,0,15,Orcinus
Kogia sima,USNM_593890,7,13,11,0,14,Kogia
Lagenodelphis hosei,PEM_N827,7,14,23,0,24,Lagenodelphis
Lagenodelphis hosei,PEM_N395,7,15,21,0,25,Lagenodelphis
Stenella longirostris,USNM_395414,7,15,19,0,23,Stenella
Neophocaena phocaenoides,SMNS_45680,7,13,11,0,18,Neophocaena
Phocoena phocoena,NRM_875216,7,13,14,0,20,Phocoena
Mesoplodon europaeus,USNM_550824,7,10,11,0,11,Mesoplodon
Delphinus delphis,USNM_593770,7,15,20,0,22,Delphinus
Pseudorca crassidens,NRM_558405,7,10,10,0,14,Pseudorca
Mesoplodon densirostris,USNM_550951,7,10,10,0,11,Mesoplodon
Platanista gangetica,SMNS_45652,7,10,8,0,13,Platanista
Phocoena phocoena,USNM_571709,7,13,13,0,20,Phocoena
Hyperoodon ampullatus,RBINS_1503,7,9,10,0,12,Hyperoodon
Eubalena glacialis,NRM_558389,7,14,12,0,12,Eubalena
Cephalorhynchus heavisidii,SAM_ZM19943,7,13,19,0,15,Cephalorhynchus
Phocoena phocoena,USNM_550312,7,13,14,0,19,Phocoena
Orcinus orca,NRM_558401,7,12,9,0,16,Orcinus
Lagenorhynchus albirostris,SMNS_7591,7,14,30,0,26,Lagenorhynchus
Tursiops truncatus,USNM_572831,7,12,14,0,17,Tursiops
Mesoplodon perrini,USNM_504260,7,10,11,0,13,Mesoplodon
Orcaella brevirostris,RBINS_1512,7,13,14,0,18,Orcaella
Cephalorhynchus eutropia,NRM_616647,7,13,16,0,18,Cephalorhynchus
Lagenorhynchus obliquidens,USNM_504415,7,14,22,0,20,Lagenorhynchus
Stenella coeruleoalba,USNM_504350,7,15,19,0,27,Stenella
Peponocephala electra,USNM_593941,7,14,15,0,32,Peponocephala
Cephalorhynchus eutropia,USNM_395374,7,13,17,0,17,Cephalorhynchus
Phocoena phocoena,NRM_805026,7,13,14,0,19,Phocoena
Physeter macrocephalus,NRM_558211,7,11,8,0,13,Physeter
Stenella coeruleoalba,PEM_N289,7,15,19,0,24,Stenella
Cephalorhynchus hectori,USNM_500864,7,12,16,0,17,Cephalorhynchus
Balaenoptera acutorostrata,USNM_49775,7,11,12,0,10,Balaenoptera
Grampus griseus,MNHN_A3248,7,13,20,0,19,Grampus
Mesoplodon layardii,PEM_N0020,7,10,10,0,11,Mesoplodon
Inia geoffrensis,USNM_395614,7,13,3,0,11,Inia
Phocoena phocoena,NRM_815072,7,13,14,0,20,Phocoena
Hyperoodon ampullatus,NRM_558402,7,9,9,0,12,Hyperoodon
Tursiops truncatus,SAM_ZM35678,7,13,16,0,17,Tursiops
Pseudorca crassidens,NRM_558271,7,10,10,0,13,Pseudorca
Stenella attenuata,USNM_500122,7,15,20,0,25,Stenella
Cephalorhynchus commersonii,USNM_550154,7,13,14,0,18,Cephalorhynchus
Cephalorhynchus hectori,SAM_ZM36182,7,12,16,0,17,Cephalorhynchus
Lipotes vexillifer,AMNH_57333,7,10,7,0,12,Lipotes
Pontoporia blainvillei,USNM_504920,7,10,6,0,10,Pontoporia
Kogia sima,PEM_N3554,7,13,10,0,15,Kogia
Tursiops truncatus,USNM_550225,7,12,14,0,18,Tursiops
Sousa plumbea,PEM_N1593,7,12,9,0,14,Sousa
Lissodelphis borealis,USNM_550026,7,15,31,0,24,Lissodelphis
Stenella clymene,USNM_550501,7,15,17,0,24,Stenella
Balaenoptera edeni,NRM_558399,7,13,13,0,11,Balaenoptera
Mesoplodon densirostris,USNM_550754,7,10,10,0,11,Mesoplodon
Phocoena phocoena,NRM_875045,7,13,14,0,19,Phocoena
Balaenoptera edeni,USNM_572922,7,13,13,0,11,Balaenoptera
Tasmacetus shepherdii,SAM_ZM40484,7,10,10,0,10,Tasmacetus
Physeter macrocephalus,USNM_301634,7,11,8,0,14,Physeter
Platanista gangetica,SMNS_45651,7,10,8,0,14,Platanista
Phocoenoides dalli,USNM_504417,7,17,25,0,32,Phocoenoides
Delphinatperus leucas,RBINS_1508,7,11,9,0,12,Delphinatperus
Balaenoptera borealis,USNM_236680,7,14,14,0,13,Balaenoptera
Steno bredanensis,USNM_504468,7,12,15,0,21,Steno
Delphinapterus leucas,USNM_571021,7,11,9,0,13,Delphinapterus
Platanista gangetica,SMNS_45648,7,10,8,0,16,Platanista
Mesoplodon bidens,MNHN_A14519,7,10,12,0,11,Mesoplodon
Lagenorhynchus obliquidens,USNM_504413,7,14,21,0,22,Lagenorhynchus
Sotalia fluviatilis,RBINS_20.137,7,12,12,0,14,Sotalia
Lagenorhynchus albirostris,NRM_20065395,7,16,22,0,31,Lagenorhynchus
Kogia breviceps,PEM_N989,7,12,10,0,14,Kogia
Ziphius cavirostris,RBINS_1504,7,10,11,0,10,Ziphius
Globicephala melas,USNM_21118,7,11,14,0,18,Globicephala
Tursiops truncatus,USNM_550422,7,12,14,0,18,Tursiops
Tasmacetus shepherdi,USNM_484878,7,10,10,0,12,Tasmacetus
Lagenorhynchus obscurus,SAM_ZM41890,7,13,22,0,19,Lagenorhynchus
Lagenorhynchus albirostris,USNM_550208,7,15,23,0,33,Lagenorhynchus
Grampus griseus,PEM_N117,7,13,20,0,18,Grampus
Feresa attenuata,PEM_N4763,7,12,16,0,24,Feresa
E. glacialis,NRM_558386,7,14,11,0,11,E.
Stenella clymene,USNM_550511,7,15,17,0,22,Stenella
Tursiops truncatus,USNM_504726,7,13,16,0,18,Tursiops
Phocoena phocoena,NRM_855196,7,13,14,0,19,Phocoena
Inia geoffrensis,MNHN_A61,7,13,3,0,11,Inia
Phocoena dioptrica,USNM_571485,7,14,14,0,19,Phocoena
Pontoporia blainvillei,USNM_501179,7,10,6,0,10,Pontoporia
Peponocephala electra,USNM_550399,7,14,15,0,34,Peponocephala
Delphinus capensis,PEM_N1649,7,14,20,0,23,Delphinus
