species,C,T,L,S,Cd,source
Choloepus hoffmanni,5,24,3,7,7,MCZ 61124
Choloepus hoffmanni,5,23,4,7,5,USNM 578427
Choloepus hoffmanni,5,23,2,8,7,FMNH 127420
Choloepus hoffmanni,5,23,3,7,5,FMNH 121521
Choloepus hoffmanni,5,23,4,7,6,FMNH 60455
Choloepus hoffmanni,5,22,3,8,5,FMNH 156655
Choloepus hoffmanni,6,22,3,8,6,FMNH 127421
Choloepus hoffmanni,6,23,4,8,5,USNM 15949
Choloepus hoffmanni,6,22,4,8,6,FMNH 15621
Choloepus hoffmanni,6,23,3,7,5,FMNH 60058
Choloepus hoffmanni,6,23,3,8,6,YPM 6779
Choloepus hoffmanni,6,24,3,7,5,YPM 6767
Choloepus hoffmanni,6,23,3,8,4,AMNH 35513
Choloepus hoffmanni,6,23,4,8,4,AMNH 139772
Choloepus hoffmanni,6,23,3,7,4,AMNH 139773
Choloepus hoffmanni,6,24,3,7,7,MCZ 12350
Choloepus hoffmanni,6,23,3,8,6,USNM 15960
Choloepus hoffmanni,6,23,4,7,4,USNM 21765
Choloepus hoffmanni,6,22,3,8,7,USNM 260868
Choloepus hoffmanni,6,23,3,7,5,USNM 556135
Choloepus hoffmanni,6,23,3,8,6,MCZ 12348
Choloepus hoffmanni,6,23,3,7,6,MCZ 12349
Choloepus hoffmanni,6,24,4,7,6,USNM 154190
Choloepus hoffmanni,6,21,4,8,5,USNM 503711
Choloepus hoffmanni,6,22,4,7,6,FMNH 186917
Choloepus hoffmanni,6,21,3,8,5,FMNH 165374
Choloepus hoffmanni,6,23,4,7,5,FMNH 160017
Choloepus hoffmanni,6,23,3,7,5,FMNH 160016
Choloepus hoffmanni,6,22,4,7,6,FMNH 160015
Choloepus hoffmanni,6,23,4,8,5,FMNH 137420
Choloepus hoffmanni,6,22,3,7,5,FMNH 69575
Choloepus hoffmanni,6,23,3,6,7,FMNH 69574
Choloepus hoffmanni,6,22,4,7,5,FMNH 60108
Choloepus hoffmanni,6,23,4,6,5,AMNH 139229
Choloepus hoffmanni,6,22,3,8,5,USNM 256181
Choloepus hoffmanni,6,23,3,7,5,FMNH 127422
Choloepus hoffmanni,6,22,3,8,5,FMNH 60549
Choloepus hoffmanni,6,23,3,7,5,USNM 15958
Choloepus hoffmanni,6,23,4,7,5,AMNH 16873
Choloepus hoffmanni,6,23,3,7,5,USNM 15953
Choloepus hoffmanni,6,22,4,7,5,FMNH 156656
Choloepus hoffmanni,6,23,4,8,5,FMNH 165373
Choloepus hoffmanni,6,23,4,7,7,FMNH 69576
Choloepus hoffmanni,6,23,4,7,6,USNM 256180
Choloepus hoffmanni,6,21,4,6,6,USNM 256179
Choloepus hoffmanni,6,23,3,7,6,MCZ 12346
Choloepus hoffmanni,6,21,4,6,6,AMNH 209441
Choloepus hoffmanni,7,22,4,8,5,YPM 6781
Choloepus didactylus,6,22,5,7,6,USNM 548401
Choloepus didactylus,7,22,4,7,5,MCZ 36320
Choloepus didactylus,7,26,3,7,6,AMNH 100120
Choloepus didactylus,7,23,3,7,5,AMNH 265952
Choloepus didactylus,7,24,3,7,6,YPM 6780
Choloepus didactylus,7,23,3,8,5,FMNH 95448
Choloepus didactylus,7,24,4,7,5,FMNH 60068
Choloepus didactylus,7,22,4,8,5,AMNH 77705
Choloepus didactylus,7,25,3,7,4,AMNH 70440
Choloepus didactylus,7,25,4,8,6,USNM 257009
Choloepus didactylus,7,24,4,7,5,AMNH 146550
Choloepus didactylus,7,26,3,7,4,USNM 256769
Choloepus didactylus,7,24,3,7,4,AMNH 35483
