node,C,T,L,S,Ca,insideVariance,totalVariance,explainedVariance,outsideVariance,numMammals,numBirds,numReptiles,numAmphibians,speciesList
1352,0.0,0.0,1.0,0.0,0.0,0.2783307900925697,39.90338010204081,0.006975118132369313,11.6717674061338,0,0,28,0,"['Pelusios castaneus' 'Kinosternon integrum' 'Gopherus polyphemus'
 'Glyptemys muhlenbergii' 'Carettochelys insculpta'
 'Platysternon megacephalum' 'Chelydra serpentina'
 'Kinosternon sonoriense' 'Kinosternon flavescens' 'Terrapene ornata'
 'Trachemys scripta' 'Chrysemys picta' 'Emys orbicularis'
 'Eretmochelys imbricata' 'Clemmys guttata' 'Lepidochelys kempii'
 'Macrochelys temminckii' 'Podocnemis expansa' 'Testudo graeca'
 'Pelochelys bibroni' 'Chelonoidis niger' 'Chelonoidis carbonarius'
 'Caretta caretta' 'Pelodiscus sinensis' 'Dermochelys coriacea'
 'Chelus fimbriata' 'Apalone spinifera' 'Chelonia mydas']"
1311,0.0,0.0,1.0,0.0,0.0,0.27935940660194136,45.64739229024944,0.006119942292116744,11.86812844908563,0,0,21,0,"['Kinosternon integrum' 'Gopherus polyphemus' 'Glyptemys muhlenbergii'
 'Platysternon megacephalum' 'Chelydra serpentina'
 'Kinosternon sonoriense' 'Kinosternon flavescens' 'Terrapene ornata'
 'Trachemys scripta' 'Chrysemys picta' 'Emys orbicularis'
 'Eretmochelys imbricata' 'Clemmys guttata' 'Lepidochelys kempii'
 'Macrochelys temminckii' 'Testudo graeca' 'Chelonoidis niger'
 'Chelonoidis carbonarius' 'Caretta caretta' 'Dermochelys coriacea'
 'Chelonia mydas']"
604,0.0,0.0,1.0,0.0,0.0,2.301965970188064,358.12312442342557,0.006427861853082526,10.390085626475202,0,0,34,0,"['Archaius tigris' 'Phrynosoma mcallii' 'Heloderma suspectum'
 'Phrynosoma taurus' 'Phrynosoma cornutum' 'Phrynosoma solare'
 'Abronia graminea' 'Acanthocercus annectans' 'Anolis agassizi'
 'Anolis coelestinus' 'Anolis eulaemus' 'Chamaeleo calyptratus'
 'Chlamydosaurus kingii' 'Lanthanotus borneensis' 'Corytophanes cristatus'
 'Crotaphytus vestigium' 'Dipsosaurus dorsalis' 'Gambelia wislizenii'
 'Crotaphytus collaris' 'Gonocephalus chamaeleontinus'
 'Lophosaurus dilophus' 'Uta stansburiana' 'Urosaurus ornatus'
 'Uromastyx aegyptia' 'Uranoscodon superciliosus' 'Trapelus agilis'
 'Anguis fragilis' 'Iguana iguana' 'Varanus niloticus'
 'Shinisaurus crocodilurus' 'Varanus salvator' 'Moloch horridus'
 'Hydrosaurus amboinensis' 'Draco volans']"
157,0.0,0.0,1.0,0.0,0.0,0.0,0.047499999999999994,0.0,6.666191065099275,0,0,0,20,"['Chiromantis rufescens' 'Raorchestes signatus' 'Polypedates cruciger'
 'Polypedates leucomystax' 'Pseudophilautus microtympanum'
 'Rhacophorus reinwardtii' 'Kurixalus idiootocus' 'Nyctixalus pictus'
 'Buergeria oxycephala' 'Taruga eques' 'Theloderma stellatum'
 'Rana dalmatina' 'Hoplobatrachus tigerinus' 'Sylvirana guentheri'
 'Pyxicephalus adspersus' 'Lithobates clamitans melanotus'
 'Pelophylax lessonae' 'Lithobates pipiens' 'Rana temporaria'
 'Boophis albilabris']"
945,0.0,0.0,1.0,0.0,0.0,1.6212145765222313e-30,3.19383487654321,5.076075123448223e-31,6.782924571642511,0,30,0,0,"['Arremon semitorquatus' 'Parkerthraustes humeralis'
 'Saltator coerulescens' 'Neothraupis fasciata' 'Orthogonys chloricterus'
 'Thraupis ornata' 'Trichothraupis melanops' 'Hemithraupis flavicollis'
 'Tangara seledon' 'Chlorophonia cyanocephala' 'Corvus frugilegus'
 'Coloeus monedula' 'Pica pica' 'Pyrrhocorax graculus'
 'Nucifraga caryocatactes' 'Cissa thalassina' 'Heteralocha acutirostris'
 'Catharus minimus' 'Chloris sinica' 'Hirundo rustica'
 'Melopsittacus undulatus' 'Motacilla alba alba' 'Otus sunia'
 'Parus major' 'Upupa epops' 'Cariama cristata' 'Corvus corax'
 'Corvus corone' 'Accipiter gentilis' 'Alauda arvensis']"
1286,0.0,0.0,1.0,0.0,0.0,3.2123123616847105e-32,14.911081123251599,2.1543121757117866e-33,7.838302882412515,0,114,0,0,"['Aptenodytes forsteri' 'Branta bernicla' 'Anser cygnoides'
 'Coscoroba coscoroba' 'Tadorna tadorna' 'Tadorna ferruginea'
 'Dendrocygna arcuata' 'Mareca strepera' 'Melanitta nigra' 'Aythya marila'
 'Bucephala clangula' 'Oxyura leucocephala' 'Mergellus albellus'
 'Gavia stellata' 'Tachybaptus ruficollis' 'Eudyptes schlegeli'
 'Pelecanus conspicillatus' 'Macronectes giganteus' 'Oceanites oceanicus'
 'Chroicocephalus ridibundus' 'Sterna paradisaea' 'Rynchops niger'
 'Tringa nebularia' 'Plegadis falcinellus' 'Threskiornis melanocephalus'
 'Psophia viridis' 'Jacana spinosa' 'Chlamydotis undulata undulata'
 'Attagis gayi' 'Pluvialis squatarola' 'Arenaria interpres'
 'Calidris canutus' 'Lyrurus tetrix tetrix' 'Lagopus muta' 'Perdix perdix'
 'Pternistis capensis' 'Callipepla californica' 'Pavo muticus'
 'Lophura nycthemera' 'Chrysolophus pictus' 'Penelope montagnii'
 'Argusianus argus' 'Crax rubra' 'Columba palumbus'
 'Ptilinopus magnificus' 'Ducula badia' 'Ptilinopus melanospilus'
 'Arremon semitorquatus' 'Parkerthraustes humeralis'
 'Saltator coerulescens' 'Neothraupis fasciata' 'Orthogonys chloricterus'
 'Thraupis ornata' 'Trichothraupis melanops' 'Hemithraupis flavicollis'
 'Tangara seledon' 'Chlorophonia cyanocephala' 'Corvus frugilegus'
 'Coloeus monedula' 'Pica pica' 'Pyrrhocorax graculus'
 'Nucifraga caryocatactes' 'Cissa thalassina' 'Heteralocha acutirostris'
 'Catharus minimus' 'Chloris sinica' 'Spheniscus humboldti'
 'Anas zonorhyncha' 'Hirundo rustica' 'Melopsittacus undulatus'
 'Motacilla alba alba' 'Otus sunia' 'Sterna hirundo' 'Coturnix japonica'
 'Parus major' 'Gallus gallus' 'Anas acuta' 'Cygnus olor'
 'Podiceps cristatus' 'Ciconia ciconia' 'Burhinus oedicnemus'
 'Pluvialis apricaria' 'Vanellus vanellus' 'Haematopus ostralegus'
 'Scolopax rusticola' 'Glareola pratincola' 'Upupa epops'
 'Cariama cristata' 'Corvus corax' 'Cereopsis novaehollandiae'
 'Cygnus atratus' 'Cygnus cygnus' 'Anas platyrhynchos' 'Biziura lobata'
 'Alca torda' 'Fratercula arctica' 'Eudyptula minor' 'Uria aalge'
 'Diomedea exulans' 'Limosa lapponica' 'Numenius arquata'
 'Platalea leucorodia' 'Gallinula chloropus' 'Fulica atra'
 'Calidris pugnax' 'Pterocles orientalis' 'Tetrao urogallus'
 'Lagopus lagopus' 'Phasianus colchicus' 'Goura cristata' 'Corvus corone'
 'Accipiter gentilis' 'Alauda arvensis' 'Gallinago gallinago']"
660,0.0,0.0,1.0,0.0,0.0,86.3666575548201,7676.390347270979,0.011250946557912362,10.578074173842904,0,0,74,0,"['Sphenodon punctatus' 'Lialis burtonis' 'Archaius tigris'
 'Phrynosoma mcallii' 'Heloderma suspectum' 'Phrynosoma taurus'
 'Phrynosoma cornutum' 'Thamnophis elegans' 'Phrynosoma solare'
 'Gekko japonicus' 'Abronia graminea' 'Acanthocercus annectans'
 'Gloydius himalayanus' 'Acrochordus granulatus' 'Adolfus jacksoni'
 'Anolis agassizi' 'Anolis coelestinus' 'Anolis eulaemus'
 'Chamaeleo calyptratus' 'Chlamydosaurus kingii' 'Lampropeltis getula'
 'Lanthanotus borneensis' 'Ahaetulla prasina' 'Bogertophis subocularis'
 'Bothrops bilineatus' 'Bothrops asper' 'Corucia zebrata'
 'Corytophanes cristatus' 'Coluber constrictor' 'Crotaphytus vestigium'
 'Dipsosaurus dorsalis' 'Enhydris chanardi' 'Epicrates cenchria'
 'Gambelia wislizenii' 'Gehyra marginata' 'Boaedon fuliginosus'
 'Boiga dendrophila' 'Crotalus atrox' 'Crotaphytus collaris'
 'Gonocephalus chamaeleontinus' 'Goniurosaurus lichtenfelderi'
 'Hypsiglena torquata' 'Lophosaurus dilophus'
 'Lampropeltis rhombomaculata' 'Leioheterodon geayi'
 'Lepidophyma flavimaculatum' 'Lialis jicari' 'Lichanura trivirgata'
 'Trachylepis perrotetii' 'Xenodon pulcher' 'Xenochrophis vittatus'
 'Uta stansburiana' 'Urosaurus ornatus' 'Uromastyx aegyptia'
 'Uranoscodon superciliosus' 'Tupinambis teguixin' 'Trapelus agilis'
 'Crotalus tigris' 'Python molurus' 'Boa constrictor constrictor'
 'Micrurus fulvius' 'Vipera berus berus' 'Anguis fragilis' 'Iguana iguana'
 'Varanus niloticus' 'Aprasia repens' 'Shinisaurus crocodilurus'
 'Varanus salvator' 'Chioninia coctei' 'Gekko gecko' 'Moloch horridus'
 'Dasypeltis scabra' 'Hydrosaurus amboinensis' 'Draco volans']"
640,0.0,0.0,1.0,0.0,0.0,108.16254925740999,8462.907892244837,0.012780778266123753,11.400873675024384,0,0,62,0,"['Archaius tigris' 'Phrynosoma mcallii' 'Heloderma suspectum'
 'Phrynosoma taurus' 'Phrynosoma cornutum' 'Thamnophis elegans'
 'Phrynosoma solare' 'Abronia graminea' 'Acanthocercus annectans'
 'Gloydius himalayanus' 'Acrochordus granulatus' 'Adolfus jacksoni'
 'Anolis agassizi' 'Anolis coelestinus' 'Anolis eulaemus'
 'Chamaeleo calyptratus' 'Chlamydosaurus kingii' 'Lampropeltis getula'
 'Lanthanotus borneensis' 'Ahaetulla prasina' 'Bogertophis subocularis'
 'Bothrops bilineatus' 'Bothrops asper' 'Corytophanes cristatus'
 'Coluber constrictor' 'Crotaphytus vestigium' 'Dipsosaurus dorsalis'
 'Enhydris chanardi' 'Epicrates cenchria' 'Gambelia wislizenii'
 'Boaedon fuliginosus' 'Boiga dendrophila' 'Crotalus atrox'
 'Crotaphytus collaris' 'Gonocephalus chamaeleontinus'
 'Hypsiglena torquata' 'Lophosaurus dilophus'
 'Lampropeltis rhombomaculata' 'Leioheterodon geayi'
 'Lichanura trivirgata' 'Xenodon pulcher' 'Xenochrophis vittatus'
 'Uta stansburiana' 'Urosaurus ornatus' 'Uromastyx aegyptia'
 'Uranoscodon superciliosus' 'Tupinambis teguixin' 'Trapelus agilis'
 'Crotalus tigris' 'Python molurus' 'Boa constrictor constrictor'
 'Micrurus fulvius' 'Vipera berus berus' 'Anguis fragilis' 'Iguana iguana'
 'Varanus niloticus' 'Shinisaurus crocodilurus' 'Varanus salvator'
 'Moloch horridus' 'Dasypeltis scabra' 'Hydrosaurus amboinensis'
 'Draco volans']"
166,0.0,0.0,1.0,0.0,0.0,8.004263011339437e-35,0.1174548250672818,6.814758786413708e-34,7.036358208666056,0,0,0,51,"['Hemisus guineensis' 'Brachycephalus albolineatus'
 'Osteopilus septentrionalis' 'Chiromantis rufescens'
 'Raorchestes signatus' 'Haddadus binotatus' 'Polypedates cruciger'
 'Polypedates leucomystax' 'Pseudophilautus microtympanum'
 'Rhacophorus reinwardtii' 'Kurixalus idiootocus' 'Nyctixalus pictus'
 'Eleutherodactylus gossei' 'Buergeria oxycephala'
 'Pristimantis pulvinatus' 'Taruga eques' 'Hamptophryne boliviana'
 'Ischnocnema guentheri' 'Theloderma stellatum' 'Hypopachus ustum'
 'Dryophytes japonicus' 'Discoglossus pictus' 'Bombina bombina'
 'Bombina variegata' 'Pelobates fuscus' 'Rana dalmatina'
 'Agalychnis moreletii' 'Megophrys feae' 'Anaxyrus cognatus'
 'Rhinella margaritifera' 'Anaxyrus microscaphus' 'Anaxyrus woodhousii'
 'Callulina kreffti' 'Ceratophrys ornata' 'Dyscophus guineti'
 'Hoplobatrachus tigerinus' 'Dryophytes gratiosus' 'Sylvirana guentheri'
 'Kaloula pulchra' 'Pyxicephalus adspersus'
 'Lithobates clamitans melanotus' 'Pelophylax lessonae'
 'Lithobates pipiens' 'Rana temporaria' 'Pipa pipa' 'Boophis albilabris'
 'Rhinella marina' 'Xenopus laevis' 'Xenopus tropicalis' 'Bufo bufo'
 'Boana boans']"
809,0.0,0.0,1.0,0.0,0.0,2.4737979683744553e-31,6.4689531740813795,3.8241086336596426e-32,6.890212577893501,0,39,0,0,"['Aptenodytes forsteri' 'Gavia stellata' 'Eudyptes schlegeli'
 'Pelecanus conspicillatus' 'Macronectes giganteus' 'Oceanites oceanicus'
 'Chroicocephalus ridibundus' 'Sterna paradisaea' 'Rynchops niger'
 'Tringa nebularia' 'Plegadis falcinellus' 'Threskiornis melanocephalus'
 'Psophia viridis' 'Jacana spinosa' 'Attagis gayi' 'Pluvialis squatarola'
 'Arenaria interpres' 'Calidris canutus' 'Spheniscus humboldti'
 'Sterna hirundo' 'Ciconia ciconia' 'Burhinus oedicnemus'
 'Pluvialis apricaria' 'Vanellus vanellus' 'Haematopus ostralegus'
 'Scolopax rusticola' 'Glareola pratincola' 'Alca torda'
 'Fratercula arctica' 'Eudyptula minor' 'Uria aalge' 'Diomedea exulans'
 'Limosa lapponica' 'Numenius arquata' 'Platalea leucorodia'
 'Gallinula chloropus' 'Fulica atra' 'Calidris pugnax'
 'Gallinago gallinago']"
