Order,Species,Specimen Identification,Thoracic,Lumbar,Thoracolumbar
MARSUPIALIA,Dasyurus viverrinus,MNHN-A3315,13,6,19
MARSUPIALIA,Sarcophilis laniarius,MNHN-A3296,13,6,19
MARSUPIALIA,Perameles nasuta,MNHN-A3312,13,6,19
MARSUPIALIA,Dendrolagus ursinus,MNHN-3300,13,6,19
MARSUPIALIA,Thylogale billardierii,MNHN-A3125,13,6,19
MARSUPIALIA,Phalanger orientalis,MNHNA3306,13,6,19
MARSUPIALIA,Pseudocheirus peregrinus,MNHN-A3313,13,6,19
MARSUPIALIA,Petauroides volans,MNHN-A3316,,19,19
MARSUPIALIA,Petrogale penicillata,MNHN-A13813,13,6,19
MARSUPIALIA,Phascolarctos cinereus,MNHN-A239b,11,8,19
MARSUPIALIA,Notoryctes typhlops,Stirling 1891,19,5,4
MARSUPIALIA,Caenolestes sp.,,13,6,19
MARSUPIALIA,Pucadelphys andinus,,13,6,19
MARSUPIALIA,Diprotodon australis,MNHN unnumbered,,19,19
CHRYSOCHLORIDAE,Chrysochloris sp.,BMNH 1974.673,20,4,24
CHRYSOCHLORIDAE,Chrysospalax trevelyani,BMNH 76.336,19,3,22
CHRYSOCHLORIDAE,Calcochlorix obtusirostris,BMNH 39.3790,19,3,22
TENRECIDAE,Microgale talazaci,BMNH 97.9.1.1707,16,7,23
TENRECIDAE,Microgale longicaudata,BMNH 97.9.1.110,17,6,23
TENRECIDAE,Microgale cowani,BMNH 75.2226,17,5,22
TENRECIDAE,Limnogale mergulus,BMNH 35.1.8.256,17,5,22
TENRECIDAE,Oryzorictes tetradactylus,BMNH 97.9.1.79,17,5,22
TENRECIDAE,Potamogale velox,BMNH 75.1829,17,5,22
TENRECIDAE,Hemicentetes semispinosus,BMNH 97.9.1.61,17,4,21
TENRECIDAE,Setifer setosus,BMNH 1947.12.5.13,17,7,24
TENRECIDAE,Tenrec ecaudatus,BMNH 998c,18,6,24
TENRECIDAE,Galemys pyrenaicus,BMNH unnumbered,14,5,19
TENRECIDAE,Mogera wogura,MNHN-A.127,14,5,19
MACROSCELIDEA,Elephantulus myurus,BMNH 36.10.20.20,13,7,20
MACROSCELIDEA,Elephantulus intufi,BMNH 92.1.9.1,12,8,20
MACROSCELIDEA,Rhynchocyon cirnei,BMNH 1423B,13,7,20
TUBULIDENTATA,Orycteropus afer,BMNH 931.B,13,8,21
TUBULIDENTATA,Orycteropus afer,BMNH 1910.2.19,12,8,20
TUBULIDENTATA,Orycteropus afer,MNHN-BU1255,13,8,21
PROBOSCIDEA,Loxodonta africana,Bezuidenhout & Seegers 1996,,,23.5
