Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Marsupalia,Didelphis,virginiana / marsupalis,0.237,70,9,26,7,13,6,9,10,2,1,0,1,66,2,SLOW,SLOW,SLOW,ARB.,NON,NOT,QUA.,AMBL.,MOB.,MOB.
Marsupalia,Caluromys,philander,0.067,30,1,26,7,13,6,10,9,2,0,1,0,30,2,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Marsupalia,Sarcophilus,harrisii,0.143,14,1,26,7,13,6,10.5,8.5,3,0,0,1,13,0,SLOW,INT.,SLOW,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Marsupalia,Dasyurus,viverrinus,0,11,0,26,7,13,6,10,9,2,1,0,0,11,1,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Marsupalia,Phascolarctos,cinereus,0.439,12,3,26,7,11,8,8.5,10.5,3,0,0,1,12,1,SLOW,SLOW,-,ARB.,UPR.,NOT,QUA.,CLIM.,STAB.,DS CLIMB
Marsupalia,Vombatus,ursinus,0.189,20,2,26,7,15,4,11,8,4,0,1,0,20,2,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,STAB.,-
Marsupalia,Macropus,agilis / eugenii / fuliginosus / giganteus / irma / parryi /  robustus / rufrogriseus / rufus,0,44,0,26,7,13,6,11,8,2,0,0,0,44,0,FAST,INT.,-,TER.,UPR.,NOT,BIP.,RUN.,MOB.,-
Marsupalia,Dendrolagus,goodfellowi / lumholtzi / matschiei / ursinus,0.091,21,1,26,7,13,6,10,9,2,0,2,2,20,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Marsupalia,Bettongia,gaimardi / penicillata,0,12,0,26,7,13,6,10,9,2,0,0,0,12,0,FAST,INT.,FAST,TER.,UPR.,NOT,BIP.,RUN.,MOB.,-
Afrotheria,Elephas / Loxodonta,maximus / africanus,0.644,10,5,30,7,19,3,19,4,4,0,0,0,8,0,SLOW,SLOW,SLOW,TER.,NON,NOT,QUA.,AMBL.,STAB.,DS QUAD.
Afrotheria,Trichechus,manatus,0.537,28,10,25,6,17,2,NA,NA,NA,0,0,0,-,-,-,-,-,AQU.,-,-,SWIM.,OTH.,STAB.,-
Afrotheria,Orycteropus,afer,0,14,0,28,7,13,8,10,11,6,0,0,0,12,0,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,STAB.,-
Afrotheria,Petrodromus,tetradactylus,0,14,0,27,7,13,7,11,9,3,0,0,0,14,0,-,-,-,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Afrotheria,Elephantulus,brachyrhynchus / myurus / rufescens / rupestris,0.489,20,6,27,7,14,6,11,9,3,0,0,1,19,2,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Afrotheria,Eremitalpa,granti,0.541,22,9,26,7,17,2,14,5,5,0,0,1,22,0,SLOW,SLOW,SLOW,FOS.,NON,NOT,DIG.,OTH.,STAB.,-
Xenarthra,Dasypus,novemcinctus,0.545,19,4,22,7,10,5,7,8,9,0,0,1,19,1,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,STAB.,-
