Vertebrae,Transition,Gene,Organism,Species,Note 1,Note 2
C.6,C.T,C.5,mouse,Mus musculus,next to last cervical,anterior gene expression
T.1,C.T,C.6,mouse,Mus musculus,first thoracic,anterior gene expression
C.2,,B.4,mouse,Mus musculus,,anterior gene expression
C.3,,A.4,mouse,Mus musculus,,anterior gene expression
C.3,,C.4,mouse,Mus musculus,,anterior gene expression
T.4,,B.7,mouse,Mus musculus,,anterior gene expression
T.6,,C.8,mouse,Mus musculus,,anterior gene expression
T.7,,D.8,mouse,Mus musculus,,anterior gene expression
T.12,T.L,A.9,mouse,Mus musculus,,anterior gene expression
T.12,T.L,A.9,mouse,Mus musculus,,anterior gene expression
L.5,L.S,D.9,mouse,Mus musculus,second to last lumbar,anterior gene expression
S.1,L.S,D.10,mouse,Mus musculus,first sacral,anterior gene expression
S.4,S.Ca,D.11,mouse,Mus musculus,last sacral,anterior gene expression
Ca.1,S.Ca,D.12,mouse,Mus musculus,first caudal,anterior gene expression
C.13,C.T,C.5,chicken,Gallus gallus,next to last cervical,anterior gene expression
T.1,C.T,C.6,chicken,Gallus gallus,first dorsal,anterior gene expression
C.3,,B.4,chicken,Gallus gallus,,anterior gene expression
C.3,,D.4,chicken,Gallus gallus,,anterior gene expression
C.6,,A.4,chicken,Gallus gallus,,anterior gene expression
C.6,,C.4,chicken,Gallus gallus,,anterior gene expression
T.5,,C.8,chicken,Gallus gallus,,anterior gene expression
T.7,T.S,A.9,chicken,Gallus gallus,last dorsal; in our system there is no lumbar but Burke has 4 chicken lumbar so I include them as sacral,anterior gene expression
T.7,T.S,B.9,chicken,Gallus gallus,last dorsal; in our system there is no lumbar but Burke has 4 chicken lumbar so I include them as sacral,anterior gene expression
T.7,T.S,C.9,chicken,Gallus gallus,last dorsal; in our system there is no lumbar but Burke has 4 chicken lumbar so I include them as sacral,anterior gene expression
S.4,,A.10,chicken,Gallus gallus,,anterior gene expression
S.4,,D.9,chicken,Gallus gallus,,anterior gene expression
S.5,,C.10,chicken,Gallus gallus,,anterior gene expression
S.5,,D.10,chicken,Gallus gallus,,anterior gene expression
S.9,,A.11,chicken,Gallus gallus,,anterior gene expression
S.12,S.Ca,C.11,chicken,Gallus gallus,second to last sacral,anterior gene expression
Ca.1,S.Ca,D.11,chicken,Gallus gallus,first caudal,anterior gene expression
Ca.2,,D.12,chicken,Gallus gallus,,anterior gene expression
Ca.3,,A.13,chicken,Gallus gallus,,anterior gene expression
Ca.3,,D.13,chicken,Gallus gallus,,anterior gene expression
C.2,,B.5,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,,anterior gene expression
C.3,,B.4,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,,anterior gene expression
C.3,,D.4,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,,anterior gene expression
C.5,,A.4,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,,anterior gene expression
C.5,,C.4,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,,anterior gene expression
C.8,C.T,C.5,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,second to last cervical,anterior gene expression
C.9,C.T,A.5,crocodile/alligator,Crocodylus niloticus and Alligator mississippiensis,last cervical,anterior gene expression
C.1,,A.3,corn snake,Pantherophis guttatus,,anterior gene expression
C.2,,B.4,corn snake,Pantherophis guttatus,,anterior gene expression
C.3,C.T,B.6,corn snake,Pantherophis guttatus,last cervical,anterior gene expression
T.1,C.T,A.6,corn snake,Pantherophis guttatus,first thoracic,anterior gene expression
