Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,4370.0,4240.0,2191.0,10703.0,1624.0,7250.0,7006.0,6453.0,8419.0,13413.0,16053.0,5054.0,24563.0,13300.0,1718.0,3001.0,1276.0,7253.0,110653.0,23266.0,18430.0,21795.0,11753.0,17935.0,16894.0,19999.0,16621.0,21417.0,15252.0,21717.0,-1776.0,2846.0,7580.0,6473.0,4987.0,0,1,0,0
Cat,Felis catus,Mammalia,22.0,10207.0,26291.0,23403.0,16698.0,6677.0,12515.0,12683.0,18376.0,15106.0,19017.0,8900.0,3712.0,-28237.0,13010.0,129.0,8095.0,1306.0,4051.0,72299.0,-30297.0,1797.0,13204.0,6039.0,9921.0,8904.0,15411.0,7861.0,13921.0,4229.0,4300.0,3990.0,-10798.0,1826.0,4563.0,3926.0,0,1,0,0
Lion,Panthera leo,Mammalia,23.0,8394.0,22261.0,22462.0,22211.0,6673.0,11286.0,11629.0,11244.0,13659.0,17712.0,9204.0,5320.0,42.0,12890.0,1962.0,2441.0,2177.0,8351.0,70366.0,17729.0,2889.0,16408.0,6648.0,10751.0,10033.0,16826.0,9184.0,13767.0,12345.0,17683.0,4981.0,2339.0,6461.0,6147.0,4730.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,22.0,4750.0,5550.0,18284.0,11049.0,1689.0,6245.0,6955.0,6246.0,8661.0,14773.0,13537.0,9919.0,28511.0,17282.0,6217.0,14893.0,6828.0,13624.0,74337.0,18181.0,3315.0,16724.0,1079.0,10154.0,10087.0,16414.0,9559.0,20846.0,20693.0,23416.0,10195.0,8051.0,11998.0,9345.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,18.0,756.0,3873.0,17399.0,89.0,-1273.0,1097.0,5428.0,3690.0,6922.0,11073.0,10785.0,5360.0,-14566.0,10075.0,1663.0,9056.0,1252.0,6049.0,70958.0,-42048.0,1202.0,5985.0,6441.0,9728.0,9687.0,15653.0,8165.0,12866.0,11450.0,16532.0,4733.0,2682.0,2465.0,4813.0,3618.0,0,1,0,0
Cattle,Bos taurus,Mammalia,21.0,4665.0,4329.0,-11649.0,9384.0,25.0,1088.0,5218.0,5049.0,1715.0,7472.0,9249.0,3947.0,-737.0,12655.0,90.0,4468.0,1295.0,4928.0,72860.0,22191.0,15138.0,21322.0,17772.0,17850.0,16831.0,20603.0,17481.0,21432.0,41786.0,23406.0,12979.0,8291.0,12604.0,10181.0,7970.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,30.0,9464.0,50650.0,22644.0,14905.0,6918.0,13715.0,11747.0,17757.0,14613.0,18780.0,11726.0,3702.0,-14537.0,12146.0,1943.0,2658.0,280.0,2806.0,74720.0,670.0,2126.0,3951.0,5647.0,5134.0,10095.0,15917.0,8012.0,14709.0,-17167.0,14045.0,4407.0,2657.0,-2743.0,1853.0,3410.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,4263.0,2914.0,-23967.0,10275.0,1590.0,5876.0,5705.0,3398.0,2171.0,8076.0,12030.0,1227.0,-22813.0,12701.0,1720.0,4927.0,47.0,2455.0,89786.0,24371.0,17141.0,21891.0,12282.0,18162.0,17276.0,23015.0,19903.0,26848.0,36690.0,34622.0,11608.0,8261.0,12522.0,9796.0,9740.0,0,1,0,0
Human,Homo sapiens,Mammalia,4.0,9690.0,52229.0,23747.0,15156.0,6722.0,11279.0,11821.0,17423.0,14627.0,18934.0,16583.0,47586.0,29480.0,18272.0,13729.0,15266.0,8060.0,14012.0,107594.0,-18473.0,-13935.0,4119.0,5648.0,9882.0,7503.0,14170.0,8359.0,15570.0,-697.0,18855.0,4768.0,2782.0,1099.0,4791.0,3851.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,10313.0,55945.0,24679.0,15417.0,6867.0,15053.0,15018.0,17839.0,14777.0,18962.0,9897.0,3841.0,-14822.0,12713.0,1759.0,2233.0,90.0,4291.0,99761.0,-60.0,18471.0,23419.0,12272.0,18191.0,17350.0,22794.0,17693.0,14138.0,-3127.0,4122.0,4754.0,731.0,4998.0,2795.0,3806.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,10121.0,26814.0,23127.0,15438.0,6399.0,30373.0,10979.0,11574.0,13122.0,17180.0,9375.0,3825.0,-27778.0,12823.0,1603.0,2820.0,1465.0,8112.0,104619.0,22386.0,18203.0,21277.0,11447.0,17953.0,16307.0,20503.0,17510.0,13555.0,-6.0,17280.0,5047.0,3464.0,7493.0,6570.0,4987.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,8521.0,27328.0,24676.0,25262.0,7143.0,12830.0,14230.0,13330.0,16314.0,22121.0,16957.0,5679.0,25892.0,13664.0,2457.0,2481.0,2452.0,7843.0,56347.0,20812.0,3410.0,16527.0,7215.0,11285.0,11825.0,18484.0,11859.0,17122.0,16424.0,19815.0,6711.0,3510.0,7807.0,6901.0,8812.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,5318.0,5035.0,-13066.0,10635.0,106.0,6507.0,6653.0,5725.0,7619.0,15230.0,19938.0,10965.0,32743.0,17491.0,14591.0,15695.0,8453.0,28286.0,65753.0,20701.0,2236.0,16274.0,6570.0,11293.0,11953.0,18397.0,11698.0,11505.0,-10068.0,14878.0,5632.0,2893.0,7555.0,6623.0,6419.0,0,1,0,0
Mute Swan,Cygnus olor,Aves,9.0,8812.0,50890.0,22507.0,16080.0,6872.0,11788.0,12392.0,13959.0,15477.0,20451.0,6130.0,3777.0,2166.0,14222.0,2292.0,9042.0,1189.0,5313.0,40031.0,21888.0,19604.0,22928.0,13670.0,18126.0,17203.0,23515.0,16734.0,36787.0,17711.0,18235.0,8507.0,8180.0,12487.0,8753.0,8383.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,7.0,12813.0,51950.0,32773.0,18314.0,6793.0,15595.0,12166.0,12322.0,31450.0,20550.0,7231.0,3156.0,2329.0,13313.0,-10229.0,2091.0,381.0,1247.0,21748.0,1331.0,364.0,4994.0,5535.0,-53584.0,11127.0,18111.0,10651.0,16641.0,32592.0,22154.0,9669.0,8742.0,12576.0,9484.0,9351.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,39.0,13111.0,51155.0,22262.0,15652.0,6297.0,10569.0,27291.0,11632.0,15911.0,18631.0,16910.0,67089.0,30876.0,21092.0,9145.0,17518.0,8875.0,16011.0,83268.0,-49335.0,135.0,14475.0,6602.0,11317.0,10380.0,21682.0,8976.0,46225.0,26130.0,22778.0,8727.0,8584.0,14419.0,8450.0,14730.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,13648.0,50275.0,25119.0,17359.0,6775.0,23014.0,11373.0,17086.0,17032.0,21546.0,7667.0,3472.0,-18004.0,13518.0,305.0,9510.0,117.0,6261.0,50347.0,56180.0,8425.0,22527.0,15778.0,18208.0,17289.0,21965.0,15290.0,22083.0,37962.0,22623.0,8977.0,8266.0,17404.0,22521.0,9147.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,3859.0,3266.0,-23377.0,10870.0,333.0,1069.0,5818.0,5977.0,7568.0,14194.0,10013.0,517.0,-31113.0,12917.0,1632.0,6903.0,-36.0,6006.0,69292.0,19616.0,1859.0,9021.0,3033.0,8383.0,9342.0,17392.0,8051.0,8231.0,-19636.0,14085.0,5540.0,2727.0,5965.0,6390.0,4879.0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,5.0,5280.0,33148.0,-15187.0,12683.0,5114.0,2249.0,13149.0,-9904.0,7843.0,4960.0,6591.0,50958.0,-17699.0,23323.0,-6391.0,2961.0,3143.0,12147.0,37416.0,25131.0,7079.0,27196.0,12535.0,17346.0,16715.0,24764.0,17120.0,26355.0,5914.0,20575.0,9322.0,5853.0,11192.0,12565.0,7415.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,5.0,4124.0,20418.0,-13048.0,11016.0,3483.0,4992.0,11319.0,-5132.0,6183.0,15027.0,7404.0,41996.0,-30333.0,19962.0,-8130.0,6163.0,2475.0,9428.0,44917.0,19752.0,4586.0,17957.0,8825.0,13287.0,10342.0,17460.0,11804.0,18447.0,161.0,15915.0,4066.0,2973.0,6419.0,5539.0,6314.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,6721.0,40203.0,-917.0,16225.0,7454.0,8125.0,22385.0,7532.0,15870.0,20509.0,16754.0,53021.0,2317.0,21004.0,18495.0,12789.0,5253.0,10851.0,47792.0,20720.0,5454.0,21217.0,12602.0,15592.0,15490.0,23224.0,13598.0,26515.0,6399.0,17880.0,9897.0,8526.0,10848.0,9882.0,7545.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,4339.0,8901.0,5987.0,11127.0,3697.0,5411.0,12583.0,-5216.0,8973.0,15241.0,8018.0,3340.0,20338.0,23254.0,-3092.0,4992.0,5749.0,9465.0,47312.0,19948.0,5725.0,21674.0,11947.0,16064.0,14518.0,20919.0,14137.0,20420.0,166.0,16774.0,3904.0,4494.0,5487.0,5917.0,6950.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,8.0,7543.0,21286.0,18229.0,14800.0,7010.0,9565.0,22790.0,6667.0,16007.0,18098.0,9985.0,3522.0,21185.0,13934.0,6334.0,8246.0,2337.0,9391.0,47575.0,22366.0,6001.0,22584.0,12418.0,16324.0,14992.0,21218.0,12099.0,26034.0,5073.0,18896.0,7430.0,8826.0,11044.0,9890.0,9331.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,7.5,6878.0,21336.0,18288.0,14751.0,7156.0,9539.0,22765.0,6652.0,16078.0,18278.0,7749.0,3363.0,19661.0,13944.0,6430.0,8262.0,2336.0,9502.0,46643.0,21775.0,6883.0,23686.0,12682.0,16894.0,15717.0,21562.0,12154.0,24542.0,5068.0,18959.0,8087.0,8936.0,11087.0,9984.0,9261.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,6.5,6959.0,21528.0,18454.0,15402.0,7588.0,8016.0,19852.0,11484.0,9893.0,18269.0,9507.0,3475.0,20806.0,14372.0,6515.0,8656.0,2438.0,9722.0,46576.0,-591.0,136.0,63779.0,2952.0,17572.0,15719.0,21838.0,14569.0,28518.0,890.0,18265.0,8484.0,7314.0,11559.0,9732.0,8302.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,6.0,10354.0,32409.0,-13205.0,12397.0,6135.0,5477.0,21951.0,-5116.0,9189.0,15146.0,8236.0,5457.0,20665.0,15166.0,3631.0,16065.0,2326.0,9376.0,49142.0,3143.0,11429.0,23135.0,14636.0,22128.0,12910.0,40371.0,9136.0,28950.0,5170.0,18319.0,7206.0,8163.0,10868.0,9696.0,10391.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,9590.0,37951.0,13338.0,16694.0,7781.0,10284.0,10973.0,10924.0,13303.0,23927.0,15957.0,45043.0,7892.0,19644.0,8845.0,15639.0,8398.0,15827.0,76238.0,24280.0,14383.0,21364.0,14242.0,18454.0,17477.0,22776.0,14757.0,16894.0,-5555.0,18177.0,5490.0,2660.0,6151.0,6413.0,4969.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,10069.0,36472.0,22430.0,16654.0,7861.0,10417.0,11861.0,11761.0,14588.0,24057.0,10266.0,12196.0,4042.0,12839.0,1730.0,7856.0,-36.0,6092.0,67564.0,19192.0,1786.0,8873.0,2958.0,8491.0,9218.0,17365.0,8608.0,8391.0,-5638.0,18213.0,5525.0,2724.0,5996.0,6447.0,4877.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,7965.0,6804.0,21977.0,15013.0,4092.0,5039.0,10088.0,10085.0,12777.0,18038.0,38848.0,10439.0,35466.0,19515.0,5816.0,14750.0,4243.0,14025.0,17136.0,24536.0,5880.0,22338.0,9854.0,11820.0,17884.0,22813.0,13856.0,89781.0,-39158.0,23835.0,6182.0,6295.0,8886.0,6811.0,9213.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,2402.0,7187.0,23938.0,13430.0,5672.0,8017.0,8399.0,11161.0,7644.0,24170.0,27264.0,83089.0,-21483.0,22009.0,4572.0,10048.0,3850.0,15882.0,127061.0,27380.0,7881.0,20154.0,14195.0,17149.0,13811.0,29679.0,18257.0,120421.0,-49331.0,32948.0,351.0,13550.0,8679.0,27689.0,-203.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,9029.0,8976.0,28329.0,18368.0,5840.0,10413.0,12582.0,14710.0,12856.0,28862.0,30269.0,84500.0,-18386.0,27919.0,7557.0,14005.0,11150.0,16048.0,138831.0,33488.0,8763.0,26030.0,14920.0,17581.0,19936.0,27299.0,17507.0,57390.0,-2970.0,29466.0,6867.0,6051.0,9765.0,9518.0,13144.0,0,0,1,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,2753.0,4711.500000000001,17841.5,5569.000000000001,207.99999999999994,3671.0,6191.5,4968.0,7791.500000000002,12923.0,12161.000000000002,7639.5,6972.5,13678.500000000002,3940.0,11974.5,4040.0000000000005,9836.5,72647.50000000001,-11933.500000000004,2258.5,11354.5,3760.0000000000005,9941.0,9887.0,16033.500000000002,8862.0,16856.0,16071.5,19974.0,7464.0,5366.500000000001,7231.5,7079.0,5794.0,63,2,0,0
Cat+Lion,Felis catus+Panthera leo,Mammalia+Mammalia,22.5,9300.5,24276.0,22932.499999999996,19454.5,6675.0,11900.500000000002,12156.0,14809.999999999998,14382.5,18364.5,9052.000000000002,4516.0,-14097.499999999998,12949.999999999998,1045.5000000000002,5268.0,1741.5,6201.0,71332.5,-6284.0,2343.0,14806.0,6343.5,10336.0,9468.5,16118.499999999998,8522.5,13843.999999999998,8287.0,10991.5,4485.500000000001,-4229.5,4143.5,5355.0,4328.0,60,2,0,0
Fox+Ermine+Cat+Lion,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia,20.99771834648172,5366.024349435619,12519.444235896628,19873.25364077537,11110.527240028758,2788.8978186789077,6955.28925294852,8571.856431036083,8895.817586429226,10421.884648664402,15094.633752952106,10920.237464315336,6392.950697905741,-1436.2702241479185,13387.764873835225,2784.8416984434666,9298.020763728142,3122.6977522447087,8385.617980546285,72122.70014975063,-9678.856080620615,2292.222880111082,12731.949949152659,4791.042139254207,10098.63949874411,9719.98194879896,16067.422423780377,8726.509848547781,15653.948936158824,12964.804612725226,16389.197981091187,6275.318362001681,1536.8578988645738,5999.118298425782,6390.973428266207,5208.93796162312,47,4,0,0
Fox+Ermine+Cat+Lion+Cattle,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,20.99850968814987,5122.889371380237,9678.767615802364,8940.44873410364,10511.718991849695,1830.300252085354,4920.348177208859,7408.644610480416,7561.632960442247,7402.091955745715,12450.889792074997,10340.60526674791,5544.626142933242,-1193.743626120527,13133.62138842974,1850.194738261161,7622.833598914934,2488.80072250295,7186.418733757184,72378.41649263506,1374.5071371166434,6747.499990903294,15711.221114681846,9293.20373628175,12787.029519560761,12186.283182446723,17640.488402658924,11762.813469917026,17657.939695881953,22960.806482926262,18822.82244258078,8600.34386112619,3879.384507055242,8289.877198403363,7705.461331703056,6166.551999781379,92,5,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,18.46487608174752,4898.4328627417935,8057.325161247778,6928.2570952261185,10568.74498914801,1768.7966154628582,5614.879849940893,7288.60545608933,7231.119749442625,7705.259509833007,12737.72064187217,12043.623301708118,5398.357334691659,6485.032257799801,13183.223313605959,1810.7839422818302,6244.941079037172,2127.2323086094934,7206.268394450616,83789.09608279084,7900.948130536659,10230.366483497353,17524.95872320115,10026.534956383735,14321.777550994448,13589.779792565332,18343.62394799404,13211.169135846625,18778.616363261255,20662.604576110967,19685.654373289464,5506.877537872595,3571.304877627806,8078.243771803709,7338.031563052165,5814.895921620714,98,6,0,0
