Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,4370.0,4240.0,2191.0,10703.0,1624.0,7250.0,7006.0,6453.0,8419.0,13413.0,16053.0,5054.0,24563.0,13300.0,1718.0,3001.0,1276.0,7253.0,110653.0,23266.0,18430.0,21795.0,11753.0,17935.0,16894.0,19999.0,16621.0,21417.0,15252.0,21717.0,-1776.0,2846.0,7580.0,6473.0,4987.0,0,1,0,0
Cat,Felis catus,Mammalia,2.0,10207.0,26291.0,23403.0,16698.0,6677.0,12515.0,12683.0,18376.0,15106.0,19017.0,8900.0,3712.0,-28237.0,13010.0,129.0,8095.0,1306.0,4051.0,72299.0,-30297.0,1797.0,13204.0,6039.0,9921.0,8904.0,15411.0,7861.0,13921.0,4229.0,4300.0,3990.0,-10798.0,1826.0,4563.0,3926.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,3.0,8388.0,22234.0,22457.0,22223.0,6665.0,11283.0,11937.0,11241.0,13628.0,17711.0,9204.0,5335.0,39.0,12905.0,1969.0,2438.0,2185.0,8326.0,70245.0,17738.0,2874.0,16482.0,6614.0,10727.0,10030.0,16829.0,9189.0,14123.0,12331.0,18006.0,4974.0,2330.0,6456.0,6139.0,4742.0,0,1,0,0
Lion,Panthera leo,Mammalia,3.0,8394.0,22261.0,22462.0,22211.0,6673.0,11286.0,11629.0,11244.0,13659.0,17712.0,9204.0,5320.0,42.0,12890.0,1962.0,2441.0,2177.0,8351.0,70366.0,17729.0,2889.0,16408.0,6648.0,10751.0,10033.0,16826.0,9184.0,13767.0,12345.0,17683.0,4981.0,2339.0,6461.0,6147.0,4730.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,3.0,4750.0,5550.0,18284.0,11049.0,1689.0,6245.0,6955.0,6246.0,8661.0,14773.0,13537.0,9919.0,28511.0,17282.0,6217.0,14893.0,6828.0,13624.0,74337.0,18181.0,3315.0,16724.0,1079.0,10154.0,10087.0,16414.0,9559.0,20846.0,20693.0,23416.0,10195.0,8051.0,11998.0,9345.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,2.0,756.0,3873.0,17399.0,89.0,-1273.0,1097.0,5428.0,3690.0,6922.0,11073.0,10785.0,5360.0,-14566.0,10075.0,1663.0,9056.0,1252.0,6049.0,70958.0,-42048.0,1202.0,5985.0,6441.0,9728.0,9687.0,15653.0,8165.0,12866.0,11450.0,16532.0,4733.0,2682.0,2465.0,4813.0,3618.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,4282.0,3607.0,-24040.0,10219.0,-130.0,4515.0,4534.0,4761.0,1413.0,10923.0,9097.0,3785.0,-16248.0,12734.0,1915.0,2812.0,1306.0,-25458.0,59619.0,-40229.0,1905.0,3903.0,6329.0,9549.0,8708.0,14343.0,7804.0,8583.0,12263.0,4182.0,4792.0,2445.0,448.0,5240.0,4901.0,0,1,0,0
Cattle,Bos taurus,Mammalia,5.0,4665.0,4329.0,-11649.0,9384.0,25.0,1088.0,5218.0,5049.0,1715.0,7472.0,9249.0,3947.0,-737.0,12655.0,90.0,4468.0,1295.0,4928.0,72860.0,22191.0,15138.0,21322.0,17772.0,17850.0,16831.0,20603.0,17481.0,21432.0,41786.0,23406.0,12979.0,8291.0,12604.0,10181.0,7970.0,0,1,0,0
Sheep,Ovis aries,Mammalia,4.0,3285.0,4346.0,-24065.0,-13655.0,-8427.0,1054.0,3701.0,5065.0,1757.0,1921.0,9208.0,2349.0,22240.0,12629.0,120.0,3931.0,-13556.0,-4681.0,63042.0,22190.0,15925.0,21261.0,12595.0,18232.0,17372.0,21423.0,17525.0,20795.0,36876.0,26172.0,11609.0,15347.0,14105.0,23868.0,9691.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,9906.0,39663.0,23473.0,15880.0,7008.0,12657.0,14198.0,13010.0,14100.0,21481.0,8650.0,3727.0,-14790.0,8886.0,1809.0,8063.0,293.0,-3816.0,65544.0,22720.0,18272.0,21248.0,12796.0,18433.0,16379.0,21418.0,17741.0,20414.0,36606.0,37015.0,11504.0,12926.0,13161.0,11334.0,7452.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,11156.0,50550.0,22442.0,16557.0,10843.0,12711.0,13614.0,30459.0,3662.0,98423.0,11284.0,3793.0,-28395.0,12972.0,1914.0,2692.0,1355.0,7495.0,74535.0,-19131.0,2089.0,7514.0,-2680.0,9851.0,9003.0,15427.0,8720.0,15347.0,4666.0,4106.0,5109.0,2850.0,7259.0,6042.0,3714.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,4.0,9464.0,50650.0,22644.0,14905.0,6918.0,13715.0,11747.0,17757.0,14613.0,18780.0,11726.0,3702.0,-14537.0,12146.0,1943.0,2658.0,280.0,2806.0,74720.0,670.0,2126.0,3951.0,5647.0,5134.0,10095.0,15917.0,8012.0,14709.0,-17167.0,14045.0,4407.0,2657.0,-2743.0,1853.0,3410.0,0,1,0,0
Lemur,Lemur catta,Mammalia,3.0,9952.0,51629.0,24054.0,16632.0,11036.0,14015.0,15186.0,12709.0,14803.0,18452.0,8823.0,3625.0,-14961.0,11093.0,84.0,6207.0,226.0,-4678.0,70498.0,22443.0,11865.0,21617.0,17797.0,17796.0,17171.0,21616.0,17371.0,30932.0,22886.0,26241.0,9242.0,9046.0,12718.0,9823.0,8043.0,0,1,0,0
