Species,B4,C,treeSpecies
,21092.0,2.0,Alligator_mississippiensis
,20555.0,2.0,Crocodylus_porosus
,13518.0,8.0,Pelodiscus_sinensis
,12917.0,8.0,Chelonia_mydas
,19160.0,3.0,Zootoca_vivipara
,26436.0,3.0,Lacerta_agilis
,19735.0,3.0,Podarcis_muralis
,20082.0,4.0,Pogona_vitticeps
,25457.0,4.0,Varanus_komodoensis
,19644.0,8.0,Pelusios_castaneus
,12839.0,8.0,Chelydra_serpentina
,19515.0,3.0,Sphenodon_punctatus
,21623.0,2.0,Salvator_merianae
,22009.0,3.0,Phrynosoma_platyrhinos
,27919.0,3.0,Shinisaurus_crocodilurus
,23551.0,3.0,Eublepharis_macularius
