Species,B4,T,treeSpecies
,21092.0,20.0,Alligator_mississippiensis
,20555.0,18.0,Crocodylus_porosus
,13518.0,10.0,Pelodiscus_sinensis
,12917.0,9.5,Chelonia_mydas
,19160.0,20.0,Zootoca_vivipara
,26436.0,20.0,Lacerta_agilis
,19735.0,20.0,Podarcis_muralis
,20082.0,16.0,Pogona_vitticeps
,25457.0,25.0,Varanus_komodoensis
,19644.0,7.0,Pelusios_castaneus
,12839.0,9.0,Chelydra_serpentina
,19515.0,21.0,Sphenodon_punctatus
,21623.0,22.0,Salvator_merianae
,22009.0,19.0,Phrynosoma_platyrhinos
,27919.0,22.67,Shinisaurus_crocodilurus
,23551.0,23.0,Eublepharis_macularius
