Species,B9,C,treeSpecies
,,1.0,Bufo_bufo
,,1.0,Bufo_gargarizans
,,1.0,Rana_temporaria
,,1.0,Xenopus_tropicalis
,,1.0,Rhinatrema_bivittatum
,,1.0,Geotrypetes_seraphini
,,1.0,Microcaecilia_unicolor
,110653.0,7.0,Erinaceus_europaeus
,75939.0,7.0,Suricata_suricatta
,72299.0,7.0,Felis_catus
,70245.0,7.0,Panthera_tigris
,70366.0,7.0,Panthera_leo
,82686.0,7.0,Panthera_pardus
,74337.0,7.0,Vulpes_vulpes
,70958.0,7.0,Mustela_erminea
,79578.0,7.0,Ursus_americanus
,72719.0,7.0,Equus_caballus
,66416.0,7.0,Vicugna_pacos
,59619.0,7.0,Camelus_ferus
,74776.0,7.0,Monodon_monoceros
,81095.0,7.0,Orcinus_orca
,74840.0,7.0,Tursiops_truncatus
,82872.0,7.0,Balaenoptera_acutorostrata_scammoni
,72860.0,7.0,Bos_taurus
,72083.0,7.0,Capra_hircus
,63042.0,7.0,Ovis_aries
,61410.0,7.0,Sus_scrofa
,65544.0,7.0,Pteropus_vampyrus
,68980.0,7.0,Oryctolagus_cuniculus
,74535.0,7.0,Rattus_norvegicus
,74720.0,7.0,Mus_musculus
,47610.0,7.0,Cavia_porcellus
,70498.0,7.0,Lemur_catta
,89786.0,7.0,Callithrix_jacchus
,97354.0,7.0,Gorilla_gorilla
,107594.0,7.0,Homo_sapiens
,99761.0,7.0,Pan_troglodytes
,94898.0,7.0,Macaca_mulatta
,107351.0,7.0,Macaca_nemestrina
,61306.0,7.0,Loxodonta_africana
,104619.0,7.0,Choloepus_didactylus
,56347.0,7.0,Tachyglossus_aculeatus
,65753.0,7.0,Ornithorhynchus_anatinus
,,17.0,Struthio_camelus_australis
,43563.0,17.0,Apteryx_rowi
,41262.0,18.25,Dromaius_novaehollandiae
,19689.0,14.0,Gallus_gallus
,43738.0,13.0,Phasianus_colchicus
,40019.0,22.0,Cygnus_atratus
,40031.0,23.33333333333333,Cygnus_olor
,38281.0,17.0,Anser_cygnoides
,19732.0,15.0,Anas_platyrhynchos
,,14.0,Cuculus_canorus
,,12.0,Motacilla_alba_alba
,46111.0,9.0,Corvus_hawaiiensis
,,12.0,Taeniopygia_guttata
,31074.0,12.0,Hirundo_rustica
,21748.0,14.0,Strigops_habroptila
,44719.0,11.0,Melopsittacus_undulatus
,41170.0,12.0,Tyto_alba
,,14.0,Opisthocomus_hoazin
,,12.0,Columba_livia
,58918.0,13.5,Calidris_pugnax
,,13.0,Aptenodytes_forsteri
,83268.0,2.0,Alligator_mississippiensis
,87475.0,2.0,Crocodylus_porosus
,50347.0,8.0,Pelodiscus_sinensis
,69292.0,8.0,Chelonia_mydas
,65874.0,3.0,Zootoca_vivipara
,114581.0,3.0,Lacerta_agilis
,68262.0,3.0,Podarcis_muralis
,67223.0,4.0,Pogona_vitticeps
,119960.0,4.0,Varanus_komodoensis
,,1.5,Ambystoma_mexicanum
,,1.0,Pleurodeles_waltl
,,1.0,Xenopus_laevis
,,1.0,Bombina_bombina
,,1.0,Discoglossus_pictus
,43364.0,15.0,Casuarius_casuarius
,37416.0,13.0,Chrysolophus_pictus
,44917.0,17.0,Anser_indicus
,47792.0,15.0,Anas_zonorhyncha
,44711.0,14.0,Otis_tarda
,48072.0,13.0,Falco_berigora
,46347.0,12.0,Falco_columbarius
,47926.0,13.0,Gymnogyps_californianus
,47312.0,13.0,Haliaeetus_pelagicus
,47488.0,13.0,Gypaetus_barbatus
,43098.0,12.0,Otus_sunia
,47575.0,13.0,Pluvialis_apricaria
,43692.0,13.333333333333334,Scolopax_rusticola
,49061.0,13.5,Gallinago_gallinago
,46643.0,14.0,Fratercula_arctica
,47132.0,14.0,Uria_aalge
,50539.0,13.0,Sterna_hirundo
,47760.0,12.5,Alca_torda
,46576.0,14.0,Fulica_atra
,49142.0,12.0,Eudyptes_schlegeli
,43222.0,15.666666666666666,Ciconia_ciconia
,76238.0,8.0,Pelusios_castaneus
,67564.0,8.0,Chelydra_serpentina
,17136.0,3.0,Sphenodon_punctatus
,117546.0,2.0,Salvator_merianae
,127061.0,3.0,Phrynosoma_platyrhinos
,138831.0,3.0,Shinisaurus_crocodilurus
,119204.0,3.0,Eublepharis_macularius
