Common Name,Species,Class,Caudal,A10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,7197.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,17156.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,8419.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,15106.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,13659.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,17878.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,8661.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,6922.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,14976.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,1411.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,15492.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,1715.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,1335.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,13592.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,14613.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,15653.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,2171.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,14627.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,14777.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,1516.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,14891.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,8011.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,13122.0,0,1,0,0,0
