Common Name,Species,Class,Caudal,B5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,6208.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,7235.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,1718.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,129.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,1962.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,3134.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,6217.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,1663.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,12461.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,13097.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,14411.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,8733.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,90.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,8270.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,110.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,1943.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,432.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,1720.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,13729.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,1759.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,99.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,9161.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,1764.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,1603.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,2457.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,14591.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,4038.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,-10496.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,15297.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,2844.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,2292.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,2384.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,2315.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,9544.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,1732.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,-10229.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,7719.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,16019.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,7768.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,9145.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,305.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,1632.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,4748.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,8848.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,4529.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,5652.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,6670.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,-6391.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,-8130.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,18495.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,-3092.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,11840.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,6334.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,975.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,6655.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,6430.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,3146.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,12486.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,12555.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,6515.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,3631.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,7758.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,8845.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,1730.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,5816.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,4572.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,7557.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,3940.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,2548.0,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,1418.6052162410342,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,2928.8916061902887,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,6186.103883481885,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,11572.0,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,6834.63092796709,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,7280.842638177273,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,8737.38421752722,94,5,0,0,0
