Common Name,Species,Class,Caudal,B9,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,110653.0,0,1,0,0
Cat,Felis catus,Mammalia,22.0,72299.0,0,1,0,0
Lion,Panthera leo,Mammalia,23.0,70366.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,23.0,82686.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,22.0,74337.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,18.0,70958.0,0,1,0,0
Horse,Equus caballus,Mammalia,17.0,72719.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,66416.0,0,1,0,0
Orca,Orcinus orca,Mammalia,24.0,81095.0,0,1,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,82872.0,0,1,0,0
Cattle,Bos taurus,Mammalia,21.0,72860.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,61410.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,68980.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,30.0,74720.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,47610.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,89786.0,0,1,0,0
Human,Homo sapiens,Mammalia,4.0,107594.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,99761.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,94898.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,107351.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,61306.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,104619.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,56347.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,65753.0,0,1,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,41262.0,0,0,0,1
Chicken,Gallus gallus,Aves,6.0,19689.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,6.0,43738.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,8.0,40019.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,9.0,40031.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,6.0,38281.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,6.5,19732.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,6.0,31074.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,7.0,21748.0,0,0,0,1
Budgerigar,Melopsittacus undulatus,Aves,6.0,44719.0,0,0,0,1
Ruff,Calidris pugnax,Aves,8.0,58918.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,39.0,83268.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,50347.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,69292.0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,5.0,37416.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,5.0,44917.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,47792.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,47312.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,6.0,43098.0,0,0,0,1
