Common Name,Species,Class,Caudal,C10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,9233.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,12296.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,16826.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,16894.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,8904.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,10033.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,9664.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,10087.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,9687.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,8761.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,17333.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,8736.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,8922.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,16831.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,8779.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,8348.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,10095.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,17349.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,17276.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,7503.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,17350.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,7434.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,17134.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,8634.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,16307.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,11825.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,11953.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,18167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,18428.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,11542.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,10592.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,17203.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,19155.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,17632.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,24397.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,22047.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,11127.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,37569.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,12012.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,11276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,10380.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,17289.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,9342.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,14324.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,15510.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,19401.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,16575.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,17309.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,16715.0,0,0,0,1,0
