Common Name,Species,Class,Caudal,D9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,8800.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,11803.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,8011.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,2846.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,-10798.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,2339.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,2653.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,8051.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,2682.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,1746.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,9263.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,1786.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,8242.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,8291.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,-10749.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,2926.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,2657.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,8285.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,8261.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,2782.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,731.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,259.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,15642.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,7806.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,3464.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,3510.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,2893.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,8127.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,10549.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,8162.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,8018.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,8180.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,8073.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,2350.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,1652.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,2054.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,8742.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,7879.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,1937.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,8584.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,8266.0,0,0,1,0,0
