Common Name,Species,Class,Cervical,A3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,-18524.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,-22350.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,75171.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,24799.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,24889.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,-21884.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,29352.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,2191.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,7102.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,23403.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,22457.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,22462.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,28108.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,18284.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,17399.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,5950.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,23316.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,10380.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-24040.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,24507.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,-23862.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,24142.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,31690.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,-11649.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,23044.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-24065.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,-24120.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,23473.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,22017.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,22442.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,22644.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,23645.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,24054.0,0,1,0,0,0
