Common Name,Species,Class,Cervical,B9,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,110653.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,7.0,75939.0,0,1,0,0
Cat,Felis catus,Mammalia,7.0,72299.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,7.0,70245.0,0,1,0,0
Lion,Panthera leo,Mammalia,7.0,70366.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,7.0,82686.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,7.0,74337.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,7.0,70958.0,0,1,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,79578.0,0,1,0,0
Horse,Equus caballus,Mammalia,7.0,72719.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,66416.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,59619.0,0,1,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,74776.0,0,1,0,0
Orca,Orcinus orca,Mammalia,7.0,81095.0,0,1,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,74840.0,0,1,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,82872.0,0,1,0,0
Cattle,Bos taurus,Mammalia,7.0,72860.0,0,1,0,0
Goat,Capra hircus,Mammalia,7.0,72083.0,0,1,0,0
Sheep,Ovis aries,Mammalia,7.0,63042.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,61410.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,65544.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,68980.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,74535.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,7.0,74720.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,47610.0,0,1,0,0
Lemur,Lemur catta,Mammalia,7.0,70498.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,89786.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,97354.0,0,1,0,0
Human,Homo sapiens,Mammalia,7.0,107594.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,99761.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,94898.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,107351.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,61306.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,104619.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,56347.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,65753.0,0,1,0,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,43563.0,0,0,0,1
Emu,Dromaius novaehollandiae,Aves,18.25,41262.0,0,0,0,1
Chicken,Gallus gallus,Aves,14.0,19689.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,13.0,43738.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,22.0,40019.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,23.33333333333333,40031.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,17.0,38281.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,15.0,19732.0,0,0,0,1
Crow,Corvus hawaiiensis,Aves,9.0,46111.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,12.0,31074.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,14.0,21748.0,0,0,0,1
Budgerigar,Melopsittacus undulatus,Aves,11.0,44719.0,0,0,0,1
Barn Owl,Tyto alba,Aves,12.0,41170.0,0,0,0,1
Ruff,Calidris pugnax,Aves,13.5,58918.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,2.0,83268.0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,87475.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,50347.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,69292.0,0,0,1,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,65874.0,0,0,1,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,114581.0,0,0,1,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,68262.0,0,0,1,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,4.0,67223.0,0,0,1,0
Komodo Dragon,Varanus komodoensis,Reptilia,4.0,119960.0,0,0,1,0
Southern Cassowary,Casuarius casuarius,Aves,15.0,43364.0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,13.0,37416.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,17.0,44917.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,47792.0,0,0,0,1
Great Bustard,Otis tarda,Aves,14.0,44711.0,0,0,0,1
Brown Falcon,Falco berigora,Aves,13.0,48072.0,0,0,0,1
Merlin,Falco columbarius,Aves,12.0,46347.0,0,0,0,1
California Condor,Gymnogyps californianus,Aves,13.0,47926.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,13.0,47312.0,0,0,0,1
Lammergeier,Gypaetus barbatus,Aves,13.0,47488.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,12.0,43098.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,13.0,47575.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,13.333333333333334,43692.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,13.5,49061.0,0,0,0,1
