Common Name,Species,Class,Cervical,C4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,-48513.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,71255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,116907.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,47702.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,203394.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,22650.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,28523.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,23266.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,22629.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,-30297.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,17738.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,17729.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,4778.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,18181.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,-42048.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,23402.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,14585.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,22611.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-40229.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,17037.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,-19097.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,23436.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,19202.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,22191.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,22331.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,22190.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,2228.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,22720.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,16119.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,-19131.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,670.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,22272.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,22443.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,24371.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,23027.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,-18473.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,-60.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,27.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,25657.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,17739.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,22386.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,20812.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,20701.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,23379.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,21393.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,21399.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,19087.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,21888.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,30923.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,22507.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,18630.0,0,0,0,1,0
