Common Name,Species,Class,Cervical,D4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,28770.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,29561.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,42330.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,22813.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,15785.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,40585.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,21717.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,24717.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,4300.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,18006.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,17683.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,16685.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,23416.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,16532.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,17874.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,4182.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,33941.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4182.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,38692.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,4190.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,24780.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,30102.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,23406.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,26172.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,37015.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,16783.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,4106.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,14045.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,36229.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,26241.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,34622.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,17109.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,18855.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,4122.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,36302.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,24193.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,17280.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,19815.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,14878.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,16660.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,20296.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,18522.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,16532.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,15989.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,18066.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,18235.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,24250.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,13232.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,15515.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,21534.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,12010.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,15077.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,22154.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,45289.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,15948.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,19136.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,19436.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,14530.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,16204.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,22778.0,0,0,1,0,0
