Common Name,Species,Class,Lumbar,C4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,-48513.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,71255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,116907.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,47702.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,23266.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,22629.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,-30297.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,17738.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,17729.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,4778.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,18181.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,-42048.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,23402.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14585.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,22611.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-40229.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-19097.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,19202.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,22191.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,22331.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,22190.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,2228.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,22720.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,16119.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,-19131.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,670.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,22272.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,22443.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,24371.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,23027.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,-18473.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,-60.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,27.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,25657.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,17739.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,22386.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,20812.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,20701.0,0,1,0,0,0
