Common Name,Species,Class,Lumbar,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,4987.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,6.0,7763.0,0,1,0,0
Cat,Felis catus,Mammalia,7.0,3926.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,7.0,4742.0,0,1,0,0
Lion,Panthera leo,Mammalia,7.0,4730.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,7.0,2448.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,7.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,6.0,3618.0,0,1,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,5064.0,0,1,0,0
Horse,Equus caballus,Mammalia,5.0,2138.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,7976.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4901.0,0,1,0,0
Orca,Orcinus orca,Mammalia,11.0,3935.0,0,1,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,7554.0,0,1,0,0
Cattle,Bos taurus,Mammalia,6.0,7970.0,0,1,0,0
Goat,Capra hircus,Mammalia,6.0,5105.0,0,1,0,0
Sheep,Ovis aries,Mammalia,7.0,9691.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,2997.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,7452.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,3781.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,3714.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,6.0,3410.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,12581.0,0,1,0,0
Lemur,Lemur catta,Mammalia,7.0,8043.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,9740.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,3869.0,0,1,0,0
Human,Homo sapiens,Mammalia,5.0,3851.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,3806.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,3602.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,10508.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,9146.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,4987.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8812.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,6419.0,0,1,0,0
Ostrich,Struthio camelus australis,Aves,0.0,5676.0,0,0,0,1
Okarito Kiwi,Apteryx rowi,Aves,0.0,8950.0,0,0,0,1
Chicken,Gallus gallus,Aves,0.0,8234.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,0.0,7800.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,0.0,8242.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,0.0,8383.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,0.0,8465.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,0.0,2786.0,0,0,0,1
Common Cuckoo,Cuculus canorus,Aves,0.0,4983.0,0,0,0,1
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,5418.0,0,0,0,1
Crow,Corvus hawaiiensis,Aves,0.0,8390.0,0,0,0,1
Zebra Finch,Taeniopygia guttata,Aves,0.0,4763.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,0.0,-5807.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,0.0,9351.0,0,0,0,1
Barn Owl,Tyto alba,Aves,0.0,4188.0,0,0,0,1
Hoatzin,Opisthocomus hoazin,Aves,0.0,10096.0,0,0,0,1
Rock Pigeon,Columba livia,Aves,0.0,8615.0,0,0,0,1
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,6545.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,4.0,14730.0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,7244.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,9147.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,4879.0,0,0,1,0
Southern Cassowary,Casuarius casuarius,Aves,0.0,7532.0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,0.0,7415.0,0,0,0,1
Bar-Headed Goose,Anser indicus,Aves,0.0,6314.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,7545.0,0,0,0,1
Great Bustard,Otis tarda,Aves,0.0,8874.0,0,0,0,1
Brown Falcon,Falco berigora,Aves,0.0,6002.0,0,0,0,1
Merlin,Falco columbarius,Aves,0.0,7793.0,0,0,0,1
California Condor,Gymnogyps californianus,Aves,0.0,9153.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,6950.0,0,0,0,1
Lammergeier,Gypaetus barbatus,Aves,0.0,9232.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,0.0,5594.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,0.0,9331.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,7946.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,0.0,9363.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,0.0,9261.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,0.0,9249.0,0,0,0,1
Razorbill,Alca torda,Aves,0.0,9285.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,0.0,8302.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,0.0,10391.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,0.0,5418.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,4969.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,4877.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,9213.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,-203.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,13144.0,0,0,1,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,3588.9999999999995,49,2,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,4161.265108310451,57,3,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,4068.1111430348255,60,4,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,5716.329238583829,56,5,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,4341.0,48,2,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,5636.554034787568,63,3,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,5670.890102057748,47,8,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,4563.40158519486,68,9,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,6438.5,73,2,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,5744.499999999999,87,2,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,7398.000000000001,83,2,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,7656.237029927288,82,3,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,6641.415813534561,80,5,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,5574.430544102017,79,6,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,5811.662146504857,94,8,0,0
