Common Name,Species,Class,Lumbar,D8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,10638.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,10984.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,26250.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,49807.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,-1776.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,9742.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,3990.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,4974.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,4981.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,5723.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,10195.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,4733.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,3812.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,4753.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4792.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,4886.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,10099.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,12979.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,4814.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,11609.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,4647.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,11504.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,7738.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,5109.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,4407.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,10619.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,9242.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,11608.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,4743.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,4768.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,4754.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,4770.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,8942.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,5047.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,6711.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5632.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,5476.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,14530.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,26050.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,9664.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,7434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,9572.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,8507.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,10065.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,3759.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,3516.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,3709.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,9748.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,3964.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,3802.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,9669.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,4478.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,6325.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,8023.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,4749.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,4254.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,8727.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,8977.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,5540.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,8182.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,9990.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,16323.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,5058.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,5086.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,8046.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,9322.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,4066.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,9897.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,8151.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,9443.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,8733.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,8021.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,3904.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,7974.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,5685.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,7430.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,7176.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,7349.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,8087.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,7725.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,7949.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,8011.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,8484.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,7206.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,7069.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,5490.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,5525.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,6182.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,351.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,6867.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,5351.999999999999,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,5164.38836865451,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,4699.3855720248475,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,6948.797846875167,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,4272.500000000001,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,6386.834188765327,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,6628.709120448806,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,6040.712819442417,68,9,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,7492.500000000001,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,8211.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,10363.851468843264,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,8839.631168306743,80,5,0,0,0
