Common Name,Species,Class,Sacral,A11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,8592.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,8270.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,22325.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,25336.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,20195.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,15291.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,20352.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,13413.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,13104.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,19017.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,17711.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,17712.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,19536.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,14773.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,11073.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,19038.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,5849.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,10923.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,9348.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,7472.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,18625.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,1921.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,9477.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,21481.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,17566.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,98423.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,18780.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,18175.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,18452.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,8076.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,18563.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,18934.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,18962.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,8962.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,18578.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,17180.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,22121.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,15230.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,20524.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,20213.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,19446.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,39228.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,20451.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,19310.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,13411.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,20826.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,13706.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,14788.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,5611.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,18631.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,19967.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,21546.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,14194.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,45705.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,65207.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,22659.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,22993.0,0,0,0,0,1
