Common Name,Species,Class,Sacral,B9,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,110653.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,3.0,75939.0,0,1,0,0
Cat,Felis catus,Mammalia,2.0,72299.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,3.0,70245.0,0,1,0,0
Lion,Panthera leo,Mammalia,3.0,70366.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,3.0,82686.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,3.0,74337.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,2.0,70958.0,0,1,0,0
Horse,Equus caballus,Mammalia,5.0,72719.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,66416.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,59619.0,0,1,0,0
Orca,Orcinus orca,Mammalia,0.0,81095.0,0,1,0,0
Cattle,Bos taurus,Mammalia,5.0,72860.0,0,1,0,0
Goat,Capra hircus,Mammalia,4.0,72083.0,0,1,0,0
Sheep,Ovis aries,Mammalia,4.0,63042.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,61410.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,65544.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,68980.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,74535.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,4.0,74720.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,47610.0,0,1,0,0
Lemur,Lemur catta,Mammalia,3.0,70498.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,89786.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,97354.0,0,1,0,0
Human,Homo sapiens,Mammalia,5.0,107594.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,99761.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,94898.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,107351.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,61306.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,104619.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,56347.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,65753.0,0,1,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,41262.0,0,0,0,1
Chicken,Gallus gallus,Aves,12.0,19689.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,14.0,43738.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,19.0,40019.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,20.0,40031.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,19.0,38281.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,16.0,19732.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,10.0,31074.0,0,0,0,1
Budgerigar,Melopsittacus undulatus,Aves,12.0,44719.0,0,0,0,1
Ruff,Calidris pugnax,Aves,12.0,58918.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,2.0,83268.0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,87475.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,50347.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,69292.0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,15.0,37416.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,47792.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,47312.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,11.0,43098.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,13.0,47575.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,43692.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,14.0,49061.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,12.0,46643.0,0,0,0,1
Common Murre,Uria aalge,Aves,12.5,47132.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,12.0,50539.0,0,0,0,1
Razorbill,Alca torda,Aves,17.0,47760.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,15.0,46576.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,15.0,49142.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,13.0,43222.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,76238.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,67564.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,17136.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,127061.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,138831.0,0,0,1,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,2.9999999999999996,76526.0,49,2,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,3.0,73408.56969184914,57,3,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,2.6040468306388176,72969.23205573436,60,4,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.7806738427073516,74293.98780747852,56,5,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,2.5000000000000004,72647.50000000001,63,2,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.6360347623421885,73445.50659523228,47,7,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.4050066392401988,73209.18199484685,68,8,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,4.5,63017.5,73,2,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,4.0,67562.5,83,2,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,4.451463339033721,69954.12703853114,82,3,0,0
Cattle+Goat+Sheep+Orca,Bos taurus+Capra hircus+Ovis aries+Orcinus orca,Mammalia+Mammalia+Mammalia+Mammalia,2.4803038241696975,74887.4345981656,80,4,0,0
Cattle+Goat+Sheep+Orca+Wild Boar,Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.9727216531717295,70520.42414509287,79,5,0,0
Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar,Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.420311143219838,68321.59116946282,94,7,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.412403546774044,70846.93246054425,92,15,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.891472733351066,69865.1443083853,78,16,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar+Flying Fox,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.817006766904143,77623.8126257772,98,17,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,3.7590392228892244,74630.84451246902,97,2,0,0
Norway Rat+House Mouse+Guinea Pig,Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia,3.6353622779612533,61729.88124751582,77,3,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia+Mammalia,3.762820501271707,64264.14251323106,71,4,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,5.48270952091476,103812.93632267468,67,2,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,5.309986159506523,101501.79650786433,66,3,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,2.9999999999999996,100047.87334908613,46,2,0,0
Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,4.222344374126757,100817.22635418155,32,5,0,0
Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.7566031627356957,96614.07637936706,106,6,0,0
Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.461352339635796,86422.7456700589,104,7,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.62443179080269,74436.03098074878,103,11,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar+Flying Fox+Rabbit+Norway Rat+House Mouse+Guinea Pig+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa+Pteropus vampyrus+Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.7246718396399,76095.35034948996,31,28,0,0
African Bush Elephant+Linne'S Two-Toed Sloth,Loxodonta africana+Choloepus didactylus,Mammalia+Mammalia,6.5,82962.5,30,2,0,0
