Common Name,Species,Class,Sacral,C6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,15739.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,19152.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,25455.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,23401.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,20046.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,23424.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,21795.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,20740.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,13204.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,16482.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,16408.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,32165.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,16724.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,5985.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,3793.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,20719.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,3903.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,3911.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,21322.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,21283.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,21261.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,4493.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,21248.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,7434.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,7514.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,3951.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,20869.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,21617.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,21891.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,21820.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,4119.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,23419.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,4548.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,21713.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,6393.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,21277.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,16527.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,16274.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,27813.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,19754.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,16809.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,22928.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,24262.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,30712.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,19719.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,14475.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,22527.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,9021.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,20333.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,21322.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,24251.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,22956.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,18664.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,27196.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,21217.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,21674.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,22584.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,26632.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,25350.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,23686.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,7947.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,23604.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,15.0,63779.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,15.0,23135.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,13.0,22892.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,21364.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,8873.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,22338.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,20154.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,26030.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.0,20827.5,25,0,0,0,2
Common Frog+Common Toad,Rana temporaria+Bufo bufo,Amphibia+Amphibia,1.0,17445.499999999996,36,0,0,0,2
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,24853.0,35,0,0,0,2
Common Frog+Common Toad+African Clawed Frog+Western Clawed Frog,Rana temporaria+Bufo bufo+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia,1.0,20590.149827730274,34,0,0,0,4
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,20810.0,43,0,0,0,2
Common Frog+Common Toad+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Rana temporaria+Bufo bufo+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,20675.082801301134,33,0,0,0,6
Axolotl+Iberian Ribbed Newt+Common Frog+Common Toad+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Ambystoma mexicanum+Pleurodeles waltl+Rana temporaria+Bufo bufo+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,20733.172689159834,51,0,0,0,8
Gaboon Caecilian+Tiny Cayenne Caecilian,Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia,0.0,21735.0,14,0,0,0,2
Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia,0.0,22437.192186544962,13,0,0,0,3
Axolotl+Iberian Ribbed Newt+Common Frog+Common Toad+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog+Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Ambystoma mexicanum+Pleurodeles waltl+Rana temporaria+Bufo bufo+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus+Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,0.6363055958600249,21352.915044904217,50,0,0,0,11
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,2.9999999999999996,24286.499999999996,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,3.0,20412.915405196083,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,2.6040468306388176,17558.52250285204,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.7806738427073516,18977.717770795294,56,5,0,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,2.5000000000000004,11354.5,63,2,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.6360347623421885,15049.260465492147,47,7,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.4050066392401988,11387.722808712397,68,8,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,4.5,12311.0,73,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,4.0,21272.0,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,4.451463339033721,21294.573166951686,82,3,0,0,0
Cattle+Goat+Sheep+Orca,Bos taurus+Capra hircus+Ovis aries+Orcinus orca,Mammalia+Mammalia+Mammalia+Mammalia,2.4803038241696975,13596.925665307921,80,4,0,0,0
Cattle+Goat+Sheep+Orca+Wild Boar,Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.9727216531717295,10647.03648166402,79,5,0,0,0
Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar,Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.420311143219838,11134.683402199063,94,7,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.412403546774044,11265.42488289342,92,15,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.891472733351066,13113.60493250437,78,16,0,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+Horse+Alpaca+Two-Humped Camel+Cattle+Goat+Sheep+Orca+Wild Boar+Flying Fox,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Equus caballus+Vicugna pacos+Camelus ferus+Bos taurus+Capra hircus+Ovis aries+Orcinus orca+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.817006766904143,14764.980414711637,98,17,0,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,3.7590392228892244,5668.086497691384,97,2,0,0,0
Norway Rat+House Mouse+Guinea Pig,Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia,3.6353622779612533,12925.684482703264,77,3,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia+Mammalia,3.762820501271707,11006.079612331218,71,4,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,5.48270952091476,13435.293753654867,67,2,0,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,5.309986159506523,16435.513522564517,66,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,2.9999999999999996,11646.496429540142,46,2,0,0,0
