Common Name,Species,Class,Sacral,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,4987.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,3.0,7763.0,0,1,0,0
Cat,Felis catus,Mammalia,2.0,3926.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,3.0,4742.0,0,1,0,0
Lion,Panthera leo,Mammalia,3.0,4730.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,3.0,2448.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,3.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,2.0,3618.0,0,1,0,0
Horse,Equus caballus,Mammalia,5.0,2138.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,7976.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,4901.0,0,1,0,0
Orca,Orcinus orca,Mammalia,0.0,3935.0,0,1,0,0
Cattle,Bos taurus,Mammalia,5.0,7970.0,0,1,0,0
Goat,Capra hircus,Mammalia,4.0,5105.0,0,1,0,0
Sheep,Ovis aries,Mammalia,4.0,9691.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,2997.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,7452.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,3781.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,3714.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,4.0,3410.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,12581.0,0,1,0,0
Lemur,Lemur catta,Mammalia,3.0,8043.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,9740.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,3869.0,0,1,0,0
Human,Homo sapiens,Mammalia,5.0,3851.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,3806.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,3602.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,10508.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,9146.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,4987.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,8812.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,6419.0,0,1,0,0
Chicken,Gallus gallus,Aves,12.0,8234.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,14.0,7800.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,19.0,8242.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,20.0,8383.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,19.0,8465.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,16.0,2786.0,0,0,0,1
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,5418.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,10.0,-5807.0,0,0,0,1
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,6545.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,2.0,14730.0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,7244.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,9147.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,4879.0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,15.0,7415.0,0,0,0,1
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,7545.0,0,0,0,1
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,6950.0,0,0,0,1
Oriental Scops Owl,Otus sunia,Aves,11.0,5594.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,13.0,9331.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,7946.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,14.0,9363.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,12.0,9261.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,12.0,9249.0,0,0,0,1
Razorbill,Alca torda,Aves,17.0,9285.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,15.0,8302.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,15.0,10391.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,13.0,5418.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,4969.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,4877.0,0,0,1,0
