Common Name,Species,Class,Sacral,D1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,79035.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,89857.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,120788.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,30682.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,13237.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,136173.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,71582.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,21417.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,19756.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,13921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,14123.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,13767.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,18891.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,20846.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,12866.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,10310.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,21417.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,8583.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,13974.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,21432.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,13157.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,20795.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,12725.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,20414.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,15322.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,15347.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,14709.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,20062.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,30932.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,26848.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,15476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,15570.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,14138.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,14453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,38346.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,24398.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,13555.0,0,1,0,0,0
