Common Name,Species,Class,Thoracic,B5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,6208.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,429.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,7235.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,1718.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,1952.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,129.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,1969.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,1962.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,3134.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,6217.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,1663.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,25031.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,12461.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,13097.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,1915.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,-10472.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,14411.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,38.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,8733.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,90.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,807.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,120.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,8270.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,1809.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,110.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,1914.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,1943.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,432.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,84.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,1720.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,1704.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,13729.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,1759.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,99.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,9161.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,1764.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,1603.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,2457.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,14591.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,2598.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,4038.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,-10496.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,15297.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,2844.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,2292.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,2384.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,2315.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,7178.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,9544.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,2903.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,1732.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,-10229.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,7719.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,16019.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,7768.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,9145.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,7903.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,305.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,1632.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,163.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,9801.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,802.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,2252.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,8025.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,4748.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,8848.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,4529.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,5652.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,6670.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,-6391.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,-8130.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,18495.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,5194.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,3160.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,6195.0,0,0,0,1,0
