Common Name,Species,Class,Thoracic,B9,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,110653.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,15.0,75939.0,0,1,0,0
Cat,Felis catus,Mammalia,13.0,72299.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,13.0,70245.0,0,1,0,0
Lion,Panthera leo,Mammalia,13.0,70366.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,13.0,82686.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,13.0,74337.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,14.0,70958.0,0,1,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,79578.0,0,1,0,0
Horse,Equus caballus,Mammalia,19.0,72719.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,66416.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,59619.0,0,1,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,74776.0,0,1,0,0
Orca,Orcinus orca,Mammalia,11.0,81095.0,0,1,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,74840.0,0,1,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,82872.0,0,1,0,0
Cattle,Bos taurus,Mammalia,13.0,72860.0,0,1,0,0
Goat,Capra hircus,Mammalia,13.0,72083.0,0,1,0,0
Sheep,Ovis aries,Mammalia,13.0,63042.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,61410.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,65544.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,68980.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,74535.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,13.0,74720.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,47610.0,0,1,0,0
Lemur,Lemur catta,Mammalia,12.0,70498.0,0,1,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,89786.0,0,1,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,97354.0,0,1,0,0
Human,Homo sapiens,Mammalia,12.0,107594.0,0,1,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,99761.0,0,1,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,94898.0,0,1,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,107351.0,0,1,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,61306.0,0,1,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,104619.0,0,1,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,56347.0,0,1,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,65753.0,0,1,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,43563.0,0,0,0,1
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,41262.0,0,0,0,1
Chicken,Gallus gallus,Aves,6.0,19689.0,0,0,0,1
Common Pheasant,Phasianus colchicus,Aves,5.5,43738.0,0,0,0,1
Black Swan,Cygnus atratus,Aves,7.5,40019.0,0,0,0,1
Mute Swan,Cygnus olor,Aves,6.5,40031.0,0,0,0,1
Swan Goose,Anser cygnoides,Aves,6.0,38281.0,0,0,0,1
Mallard,Anas platyrhynchos,Aves,6.0,19732.0,0,0,0,1
Barn Swallow,Hirundo rustica,Aves,6.0,31074.0,0,0,0,1
Kakapo,Strigops habroptila,Aves,7.0,21748.0,0,0,0,1
Budgerigar,Melopsittacus undulatus,Aves,5.0,44719.0,0,0,0,1
Ruff,Calidris pugnax,Aves,8.0,58918.0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,20.0,83268.0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,87475.0,0,0,1,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,50347.0,0,0,1,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,69292.0,0,0,1,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,65874.0,0,0,1,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,114581.0,0,0,1,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,68262.0,0,0,1,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,67223.0,0,0,1,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,119960.0,0,0,1,0
