Common Name,Species,Class,Thoracic,C10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,9233.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,26958.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,12296.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,16826.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,16894.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,17344.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,8904.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,10030.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,10033.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,9664.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,10087.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,9687.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,17236.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,8761.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,17333.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,8708.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,8715.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,8736.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,17171.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,8922.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,16831.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,17345.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,17372.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,8779.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,16379.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,8348.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,9003.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,10095.0,0,1,0,0,0
