Common Name,Species,Class,Thoracic,D12,node,Mammalia,Reptilia,Aves
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,4987.0,0,1,0,0
Suricate,Suricata suricatta,Mammalia,15.0,7763.0,0,1,0,0
Cat,Felis catus,Mammalia,13.0,3926.0,0,1,0,0
Tiger,Panthera tigris,Mammalia,13.0,4742.0,0,1,0,0
Lion,Panthera leo,Mammalia,13.0,4730.0,0,1,0,0
Leopard,Panthera pardus,Mammalia,13.0,2448.0,0,1,0,0
Fox,Vulpes vulpes,Mammalia,13.0,7970.0,0,1,0,0
Ermine,Mustela erminea,Mammalia,14.0,3618.0,0,1,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,5064.0,0,1,0,0
Horse,Equus caballus,Mammalia,19.0,2138.0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,7976.0,0,1,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,4901.0,0,1,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,10825.0,0,1,0,0
Orca,Orcinus orca,Mammalia,11.0,3935.0,0,1,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,8968.0,0,1,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,7554.0,0,1,0,0
Cattle,Bos taurus,Mammalia,13.0,7970.0,0,1,0,0
Goat,Capra hircus,Mammalia,13.0,5105.0,0,1,0,0
Sheep,Ovis aries,Mammalia,13.0,9691.0,0,1,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,2997.0,0,1,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,7452.0,0,1,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,3781.0,0,1,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,3714.0,0,1,0,0
House Mouse,Mus musculus,Mammalia,13.0,3410.0,0,1,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,12581.0,0,1,0,0
