Common Name,Species,Class,Cervical,B3
(Axolotl)-(Iberian Ribbed Newt),(Ambystoma mexicanum)-(Pleurodeles waltl),(Amphibia)-(Amphibia),0.028288797817267224,1204.706743846142
(Common Toad)-(Asiatic Toad),(Bufo bufo)-(Bufo gargarizans),(Amphibia)-(Amphibia),0.0,8870.824755698783
(Common Toad+Asiatic Toad)-(Common Frog),(Bufo bufo+Bufo gargarizans)-(Rana temporaria),(Amphibia+Amphibia)-(Amphibia),0.0,-576.8728633515526
(African Clawed Frog)-(Western Clawed Frog),(Xenopus laevis)-(Xenopus tropicalis),(Amphibia)-(Amphibia),0.0,-1976.326433792382
(Common Toad+Asiatic Toad+Common Frog)-(African Clawed Frog+Western Clawed Frog),(Bufo bufo+Bufo gargarizans+Rana temporaria)-(Xenopus laevis+Xenopus tropicalis),(Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,-397.4585308485339
(European Fire-Bellied Toad)-(Painted Frog),(Bombina bombina)-(Discoglossus pictus),(Amphibia)-(Amphibia),0.0,111.32200603228402
(Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog)-(European Fire-Bellied Toad+Painted Frog),(Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis)-(Bombina bombina+Discoglossus pictus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia),0.0,-1169.6931548667967
(Axolotl+Iberian Ribbed Newt)-(Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog),(Ambystoma mexicanum+Pleurodeles waltl)-(Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.013469882725143614,1422.0164097320671
(Gaboon Caecilian)-(Tiny Cayenne Caecilian),(Geotrypetes seraphini)-(Microcaecilia unicolor),(Amphibia)-(Amphibia),0.0,298.33792945542626
(Two-Lined Caecilian)-(Gaboon Caecilian+Tiny Cayenne Caecilian),(Rhinatrema bivittatum)-(Geotrypetes seraphini+Microcaecilia unicolor),(Amphibia)-(Amphibia+Amphibia),0.0,1450.9958135001302
(Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog)-(Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian),(Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus)-(Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia),0.005485012270074632,-550.7961288081965
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,-30.824810119754495
(Tiger)-(Lion+Leopard),(Panthera tigris)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),0.0,-12.408930380697097
(Cat)-(Tiger+Lion+Leopard),(Felis catus)-(Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-6371.660393701433
(Suricate)-(Cat+Tiger+Lion+Leopard),(Suricata suricatta)-(Felis catus+Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),0.0,261.31551911387754
