Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),0.4211693151426613,420.5375611699473,176.57523537356076,93.18371097531382,1154.003923490892,311.8758778631407,542.0449085886052,160.78138605571095,269.12719237616056,183.103359758272,389.5816165069617,289.764488818151,480.02772693384827,4535.677647100106,758.84181355829,479.5012652899199,614.5913231219286,587.1100253088699,797.5893905514149,355.78277896676315,6341.651670431837,222.48269072411085,1130.73431882926,-564.5774669487375,44.85453206269343,42.116931514266135,80.12746220589132,146.77750632721748,840.2327837096094,973.2169949659046,724.8323913605201,575.106699827304,565.3145132502372,1003.7517703137476,477.1848340566353,458.2322148752155
(Cat)-(Lion),(Felis catus)-(Panthera leo),(Mammalia)-(Mammalia),-0.20486659548580774,371.4231376157694,825.6123798078052,192.77946635214508,-1129.429540913258,0.819466381943231,251.7810458520577,215.92939164204137,1461.1085590047808,296.4419636679638,267.35090710897913,-62.279445027685554,-329.42548554117883,-5793.422453743157,24.58399145829693,-375.52046952548557,1158.315730876757,-178.43880466813854,-880.9263605889732,396.00712907406637,-9838.923114801402,-223.71432227050207,-656.392571936528,-124.76375665085692,-170.0392742532204,-231.29438630347693,-289.8862326124179,-271.03850582772367,31.54945570481439,-1662.6972889628157,-2741.729647386565,-203.02279612643548,-2691.332464897056,-949.5566700767189,-324.5086872495195,-164.71274277058941
(Fox+Ermine)-(Cat+Lion),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera leo),(Mammalia+Mammalia)-(Mammalia+Mammalia),-0.2757147590073221,-722.0969538401775,-2157.6885610395043,-561.4655352425111,-1531.3749144784706,-713.2189386001418,-907.5978437003043,-657.80027203967,-1085.433863260027,-726.8943906469048,-600.1207444553381,342.87887430150624,344.4780199037487,2323.723988913714,80.34328077473417,319.222547978678,739.6324125130433,253.49214943133234,400.94440254844835,145.02596323785323,-623.0602124047477,-9.3191588544475,-380.6517962855094,-284.923631958167,-43.56293192315695,46.15465065782578,-9.374301806248564,37.44206427319439,332.18114165202235,858.5206165970008,990.6431291133097,328.4865638813239,1058.3035309737065,340.56287032584476,190.1328978114496,161.6791346818939
(Fox+Ermine+Cat+Lion)-(Cattle),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo)-(Bos taurus),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-0.0002115225282323271,64.98902728085754,759.3017336952187,2922.2959280426558,160.0590992220269,256.2293747488759,543.9317787342741,310.9219633642711,356.62232456005614,807.1787583682176,706.6624052665456,154.93341600562383,226.75383067906887,-64.82640968238441,67.93155817550543,249.82747146904782,447.7709674902876,169.43819309189627,320.54126143466124,-68.35197681878692,-2954.520692366723,-1190.8781205109144,-796.3475128187672,-1203.410160036313,-718.5961222109368,-659.2326593166601,-420.4743744959651,-811.5920648701775,-535.6588804946331,-2671.892145827019,-650.4982861128432,-621.47020885195,-626.1481867539477,-612.310881121348,-351.35746777395383,-255.966481450577
(Western European Hedgehog)-(Fox+Ermine+Cat+Lion+Cattle),(Erinaceus europaeus)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.7664371824007974,-67.8992470014821,-490.49467261309263,-608.6983083325982,17.250657152032918,-18.60516605133093,210.099399136372,-36.312460900737015,-99.98194432875798,91.70974262531374,86.76780564824142,515.171704777808,-44.24706594454533,2322.869154358889,15.004837194158462,-11.92196825548979,-416.8195661431162,-109.37630274928507,6.004624336779529,3451.7891980346817,1974.2819298977774,1053.5850071283073,548.6649445978112,221.836461547254,464.26916422910944,424.5649349811923,212.70211480093337,438.1350298260245,339.0104493238666,-695.2178837526569,261.011091811665,-935.7894553715217,-93.19567065134225,-64.0201988065617,-111.14939267593702,-106.37777026579808
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),0.6207711542669869,-193.3702145541664,-1153.3928046280616,-289.27935788841586,-81.0106356318418,-45.00590868435655,-1171.3951681018043,-992.3026900957785,-129.12040008753328,-46.557836570024016,-8.690796159737816,2075.237968714537,13577.81707170467,13750.701838168026,1725.43342328509,3715.3153582879163,4045.25522678082,2473.773049753943,3017.2581953146896,2431.250225686654,-5715.129631759015,-10058.355012587988,-5990.441638676423,-2055.9940629322605,-2578.993760402197,-3056.36677803351,-2676.765217199247,-2897.1389769640277,444.4721464551626,754.2369524343891,4572.9107079077585,4.345398079868908,636.600818700795,-1210.193365243491,619.5296119584528,13.967350971007205
(Common Marmoset)-(Human+Chimpanzee),(Callithrix jacchus)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),1.7631727362737135,-632.5530122024876,-5644.296077962668,-5319.074254471039,-552.9565664553644,-574.4924074472691,-797.8791328732439,-845.8614191510342,-1571.0552458108407,-1383.5994273105248,-1200.617429940899,-146.39572429601932,-2787.7466662421193,-3413.386628604593,-318.8997994482745,-688.1292102218928,-447.03199610441675,-460.05895554563983,-758.1035980126504,-1549.0925501416316,3749.983845908207,1704.4087997118604,933.8227002018377,379.52024617525973,471.47388487864106,554.3670855785577,517.0784512254304,777.2984939864784,1321.8467768671885,4258.4483727800025,2526.6611955594985,756.1353001896698,714.4209644232162,1053.6699464049143,659.1418396250285,652.7623063709078
(House Mouse)-(Common Marmoset+Human+Chimpanzee),(Mus musculus)-(Callithrix jacchus+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),1.574229153507758,179.28553256183915,1707.7331919336582,1741.5562691002913,163.51415759275352,211.99080900031637,330.15075387447104,165.4900119844014,562.5326751994096,478.8424570691913,407.9881788767819,-81.14457395814419,-873.002848191325,-642.2486485050196,-168.03952567798657,-247.04723636610746,-356.8365630596007,-158.34175887257857,-263.60181998917363,-1822.460751898999,-482.71999423453667,-564.5015041264115,-1099.3866701767665,-393.4403854938425,-878.0166056795135,-370.47132789226936,-378.09005429098295,-667.6754735378393,-477.99394186368005,-2739.6890876479283,-700.0461383405719,-294.3421689907492,-180.51625231741411,-835.6137808158006,-392.07578833992346,-263.33134550403054
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle)-(House Mouse+Common Marmoset+Human+Chimpanzee),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus)-(Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),-0.05385638027600589,-376.13568296157456,-3480.90061830066,-395.75299068364313,-362.6536986320581,-416.39427436022675,-657.6833969440029,-374.9712141473629,-747.8962881626189,-403.1300408307325,-361.30587154242966,-28.737114364427548,-504.9702972686579,1878.4325538805417,-16.334153166134598,-212.56344657258927,122.82993036850249,83.58369417819125,289.9149812404119,-425.19926364717855,436.8050078959197,470.79800332505783,665.4855953708769,183.74712150443702,343.40827151316233,101.44236190957956,-26.185656958572388,57.74961374608214,80.8816131070827,2113.8786705276552,82.10153857619446,-110.18696858155334,-40.29544819469825,563.1689623539505,310.62352592175966,63.094186310737534
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),1.3209054878413662,-341.42492413413066,-496.66321122441616,-1323.0323302751358,-314.2293903818037,-274.2978292687702,-2004.02966413491,-203.86252665257925,-134.8838026316449,-349.6630260594571,-276.24491489406086,250.13327626082943,314.62680793315224,2441.7610548224775,38.030150383069284,91.51448703026192,266.32114197291816,31.0010891349252,-180.8533509709679,-1729.9497932819793,-1453.885756193698,-879.1317526305684,-565.7798245600184,-190.83792283308202,-444.58637267268955,-279.4113272493383,-185.4676086055666,-406.85892648433304,442.6467535823237,1137.037022946998,188.49149255508956,79.14879465278436,23.46361860393552,-140.1937403458184,-37.23576339042397,52.935771835441955
