Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),0.15205496936531646,209.83585772413673,-2.58493447921038,1887.9144996397692,3503.194439207526,1285.1686010756548,5.16986895842076,230.66738852718507,-2.4328795098450633,-6.386308713343292,844.0571349468717,6.234253743977975,242.9838410457757,-3493.7670311068764,3.953429203498228,-4.561649080959494,81.65351854917495,2258.168350044315,1461.096200631326,1492.875689228677,0.15205496936531646,-119.66726089050405,9.275353131284305,787.1885764042433,-58.08499829755089,-82.26173842663621,-124.68507487955951,-6.690418652073925,96.85901548570659,746.5898995837039,-420.5840452644653,208.31530803048355,-1072.8998638416729,-228.23450901734,-2081.1763657030865,-261.68660227770965
(Two-Humped Camel)-(Cattle+Sheep),(Camelus ferus)-(Bos taurus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),-0.04618808361199615,28.359483337765678,-67.48079015712638,-571.1618419459444,1141.261357968813,376.0633767688727,318.1435199194295,6.882024458187426,-27.343345498301723,-29.837502013349535,575.1802052201881,-12.147465989954988,58.8436185216831,-2494.1103269641803,8.498607384607125,167.20086267542607,-128.17193202328932,686.9553675612187,-2363.1209218405593,-769.6782253103039,-5766.074170037988,-1258.7638426777312,-1606.2829837743902,-817.9447726848398,-784.4584120661426,-775.3593595945794,-616.149035384029,-895.9564459055014,-1157.5195634002355,-2500.438094419024,-1903.5956779848093,-693.0060065143904,-865.9341915577038,-1192.2530022764568,-1088.6069426511374,-362.9921491066779
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),0.10529232878566533,420.5375611699473,176.57523537356076,93.18371097531382,1154.003923490892,311.8758778631407,542.0449085886052,160.78138605571095,269.12719237616056,183.103359758272,389.5816165069617,289.764488818151,480.02772693384827,4535.677647100106,758.84181355829,479.5012652899199,614.5913231219286,587.1100253088699,797.5893905514149,355.78277896676315,6341.651670431837,222.48269072411085,1130.73431882926,-564.5774669487375,44.85453206269343,42.116931514266135,80.12746220589132,146.77750632721748,840.2327837096094,973.2169949659046,724.8323913605201,575.106699827304,565.3145132502372,1003.7517703137476,477.1848340566353,458.2322148752155
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-1.7225846581070712,-7.751630961481821,-1.435487215089226,3.4451693162141424,-2.2967795441427614,-0.8612923290535356,88.42601244949633,-0.8612923290535356,-8.900020733553202,-0.2870974430178452,0.0,4.306461645267678,-0.8612923290535356,4.306461645267678,2.0096821011249166,-0.8612923290535356,2.2967795441427614,-7.17743607544613,-34.73879060515927,2.5838769871606067,-4.306461645267678,21.245210783320545,-9.761313062606737,-6.890338632428285,-0.8612923290535356,0.8612923290535356,1.435487215089226,102.20668971435289,-4.019364202249833,92.732474094764,-2.0096821011249166,-2.5838769871606067,-1.435487215089226,-2.2967795441427614,3.4451693162141424
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),-0.22331704625358975,405.6211615897732,903.3308016960349,210.7641378013071,-1232.6415894600711,1.889743827700795,274.83032821166927,197.01185450785002,1593.0708522466095,327.0011090443547,291.5533048162713,-67.88838206109128,-360.9622022058098,-6314.8090726392575,24.929653720393322,-410.21206197018074,1263.008257883804,-195.50562292956332,-957.1493125070402,446.74354450382197,-10726.145498472924,-241.99382267888265,-724.7252158913521,-131.76505968701815,-182.36372146242,-251.75126685429535,-316.367298814837,-296.0712494701784,-9.952340976499773,-1810.6973150194328,-3028.884734085262,-220.43527664995685,-2932.595001535386,-1034.4517121087094,-352.7377256229995,-181.0416186519159
(Fox+Ermine)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.010451207488842418,-707.9028372973526,-2129.441514410533,-555.3150385890171,-1599.9840388050227,-717.7962968227642,-900.8955908677968,-662.6503380301734,-1018.2632909248061,-715.6385088248436,-590.5795072837309,342.06388841367163,329.4937015764646,2044.2934224682776,81.59895649955196,302.0071030532825,803.929453477412,245.8411340852191,359.6863779697618,170.6798653904648,-1129.6135109900042,-20.24410472494665,-419.4829493780497,-292.00018698034864,-51.65439075438891,34.78360368114769,-24.337737351351002,23.689073223402204,322.978907395998,780.128363527925,845.7135584677891,320.6500343428428,928.6281296376112,294.65174085428987,175.1824463864272,153.94863336769714
(Two-Humped Camel+Cattle+Sheep)-(Fox+Ermine+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.19251320830163285,-135.14546714658985,-939.2008337769447,-4496.973418277723,-879.5653863801665,-574.4004355136958,-479.2763057753133,-456.33327765442044,-416.7058178612361,-977.5073172838155,-838.0031388844247,-193.7176514391121,-333.08326528483906,-113.90692493588875,-77.38655854564342,-212.277974971367,-607.5636042480866,-654.6147501465258,-2220.6311965089394,-871.7213216000474,186.20226294908468,778.3409181926902,57.31504513477858,703.5738673930341,450.225541071062,391.8775778177402,206.77758417514522,479.92998791652036,-28.05661683341036,1533.0981250627085,-161.5974882985416,287.764490519851,619.3210123825125,148.55018057309687,580.8968553261483,201.27624251425806
(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-0.25247612573126116,-501.9101361800449,-3042.740809777615,-2293.6758007786552,-814.7262006459661,-654.0525413850535,-760.2136609045256,-739.491476504417,-600.1648989478933,-781.397964583117,-983.4072870314225,135.86155949887475,118.9941808806636,1338.73254334349,402.4313698735789,8.177722901467178,-167.36700993995987,-6.480046493434058,236.89038353216182,251.69835279577498,-2880.6367624678824,-1209.1811197311235,-786.3559479980721,-468.90388609429965,-610.5789293068871,-472.40616002987787,-424.13714575272087,-661.8844609400473,-471.2436387220214,-1604.099632909124,-2021.047697062643,-380.6456588389268,-793.4059476678517,-614.8531544200079,-223.39314540910559,-128.15980697188
(Western European Hedgehog)-(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox),(Erinaceus europaeus)-(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.04903977210102384,-151.25586159084,-1093.8028212703643,-309.7174597299688,116.26167386169746,-23.291879845099018,53.74057835808886,-131.25160594005206,-174.90758963228527,43.52519448379055,-32.44052834304023,601.7166939193324,37.23826569438187,2738.5744541746385,118.92505879669625,-14.744849183171256,-355.8722970704633,98.19526421209468,874.5058607271143,4096.386618909633,2201.372096201016,917.2905736399251,638.7257102830602,250.83526595716202,408.3135171904823,401.4188424977911,181.72016468589734,387.5233259298543,446.8989083599877,-831.1137403658402,55.17600706053502,-977.2249442550064,-365.30713117413575,-71.252224100432,-294.9760235158642,-138.4798513242007
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),-0.31038557713349346,-193.3702145541664,-1153.3928046280616,-289.27935788841586,-81.0106356318418,-45.00590868435655,-1171.3951681018043,-992.3026900957785,-129.12040008753328,-46.557836570024016,-8.690796159737816,2075.237968714537,13577.81707170467,13750.701838168026,1725.43342328509,3715.3153582879163,4045.25522678082,2473.773049753943,3017.2581953146896,2431.250225686654,-5715.129631759015,-10058.355012587988,-5990.441638676423,-2055.9940629322605,-2578.993760402197,-3056.36677803351,-2676.765217199247,-2897.1389769640277,444.4721464551626,754.2369524343891,4572.9107079077585,4.345398079868908,636.600818700795,-1210.193365243491,619.5296119584528,13.967350971007205
(Gorilla)-(Human+Chimpanzee),(Gorilla gorilla)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),-0.1319060935108851,-81.63097257048568,-7590.325520494117,85.83556920385153,-6.281520536357727,-26.504453330821836,-331.12387243736043,-428.80858888264476,-1564.6446196739314,-17.87308112284742,-105.0735145189264,-450.22734535099096,-6182.787493277327,-6239.115174805767,-754.6447634745622,-1707.0577275344679,-75.10514702325433,-788.3071644729168,-935.8072478414499,-1764.980845923744,8911.579601196974,4442.777199922705,2291.220285226168,929.2356793232492,1169.8794744734525,1338.370747831459,858.8928774271941,1990.8189186740522,163.2029126281852,4038.259186659897,1466.2572971231343,-4.984860775795004,162.60096964865434,1091.9312568939224,270.38937057607205,10.854487389152114
(Common Marmoset)-(Gorilla+Human+Chimpanzee),(Callithrix jacchus)-(Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),-0.2578179301393899,-627.342531799621,-4594.952272666246,-5388.123664257626,-557.9126267706068,-576.7217227502788,-757.9622766275909,-792.1779510387132,-1359.076498379487,-1395.685377088736,-1198.0154692003632,-82.1515090035887,-1913.765078060297,-2537.819122903609,-211.99840545874594,-445.95784323931855,-440.8044464342255,-349.73744290438106,-629.391531280878,-1307.6019495446442,2487.419319454997,1073.216176065961,608.8877310919992,247.74688433202337,305.50797785108625,364.6572598681049,397.04676804093003,494.60352457016256,1312.0372033956794,3713.5065437323055,2339.2129128193633,764.8962866073088,698.2466477262457,905.2806375046479,626.6273364516674,658.1102826785682
(Lemur)-(Common Marmoset+Gorilla+Human+Chimpanzee),(Lemur catta)-(Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),-0.11059684043106822,240.57532487625542,2393.358791507342,1990.933205208826,330.2062200946312,598.886899301608,404.04309297244254,509.5977855554108,251.18319720650152,533.0135688414508,415.68930835936084,-322.5618572784721,-606.1115858223225,-385.1796779522304,-235.00523436733346,-337.87600631526544,-74.41546552174894,-133.99085370913227,-909.0505160703046,-2288.973338849673,894.3017412513319,-12.306286908262216,236.64801225107027,600.3757654746865,98.26394441517532,147.02084502640295,44.98318653186168,-14.675214758560964,928.7212459257942,356.2666524947154,252.5889500292372,116.1452367287833,369.85832707023536,405.9006383696233,271.22496872318965,130.27391856332363
(Norway Rat)-(House Mouse),(Rattus norvegicus)-(Mus musculus),(Mammalia)-(Mammalia),-0.10544361212183397,356.8211834202861,-21.088722424366793,-42.59921929722092,348.3856944505394,827.7323551563966,-211.73077314064258,393.726447662928,2678.68952234307,-2309.4259926924074,16795.691200438443,-93.21215311570123,19.19073740617378,-2922.47515356875,174.1928472252697,-6.11572950306637,7.170165624284709,226.703766061943,988.8501944785589,-39.014136485078566,-4175.777927248869,-7.802827297015713,751.3911799801888,-1756.0579162770227,994.7550367573816,-230.28884887408537,-103.33473987939728,149.3081547645169,134.54604906746013,4604.300766912002,-2096.0081217578154,148.0428314190549,40.70123427902791,2109.2940168851665,883.4065823567249,64.10971617007505
(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee)-(Norway Rat+House Mouse),(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes)-(Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.0025282516918975987,-171.67543307922642,-1324.2391913794695,-1043.1137200087883,-112.0343594427146,-155.00096163430544,-168.891192777675,-74.1551579151261,-1148.8473771897857,174.21501714689026,-3712.419822896037,-50.018331453394396,347.83234641843063,788.009059664926,9.117060605377233,34.71008746565322,360.3788315275866,28.058148574704845,-334.63585610145685,984.36058268571,2275.11324519089,881.0042103168053,1288.1899870948228,1092.1289738339976,872.1669399712524,593.7839002303245,504.87276067726617,816.2258550410423,875.6798378120963,2433.6994974077256,1371.6118558264595,333.9510427044826,344.94797007748724,712.6993831878586,372.4393080311133,324.6776869868644
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox)-(Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus)-(Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.020486444191278645,-434.71482160649555,-3528.0997738526953,-1300.3013227231502,-652.5541767494053,-745.4622038174472,-659.8392877420682,-511.4575648362718,-970.7794101946728,-322.6054617454344,-2096.0980649576068,-3.5654975584634965,-193.75801278174416,2236.6012066660187,-36.209899111494444,-43.50520185327186,79.26855024974208,-67.43164028561631,-323.6763506377761,-597.8552628204744,-309.9632116584435,304.9396389782878,194.24344248147213,15.907815296053013,106.97892348057573,-35.638400841798884,-106.8112728133733,-106.8232439612496,-460.75362636104654,1399.966693988946,259.19752262401414,-119.3265656497039,74.04193288476097,115.18367706827311,293.6894135609885,26.120633195328633
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-0.3811268789460151,-277.0561151889398,-144.98044524888783,-1277.1131029611756,-316.75666695587597,-186.8700473977786,-1949.0932059962229,-105.5457608681699,-34.66088312621895,-362.14259198631754,333.07504804474513,160.8060240176735,144.8583080597851,2036.7669735490963,-34.22703172793609,35.12475003944414,258.5615755586843,-69.86222886723327,-633.0902274958606,-2332.0092912697446,-1472.7824448501597,-761.7506020817406,-491.868615544245,-164.9678962727037,-341.00143572972945,-236.06537392517745,-148.99358470978865,-338.43776630028526,527.5841464644569,1581.8491132159968,283.6060769308274,145.66291725470015,194.19806979386584,25.460647852894372,120.67836222194416,95.64545943024534
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),0.10344143739142002,331.3229239647183,2306.0199637669266,3904.0867300269747,1513.0379047243007,727.9173949234226,654.0602086259488,783.7757711147896,786.6721313617493,899.423298118397,712.8149450642753,-308.35892486382306,-546.7914380510463,-708.6772875686186,-395.87038089696443,-1255.1584013074905,-1366.8751536902241,-620.7520657859116,-2114.6533045927995,-972.9701601036967,11.481999550447622,121.44024749752711,26.170683660029265,66.71972711746591,-0.8275314991313601,-13.240503986101762,8.999405053053541,16.654071420018624,581.0305538276062,2740.3705593734994,510.69037640144063,111.6133109453422,63.823366870506156,26.067242222637844,28.756719594814765,247.5353596776681
(Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Norway Rat+House Mouse+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Rattus norvegicus+Mus musculus+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),0.12807044295755285,43.16128590024343,584.057497715431,359.70342941741103,-337.46108512320137,67.67086847942669,189.6750579674671,-26.315819174986288,108.57604801542573,-133.46620958803973,95.62722500362992,-477.2729124324509,-199.5298239271822,-2420.9579070224286,-192.12272479999118,-413.86502261407617,-245.89662527836026,-289.6725016031266,-983.8073021069437,1405.2029554835972,-735.2122948152386,530.9824724112182,26.02441644260756,191.70077037221284,223.8479755874473,142.72169197843976,44.574724460615364,166.85281512931104,252.4141079593928,699.7804044611087,157.07676870632838,12.329118021032384,126.86653234395801,2.6911676894176164,56.57680384370406,-110.3850834630201
(Mute Swan)-(Eastern Spot-Billed Duck),(Cygnus olor)-(Anas zonorhyncha),(Aves)-(Aves),0.6033445002064028,252.31866998631767,1289.5885347411654,2826.548314566956,-17.496990505985682,-70.22929982402529,442.0101808512107,-1205.8443181125167,775.5390205653102,-47.42287771622326,-6.998796202394273,-1281.9863940385646,-5942.219313632821,-18.221003906233367,-818.3764800799648,-1955.198187368869,-452.1463684546783,-490.39840976776424,-668.2643684286118,-936.5113332203784,140.9412752482157,1707.46493558412,206.46448797063104,128.87438524408765,305.774992704605,206.7058257707136,35.114649912012645,378.41767052945585,1239.510941224034,1365.0065972669659,42.837459514654604,-167.72977105738,-41.75143941428308,197.77632716765885,-136.23518814660576,101.12053823459311
(Mute Swan+Eastern Spot-Billed Duck)-(Golden Pheasant),(Cygnus olor+Anas zonorhyncha)-(Chrysolophus pictus),(Aves+Aves)-(Aves),0.204410049101308,203.30623483616102,1013.7511975130269,2124.3927583000736,283.68026614279523,167.53447624343204,630.1961813793325,346.63856126599813,1688.3861235669838,640.2531557951168,1268.9775848209201,396.63725927617804,-1844.5145190705625,1630.4154336418528,-466.87255214738747,1372.3681876563617,650.3918942305417,6.37759353196081,-332.3707398387269,531.0981895750191,-312.9109031642823,445.6139070408516,-418.9179546282206,49.14017580395444,-39.8190775649348,-30.130041237532946,-114.01992538870961,-159.76689437758233,433.0222480162106,502.112844612453,-205.84091944501716,-9.811682356862784,204.410049101308,38.87879133906878,-265.5286537825991,44.888446782647236
(European Golden-Plover)-(Atlantic Puffin),(Pluvialis apricaria)-(Fratercula arctica),(Aves)-(Aves),0.08420948874931185,55.99931001829238,-4.210474437465592,-4.968359836209399,4.126264948716281,-12.294585357399528,2.189446707482108,2.105237218732796,1.2631423312396777,-5.978873701201141,-15.157707974876132,188.29241684346127,13.389308711140583,128.33526085395124,-0.8420948874931184,-8.084110919933938,-1.3473518199889896,0.08420948874931185,-9.347253251173615,78.48324351435863,49.7678078508433,-74.27276907689304,-92.79885660174165,-22.231305029818326,-47.99940858710775,-61.05187934325109,-28.968064129763274,-4.6315218812121515,125.64055721397327,0.4210474437465592,-5.305197791206647,-55.32563410829788,-9.263043762424303,-3.6210080162204092,-7.915691942435314,5.894664212451829
(Eurasian Coot)-(Royal Penguin),(Fulica atra)-(Eudyptes schlegeli),(Aves)-(Aves),0.0,-287.14986953557684,-920.3174463671905,2677.7253960609214,254.16358113531913,122.89506934762686,214.7491955083445,-177.53389577472043,1404.0317626776366,59.54447957379856,264.1440478820638,107.50146809417325,-167.6380092546431,11.925811960093178,-67.15669997385804,243.9293737085725,-626.6548993782294,9.47298538674068,29.264758426895316,-217.03286162836235,-315.8225663758009,-955.1644997541295,3437.678732666859,-988.2353683810545,-385.3475126963441,237.58585670852295,-1567.5253408255805,459.5243714835903,-36.53865792028548,-362.0033701361617,-4.567332240035685,108.09352968084454,-71.80861244056105,58.444936627123305,3.04488816002379,-176.68809350804716
(European Golden-Plover+Atlantic Puffin)-(Eurasian Coot+Royal Penguin),(Pluvialis apricaria+Fratercula arctica)-(Fulica atra+Eudyptes schlegeli),(Aves+Aves)-(Aves+Aves),-0.29123505114158976,-168.4503535802955,-659.0649207334171,1821.2675158190445,102.04876192001298,25.803425531144836,326.8239743910919,218.5427823766488,404.87496809703777,757.3858739988176,172.46939728604892,-0.5242230920550731,-119.23162993736676,-36.404381392698696,-96.69003697900773,152.4906727777363,-478.38269500517504,-5.30047793077693,-11.940637096805172,-87.37051534247857,2422.4349083855136,76.82780649115132,-2367.391483719753,437.5515408351242,-377.5571202999567,121.15378127490148,-1131.6811617259887,31.919361605118215,-401.43839449356705,237.70604874176544,74.03195000019207,-10.076732769499,133.09441837170644,-17.24111502758189,25.97816656183,-5.882948033059897
(Steller'S Sea Eagle)-(European Golden-Plover+Atlantic Puffin+Eurasian Coot+Royal Penguin),(Haliaeetus pelagicus)-(Pluvialis apricaria+Fratercula arctica+Fulica atra+Eudyptes schlegeli),(Aves)-(Aves+Aves+Aves+Aves),0.1276613352031841,-365.2652614789633,-1548.629198362829,-456.3651278603018,-326.7053035612629,-333.1513122661255,-279.08648692532057,-941.8170844890103,-1031.783636650671,-389.76361903419604,-224.7491291660985,-86.57409080533701,-62.25351643401357,-24.469448249524675,905.3372036575132,-897.2520164938257,-539.7052467253329,344.75889972155574,-3.308973741181486,-17.333378022712466,837.1450720327754,-39.52500770111711,-1177.6724486161406,128.8725384629563,-219.54904745167062,-32.410466556450984,-539.8339141317224,218.34981341015705,-669.5939686539444,-395.4758177409637,-186.83732473590234,-396.3961525336598,-388.3180229021329,-574.847165700712,-397.55533128693617,-241.15352142333757
