Common Name,Species,Class,Caudal,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),4.0,3994.0,1677.0,885.0,10960.0,2962.0,5148.0,1527.0,2556.0,1739.0,3700.0,2752.0,4559.0,43077.0,7207.0,4554.0,5837.0,5576.0,7575.0,3379.0,60229.0,2113.0,10739.0,-5362.0,426.0,400.0,761.0,1394.0,7980.0,9243.0,6884.0,5462.0,5369.0,9533.0,4532.0,4352.0
(Cat)-(Lion),(Felis catus)-(Panthera leo),(Mammalia)-(Mammalia),-1.0,1813.0,4030.0,941.0,-5513.0,4.0,1229.0,1054.0,7132.0,1447.0,1305.0,-304.0,-1608.0,-28279.0,120.0,-1833.0,5654.0,-871.0,-4300.0,1933.0,-48026.0,-1092.0,-3204.0,-609.0,-830.0,-1129.0,-1415.0,-1323.0,154.0,-8116.0,-13383.0,-991.0,-13137.0,-4635.0,-1584.0,-804.0
(Fox+Ermine)-(Cat+Lion),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera leo),(Mammalia+Mammalia)-(Mammalia+Mammalia),-2.4999999999999964,-6547.5,-19564.5,-5090.999999999996,-13885.5,-6467.0,-8229.500000000002,-5964.5,-9841.999999999998,-6590.999999999998,-5441.5,3109.0,3123.5,21070.0,728.5000000000036,2894.5,6706.5,2298.5000000000005,3635.5,1315.0000000000146,-5649.500000000004,-84.5,-3451.5,-2583.4999999999995,-395.0,418.5,-84.99999999999636,339.5,3012.000000000002,7784.5,8982.5,2978.499999999999,9596.0,3088.0,1724.0,1466.0
(Fox+Ermine+Cat+Lion)-(Cattle),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo)-(Bos taurus),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-0.002281653518281246,701.0243494356191,8190.444235896628,31522.25364077537,1726.5272400287577,2763.8978186789077,5867.28925294852,3353.8564310360834,3846.817586429226,8706.884648664402,7622.633752952106,1671.2374643153362,2445.9506979057414,-699.2702241479185,732.7648738352254,2694.8416984434666,4830.020763728142,1827.6977522447087,3457.6179805462853,-737.299850249372,-31869.856080620615,-12845.777119888919,-8590.050050847341,-12980.957860745793,-7751.360501255889,-7111.018051201039,-4535.577576219623,-8754.490151452219,-5778.051063841176,-28821.195387274776,-7016.802018908813,-6703.681637998319,-6754.142101135426,-6604.881701574218,-3790.0265717337934,-2761.06203837688
(Western European Hedgehog)-(Fox+Ermine+Cat+Lion+Cattle),(Erinaceus europaeus)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-8.49850968814987,-752.8893713802372,-5438.767615802364,-6749.44873410364,191.28100815030484,-206.30025208535403,2329.651822791141,-402.6446104804163,-1108.6329604422472,1016.9080442542854,962.1102079250031,5712.394733252089,-490.6261429332417,25756.743626120526,166.37861157026055,-132.1947382611611,-4621.833598914934,-1212.80072250295,66.58126624281613,38274.583507364936,21891.492862883355,11682.500009096706,6083.778885318154,2459.79626371825,5147.970480439239,4707.716817553277,2358.5115973410757,4858.186530082974,3759.0603041180475,-7708.806482926262,2894.1775574192216,-10376.34386112619,-1033.384507055242,-709.8771984033629,-1232.4613317030562,-1179.551999781379
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),2.0,-623.0,-3716.0,-932.0,-261.0,-145.0,-3774.0,-3197.0,-416.0,-150.0,-28.0,6686.0,43745.0,44302.0,5559.0,11970.0,13033.0,7970.0,9721.0,7833.0,-18413.0,-32406.0,-19300.0,-6624.0,-8309.0,-9847.0,-8624.0,-9334.0,1432.0,2430.0,14733.0,14.0,2051.0,-3899.0,1996.0,45.0
(Common Marmoset)-(Human+Chimpanzee),(Callithrix jacchus)-(Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia),15.96541904182952,-5727.728031529896,-51108.74857971925,-48163.88527349256,-5006.987184958754,-5201.992880532641,-7224.745731932304,-7659.222338364487,-14225.807160700537,-12528.406428137214,-10871.515866585614,-1325.604143163915,-25242.87200758382,-30908.0028044343,-2887.6177732348497,-6230.967034650323,-4047.846813917933,-4165.805118309362,-6864.580747187616,-14026.93632267468,33955.86959139652,15433.315265236286,8455.706246345133,3436.5321334606288,4269.166590719258,5019.759347552357,4682.113091631112,7038.389331781631,11969.240033949938,38559.984135822866,22878.75937163716,6846.757933292807,6469.037227396173,9540.91557795335,5968.488203745861,5910.721928441164
(House Mouse)-(Common Marmoset+Human+Chimpanzee),(Mus musculus)-(Callithrix jacchus+Homo sapiens+Pan troglodytes),(Mammalia)-(Mammalia+Mammalia+Mammalia),19.353465703102362,2204.1240932214105,20994.755234009648,21410.5738347891,2010.2318864389108,2606.2005281877964,4058.85082087668,2034.5229053911862,6915.738291396432,5886.856465228198,5015.778808040019,-997.5858505685192,-10732.637394965017,-7895.761023107291,-2065.8664526240937,-3037.1818520855013,-4386.924336522822,-1946.6427698159455,-3240.702772571727,-22405.20802104025,-5934.5266423271305,-6939.942939766146,-13515.784641838109,-4836.92922971454,-10794.276187116157,-4554.549204205479,-4648.213306239337,-8208.356673565771,-5876.424877239988,-33681.55053971098,-8606.31941593422,-3618.6225238212446,-2219.254477845896,-10272.978754092546,-4820.152965497812,-3237.377577723114
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle)-(House Mouse+Common Marmoset+Human+Chimpanzee),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus)-(Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),-0.47333041441271106,-3305.7635470337964,-30592.775150240836,-3478.1752157378896,-3187.273719141691,-3659.5863560071966,-5780.216814284409,-3295.5293184507245,-6573.075617030578,-3543.010286074409,-3175.4279999971623,-252.56339511550868,-4438.059127764497,16509.079418594436,-143.55683481854248,-1868.1675920210864,1079.5218977891445,734.5964285151663,2547.991111020031,-3736.9712304962304,3838.971248073943,4137.7272827562765,5848.788407766859,1614.9080336092738,3018.130417140108,891.5518450291675,-230.1392666263564,507.547081079736,710.8485058621773,18578.357141926543,721.5701292777885,-968.4060316401001,-354.14673424385137,4949.552810071271,2729.9933916351183,554.5192083174479
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Cattle+House Mouse+Common Marmoset+Human+Chimpanzee)-(Linne'S Two-Toed Sloth),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Bos taurus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes)-(Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),14.66973766063041,-3791.80351202375,-5515.851876923578,-14693.357988379888,-3489.7748283974706,-3046.3021263005726,-22256.391322155683,-2264.060383089096,-1497.9951385531022,-3883.2943833831905,-3067.926107417099,2777.9349671238815,3494.188475909482,27117.75704916424,422.3559781144231,1016.3433563100866,2957.7144785785076,344.29249404238135,-2008.5246357221868,-19212.509802636385,-16146.592491445694,-9763.47838579764,-6283.448495271703,-2119.411486612851,-4937.495918241559,-3103.0917108647827,-2059.7697472166838,-4518.501718215033,4915.954859112706,12627.727714505374,2093.3524559449106,879.0122112437575,260.58270834450377,-1556.9663473021174,-413.53365971966196,587.8951165219032
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-8.0,3203.0,22293.0,37742.0,14627.0,7037.0,6323.0,7577.0,7605.0,8695.0,6891.0,-2981.0,-5286.0,-6851.0,-3827.0,-12134.0,-13214.0,-6001.0,-20443.0,-9406.0,111.0,1174.0,253.0,645.0,-8.0,-128.0,87.0,161.0,5617.0,26492.0,4937.0,1079.0,617.0,252.0,278.0,2393.0
