Common Name,Species,Class,Cervical,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),0.0,1380.0,-17.0,12416.0,23039.0,8452.0,34.0,1517.0,-16.0,-42.0,5551.0,41.0,1598.0,-22977.0,26.0,-30.0,537.0,14851.0,9609.0,9818.0,1.0,-787.0,61.0,5177.0,-382.0,-541.0,-820.0,-44.0,637.0,4910.0,-2766.0,1370.0,-7056.0,-1501.0,-13687.0,-1721.0
(Cattle+Sheep)-(Narwhal),(Bos taurus+Ovis aries)-(Monodon monoceros),(Mammalia+Mammalia)-(Mammalia),0.0,-5393.0,-6388.5,-42364.0,-18856.5,-11087.0,-10511.0,-7259.5,-7708.0,-13000.0,-14156.5,-154.5,267.0,39761.5,1108.0000000000018,10577.0,1534.5,-7457.5,-6097.5,-6825.0,5153.5,13182.5,43253.5,9334.5,9077.0,8386.5,4401.000000000004,9387.0,-30632.5,11777.0,-13903.0,1666.0000000000018,2983.0,-4026.499999999998,3996.5,-1994.4999999999982
(Two-Humped Camel)-(Cattle+Sheep+Narwhal),(Camelus ferus)-(Bos taurus+Ovis aries+Monodon monoceros),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-2111.1894466754775,-3595.065785293212,-25178.768165948437,3899.3564247661525,-900.3455210997623,-1269.0705125173263,-3180.6170569517208,-3752.221816238565,-6152.123457589691,-121.19124825911058,-200.77689032289345,756.7212279366495,-9170.677510849808,588.8206762314876,6552.664523917397,-699.4392349483555,4092.600908848068,-28315.583098665626,-11392.289815234588,-60108.70094317781,-7715.544616947991,2006.1147286812093,-4668.96516039454,-4421.926644266028,-4633.0427786864675,-4696.617512549827,-5489.92446950812,-26265.932639585866,-21787.262541535863,-26841.023340836113,-6754.975409204275,-8036.440363539228,-14711.958892460378,-9992.492930903292,-4823.822056627898
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-3183.0,-134.0,11449.0,9744.0,-2974.0,-2793.0,360.0,1183.0,-390.0,-401.0,-2290.0,-58407.0,-44210.0,-9846.0,-23368.0,-6679.0,-6723.0,-8631.0,-8620.0,-65450.0,-41274.0,-15319.0,-7400.0,-8521.0,-7549.0,-5710.0,-9373.0,702.0,-3988.0,-1342.0,921.0,360.0,4521.0,-1264.0,-1446.0
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),0.0,2402.5,1610.0,6609.5,15832.0,1475.0,3751.5,1707.0,3147.5,1544.0,3499.5,1607.0,-24644.500000000007,20972.0,2283.999999999998,-7130.000000000002,2497.5,2214.5,3259.5,-931.0000000000146,27504.0,-18524.0,3079.5,-9061.999999999998,-3834.5,-3374.500000000002,-2094.0,-3292.5,8331.0,7249.000000000002,6213.0,5922.499999999999,5549.0,11793.5,3900.0,3629.0
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-6.0,-27.0,-5.0,12.0,-8.0,-3.0,308.0,-3.0,-31.0,-1.0,0.0,15.0,-3.0,15.0,7.0,-3.0,8.0,-25.0,-121.0,9.0,-15.0,74.0,-34.0,-24.0,-3.0,3.0,5.0,356.0,-14.0,323.0,-7.0,-9.0,-5.0,-8.0,12.0
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),0.0,1816.3466174864516,4045.0597786890357,943.7888479053763,-5519.693234972907,8.462156648601194,1230.6733087432258,882.2069690288281,7133.673308743226,1464.2908570133313,1305.557769581079,-304.0,-1616.366543716129,-28277.326691256774,111.63345628387106,-1836.9043870675264,5655.673308743226,-875.4621566486021,-4286.055760473118,2000.490119310096,-48031.01992622968,-1083.6334562838715,-3245.274948999566,-590.035834243442,-816.6135300541955,-1127.3266912567742,-1416.6733087432258,-1325.7888479053763,-44.56597086278089,-8108.191225864946,-13563.159574687299,-987.0956129324741,-13131.980073770323,-4632.211152094624,-1579.537843351398,-810.6932349729022
(Fox+Ermine+American Black Bear)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea+Ursus americanus)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-5922.685718124123,-19372.993670051404,-8808.186295270394,-19108.31110088932,-5931.3970743779555,-7951.050381352385,-6301.46699002463,-9915.610148690637,-6567.832521926573,-5718.524375854518,3423.0881088978967,21093.09679359104,26462.989818491005,2869.7119051163736,9581.25316450317,8552.235803112038,3577.950811062079,4930.726922202299,3825.156483764309,2256.9249264797554,12785.122439318431,-388.18830440172496,516.3135207129899,2213.4190133817774,2683.039396854192,1507.772725770992,3027.403821871032,1541.6920066804905,6985.686652808105,7062.9488507374135,1810.3846145285406,7479.071422794587,-163.28919818835493,1335.871963367069,1228.9079852482664
(Two-Humped Camel+Cattle+Sheep+Narwhal)-(Fox+Ermine+American Black Bear+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros)-(Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.0,390.77441128505143,-5355.991797493348,-24420.592468042196,5.3769686975056175,-2365.8744692369364,-1280.8545127805974,-1431.1699193219692,-464.73528620557045,-4478.595580441567,-3538.7100365412734,-2064.1085708031333,-15034.912643753783,-15822.316666723942,-2457.9511150902417,-9865.65236555985,-6989.072735601211,-5559.361471565294,-16392.032298214297,-6380.6419453011185,93.00955672479446,-3668.6053222217124,-12313.664683535248,2714.1164148082407,655.2738823273248,483.46973036858253,242.09742649205873,852.3319327923618,11126.380606229144,13204.34220002722,5126.317331625822,3542.048367783421,5954.075011251098,5770.895664087522,5527.5670901005815,2910.1936299013814
(Two-Humped Camel+Cattle+Sheep+Narwhal+Fox+Ermine+American Black Bear+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Monodon monoceros+Vulpes vulpes+Mustela erminea+Ursus americanus+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.0,-4401.913159226219,-31146.47125752125,-19277.525660322517,-8259.750179430517,-5427.20530928184,-6695.378322251518,-6874.045899491177,-5532.436023313387,-6487.105499338977,-8815.04939905104,1550.2656044260002,6616.612368723276,12080.23047343922,4610.547006388568,377.43536886833726,-1502.286512187954,899.5454772891219,4910.686311034673,4657.301654357783,-22971.809494263445,-9506.648295274628,-12896.513230446713,-4633.282499972318,-6247.649822375126,-4813.384276930052,-4061.6743573488675,-6682.133168456028,430.6151646806138,-16039.415114624619,-17370.037263758804,-3878.308933686856,-7927.115143183775,-5628.452575477499,-2037.4125937131012,-706.2820504973124
