Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12
(Cattle)-(Sheep),(Bos taurus)-(Ovis aries),(Mammalia)-(Mammalia),1.0,1380.0,-17.0,12416.0,23039.0,8452.0,34.0,1517.0,-16.0,-42.0,5551.0,41.0,1598.0,-22977.0,26.0,-30.0,537.0,14851.0,9609.0,9818.0,1.0,-787.0,61.0,5177.0,-382.0,-541.0,-820.0,-44.0,637.0,4910.0,-2766.0,1370.0,-7056.0,-1501.0,-13687.0,-1721.0
(Two-Humped Camel)-(Cattle+Sheep),(Camelus ferus)-(Bos taurus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),-0.5,307.00000000000045,-730.5,-6183.0,12354.5,4071.0,3444.0,74.5,-296.0,-323.0000000000002,6226.5,-131.5,637.0,-26999.5,91.99999999999818,1810.0,-1387.5,7436.5,-25581.5,-8332.0,-62419.5,-13626.5,-17388.5,-8854.5,-8492.0,-8393.5,-6670.000000000004,-9699.0,-12530.5,-27068.0,-20607.0,-7502.000000000002,-9374.0,-12906.500000000002,-11784.5,-3929.500000000002
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),1.0,3994.0,1677.0,885.0,10960.0,2962.0,5148.0,1527.0,2556.0,1739.0,3700.0,2752.0,4559.0,43077.0,7207.0,4554.0,5837.0,5576.0,7575.0,3379.0,60229.0,2113.0,10739.0,-5362.0,426.0,400.0,761.0,1394.0,7980.0,9243.0,6884.0,5462.0,5369.0,9533.0,4532.0,4352.0
(Tiger)-(Lion),(Panthera tigris)-(Panthera leo),(Mammalia)-(Mammalia),0.0,-6.0,-27.0,-5.0,12.0,-8.0,-3.0,308.0,-3.0,-31.0,-1.0,0.0,15.0,-3.0,15.0,7.0,-3.0,8.0,-25.0,-121.0,9.0,-15.0,74.0,-34.0,-24.0,-3.0,3.0,5.0,356.0,-14.0,323.0,-7.0,-9.0,-5.0,-8.0,12.0
(Cat)-(Tiger+Lion),(Felis catus)-(Panthera tigris+Panthera leo),(Mammalia)-(Mammalia+Mammalia),-1.0,1816.3466174864516,4045.0597786890357,943.7888479053763,-5519.693234972907,8.462156648601194,1230.6733087432258,882.2069690288281,7133.673308743226,1464.2908570133313,1305.557769581079,-304.0,-1616.366543716129,-28277.326691256774,111.63345628387106,-1836.9043870675264,5655.673308743226,-875.4621566486021,-4286.055760473118,2000.490119310096,-48031.01992622968,-1083.6334562838715,-3245.274948999566,-590.035834243442,-816.6135300541955,-1127.3266912567742,-1416.6733087432258,-1325.7888479053763,-44.56597086278089,-8108.191225864946,-13563.159574687299,-987.0956129324741,-13131.980073770323,-4632.211152094624,-1579.537843351398,-810.6932349729022
(Fox+Ermine)-(Cat+Tiger+Lion),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.09411628068587552,-6374.878903182578,-19176.26412913324,-5000.779679929648,-14408.339615289093,-6463.972494965352,-8112.836951070092,-5967.366476765434,-9169.768546181369,-6444.540962188903,-5318.346873715938,3080.3886506714953,2967.1903208222893,18409.479838451087,734.823253847484,2719.665197579873,7239.627590964905,2213.8736796106973,3239.084492775439,1537.023749233369,-10172.510916120762,-182.30427867415438,-3777.5706825026664,-2629.549895312101,-465.1633932335626,313.23685907261097,-219.16867713747524,213.3272607076451,2908.522631145848,7025.291585799267,7615.906079137758,2887.5504257632138,8362.576840530546,2653.4279389659077,1577.5708513054778,1386.3539504606988
(Two-Humped Camel+Cattle+Sheep)-(Fox+Ermine+Cat+Tiger+Lion),(Camelus ferus+Bos taurus+Ovis aries)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),1.7349874724136618,-1217.971974605738,-8464.36301726547,-40528.08954419631,-7926.91026242342,-5176.671089516932,-4319.383556488239,-4112.614022490266,-3755.4793255450704,-8809.592674923602,-7552.338671379729,-1745.8422795886945,-3001.847497312373,-1026.56378504318,-697.4311570327664,-1913.113549422566,-5475.547633143784,-5899.586842799443,-20013.00243647382,-7856.217169485171,1678.111317149538,7014.644627476246,516.5405852769272,6340.82126942659,4057.5692463400173,3531.7196894267454,1863.5423578715327,4325.274738376174,-252.85474775324474,13816.74568945466,-1456.365618987531,2593.4209421889664,5581.508964323317,1338.779321132556,5235.218796916234,1813.9625968394912
(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion)-(Flying Fox),(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo)-(Pteropus vampyrus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-2.603751867722585,-5176.130815230887,-31379.37119205897,-23654.365865010004,-8402.160245727337,-6745.1547004199565,-7839.9798543933975,-7626.274791473884,-6189.418789800548,-8058.450690436907,-10141.745295416751,1401.1217427878073,1227.1707664190608,13806.16622667076,4150.219859020708,84.33574151512926,-1726.0331584387786,-66.82783614228677,2443.018233034515,2595.730801463069,-29707.614249791197,-12470.120055097823,-8109.581697534853,-4835.741857429967,-6296.8172652770445,-4871.860331105947,-4374.068566782647,-6825.924219161994,-4859.871407330158,-16542.860847151755,-20842.78939540031,-3925.546790896563,-8182.287383090132,-6340.896766216476,-2303.8230561827786,-1321.6946188614647
(Western European Hedgehog)-(Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox),(Erinaceus europaeus)-(Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.516346980106575,-1592.5952346384938,-11516.810935245212,-3261.060730225342,1224.136280180015,-245.24363192892952,565.842461241793,-1381.9674818568164,-1841.6277612037484,458.2831805163996,-341.5710988314495,6335.563655249389,392.0871817285406,28834.853602033036,1252.1794522652144,-155.25068779221397,-3747.0318075170517,1033.9123932352811,9207.800952698946,43131.45778217865,23178.57088778241,9658.287493740507,6725.237037025294,2641.0814433313026,4299.193134578167,4226.598089702051,1913.3583668932588,4080.2901500547287,4705.464398758635,-8750.918929209747,580.9563013742372,-10289.34530550875,-3846.372564794676,-750.2251573344256,-3105.845978086889,-1458.0747416516988
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),-1.0,-623.0,-3716.0,-932.0,-261.0,-145.0,-3774.0,-3197.0,-416.0,-150.0,-28.0,6686.0,43745.0,44302.0,5559.0,11970.0,13033.0,7970.0,9721.0,7833.0,-18413.0,-32406.0,-19300.0,-6624.0,-8309.0,-9847.0,-8624.0,-9334.0,1432.0,2430.0,14733.0,14.0,2051.0,-3899.0,1996.0,45.0
