name,species,class,C,T,L,S,Ca,node,Amphibia,Aves,Reptilia,Mammalia
JapaneseGiantSalamander,Andrias japonicus,Amphibia,1.0,21.0,0.0,1.0,19.0,0,1,0,0,0
HellbenderSalamander,Cryptobranchus alleganiensis,Amphibia,1.0,18.0,0.0,1.0,15.0,0,1,0,0,0
MoleSalamander,Ambystoma talpoideum,Amphibia,1.0,13.0,0.0,1.0,30.0,0,1,0,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.5,15.5,0.0,1.0,29.0,0,1,0,0,0
TigerSalamander,Ambystoma tigrinum,Amphibia,1.0,15.0,0.0,1.0,36.5,0,1,0,0,0
SpottedSalamander,Ambystoma maculatum,Amphibia,1.0,14.0,0.0,1.0,29.0,0,1,0,0,0
JeffersonSalamander,Ambystoma jeffersonianum,Amphibia,1.0,15.0,0.0,1.0,38.0,0,1,0,0,0
Long-toedSalamander,Ambystoma macrodactylum,Amphibia,1.0,15.0,0.0,1.0,39.0,0,1,0,0,0
SmallmouthSalamander,Ambystoma texanum,Amphibia,1.0,16.0,0.0,1.0,33.0,0,1,0,0,0
MarbledSalamander,Ambystoma opacum,Amphibia,1.0,14.0,0.0,1.0,29.0,0,1,0,0,0
FireSalamander,Salamandra salamandra,Amphibia,1.0,14.0,0.0,1.0,16.0,0,1,0,0,0
IberianRibbedNewt,Pleurodeles waltl,Amphibia,1.0,12.0,0.0,1.0,38.3,0,1,0,0,0
JapaneseFirebellyNewt,Cynops pyrrhogaster,Amphibia,1.0,14.0,0.0,1.0,36.0,0,1,0,0,0
CaliforniaNewt,Taricha torosa,Amphibia,1.0,12.0,0.0,1.0,32.0,0,1,0,0,0
Two-toedAmphiuma,Amphiuma means,Amphibia,1.0,60.0,0.0,1.0,34.0,0,1,0,0,0
Red-backedSalamander,Plethodon cinereus,Amphibia,1.0,19.0,0.0,1.0,35.0,0,1,0,0,0
BartonSpringsSalamander,Eurycea sosorum,Amphibia,1.0,17.0,0.0,2.0,32.0,0,1,0,0,0
AustinBlindSalamander,Eurycea waterlooensis,Amphibia,1.0,14.0,0.0,1.0,28.0,0,1,0,0,0
OlympicSalamander,Rhyacotriton olympicus,Amphibia,1.0,17.0,0.0,1.0,25.0,0,1,0,0,0
Mudpuppy,Necturus maculosus,Amphibia,1.0,18.0,0.0,2.0,23.0,0,1,0,0,0
Hochstetter'sFrog,Leiopelma hochstetteri,Amphibia,1.0,9.0,0.0,1.0,3.0,0,1,0,0,0
TailedFrog,Ascaphus truei,Amphibia,1.0,8.0,0.0,1.0,3.0,0,1,0,0,0
KakhienHillsSpadefootToad,Megophrys feae,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
CommonSpadefootToad,Pelobates fuscus,Amphibia,1.0,7.0,0.0,1.0,2.0,0,1,0,0,0
OrnateHornedFrog,Ceratophrys ornata,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
MarineToad,Rhinella marina,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
GreatPlainsToad,Rhinella margaritifera,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Woodhouse'sToad,Anaxyrus woodhousii,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
ArizonaToad,Anaxyrus microscaphus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
GreatPlainsToad,Anaxyrus cognatus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
CommonToad,Bufo bufo,Amphibia,1.0,7.0,0.0,1.0,2.5,0,1,0,0,0
CubanTreefrog,Osteopilus septentrionalis,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
BarkingTreefrog,Dryophytes gratiosus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
JapaneseTreefrog,Dryophytes japonicus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
RustyTreefrog,Boana boans,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Black-eyedLeafFrog,Agalychnis moreletii,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
Steindachner'sRobberFrog,Ischnocnema guentheri,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
MiniatureFrog,Brachycephalus albolineatus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
RobberFrog,Pristimantis pulvinatus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
ClayRobberFrog,Haddadus binotatus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
SpaldingsRobberFrog,Eleutherodactylus gossei,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
AfricanBullfrog,Pyxicephalus adspersus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
GreenFrog,Lithobates clamitans melanotus,Amphibia,1.0,7.0,0.0,1.0,3.0,0,1,0,0,0
