node,C,T,L,S,Ca,insideVariance,totalVariance,explainedVariance,outsideVariance,numMammals,numBirds,numReptiles,numAmphibians,speciesList
1044,0.0,0.0,1.0,0.0,0.0,1.8523296836324536e-31,1.8163988657844987,1.0197813478772661e-31,6.683428410583626,0,23,0,0,"['Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris']"
1103,0.0,0.0,1.0,0.0,0.0,1.800276349012125e-31,1.7454648526077094,1.0314022343804446e-31,6.660305407271617,0,21,0,0,"['Catharus minimus' 'Chloris sinica' 'Orthogonys chloricterus'
 'Motacilla alba alba' 'Hemithraupis flavicollis'
 'Trichothraupis melanops' 'Parkerthraustes humeralis'
 'Neothraupis fasciata' 'Thraupis ornata' 'Tangara seledon'
 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica']"
1111,0.0,0.0,1.0,0.0,0.0,4.5415714482484746e-31,1.6912448347107436,2.685342391023608e-31,6.67185353772878,0,22,0,0,"['Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica']"
1121,0.0,0.0,1.0,0.0,0.0,2.324943815615807e-32,1.756,1.323999894997612e-32,6.706658053108066,0,25,0,0,"['Arremon semitorquatus' 'Chlorophonia cyanocephala' 'Catharus minimus'
 'Chloris sinica' 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris' 'Pyrrhocorax graculus']"
1142,0.0,0.0,1.0,0.0,0.0,2.170367388655914e-30,1.9841900887573964,1.0938303748987636e-30,6.718312646897084,0,26,0,0,"['Melopsittacus undulatus' 'Arremon semitorquatus'
 'Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris' 'Pyrrhocorax graculus']"
1151,0.0,0.0,1.0,0.0,0.0,3.92794560486073e-26,9.039743445768726,4.3451958879422635e-27,7.34386922177417,0,77,0,0,"['Tachybaptus ruficollis' 'Podiceps cristatus' 'Columba palumbus'
 'Ducula badia' 'Ptilinopus magnificus' 'Ptilinopus melanospilus'
 'Goura cristata' 'Pterocles orientalis' 'Burhinus oedicnemus'
 'Haematopus ostralegus' 'Vanellus vanellus' 'Pluvialis squatarola'
 'Pluvialis apricaria' 'Fratercula arctica' 'Uria aalge'
 'Chroicocephalus ridibundus' 'Sterna paradisaea' 'Sterna hirundo'
 'Rynchops niger' 'Alca torda' 'Glareola pratincola' 'Numenius arquata'
 'Limosa lapponica' 'Tringa nebularia' 'Arenaria interpres'
 'Calidris canutus' 'Calidris pugnax' 'Scolopax rusticola'
 'Gallinago gallinago' 'Jacana spinosa' 'Attagis gayi' 'Gavia stellata'
 'Ciconia ciconia' 'Pelecanus conspicillatus' 'Plegadis falcinellus'
 'Platalea leucorodia' 'Threskiornis melanocephalus' 'Diomedea exulans'
 'Macronectes giganteus' 'Oceanites oceanicus' 'Aptenodytes forsteri'
 'Eudyptes schlegeli' 'Spheniscus humboldti' 'Eudyptula minor'
 'Psophia viridis' 'Fulica atra' 'Gallinula chloropus'
 'Melopsittacus undulatus' 'Arremon semitorquatus'
 'Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris' 'Pyrrhocorax graculus'
 'Cariama cristata' 'Accipiter gentilis' 'Otus sunia' 'Upupa epops']"
1208,0.0,0.0,1.0,0.0,0.0,6.569014025417743e-30,13.87205277555222,4.735430387775643e-31,6.648784096614892,0,20,0,0,"['Tadorna tadorna' 'Tadorna ferruginea' 'Dendrocygna arcuata'
 'Biziura lobata' 'Oxyura leucocephala' 'Cygnus cygnus' 'Cygnus atratus'
 'Cygnus olor' 'Anser cygnoides' 'Branta bernicla'
 'Cereopsis novaehollandiae' 'Coscoroba coscoroba' 'Anas zonorhyncha'
 'Melanitta nigra' 'Mergellus albellus' 'Bucephala clangula'
 'Aythya marila' 'Mareca strepera' 'Anas acuta' 'Anas platyrhynchos']"
1270,0.0,0.0,1.0,0.0,0.0,2.9337469072913343e-30,14.795181754323387,1.9829069733692502e-31,6.8362921092134545,0,36,0,0,"['Callipepla californica' 'Gallus gallus' 'Pavo muticus'
 'Argusianus argus' 'Lagopus lagopus' 'Lagopus muta' 'Tetrao urogallus'
 'Lyrurus tetrix tetrix' 'Perdix perdix' 'Lophura nycthemera'
 'Chrysolophus pictus' 'Phasianus colchicus' 'Pternistis capensis'
 'Coturnix japonica' 'Crax rubra' 'Penelope montagnii' 'Tadorna tadorna'
 'Tadorna ferruginea' 'Dendrocygna arcuata' 'Biziura lobata'
 'Oxyura leucocephala' 'Cygnus cygnus' 'Cygnus atratus' 'Cygnus olor'
 'Anser cygnoides' 'Branta bernicla' 'Cereopsis novaehollandiae'
 'Coscoroba coscoroba' 'Anas zonorhyncha' 'Melanitta nigra'
 'Mergellus albellus' 'Bucephala clangula' 'Aythya marila'
 'Mareca strepera' 'Anas acuta' 'Anas platyrhynchos']"
1285,0.0,0.0,1.0,0.0,0.0,1.0129212629588308e-24,14.995585818258165,6.754796212933068e-26,7.842762455298595,0,116,0,0,"['Dromaius novaehollandiae' 'Apteryx australis' 'Callipepla californica'
 'Gallus gallus' 'Pavo muticus' 'Argusianus argus' 'Lagopus lagopus'
 'Lagopus muta' 'Tetrao urogallus' 'Lyrurus tetrix tetrix' 'Perdix perdix'
 'Lophura nycthemera' 'Chrysolophus pictus' 'Phasianus colchicus'
 'Pternistis capensis' 'Coturnix japonica' 'Crax rubra'
 'Penelope montagnii' 'Tadorna tadorna' 'Tadorna ferruginea'
 'Dendrocygna arcuata' 'Biziura lobata' 'Oxyura leucocephala'
 'Cygnus cygnus' 'Cygnus atratus' 'Cygnus olor' 'Anser cygnoides'
 'Branta bernicla' 'Cereopsis novaehollandiae' 'Coscoroba coscoroba'
 'Anas zonorhyncha' 'Melanitta nigra' 'Mergellus albellus'
 'Bucephala clangula' 'Aythya marila' 'Mareca strepera' 'Anas acuta'
 'Anas platyrhynchos' 'Chlamydotis undulata undulata'
 'Tachybaptus ruficollis' 'Podiceps cristatus' 'Columba palumbus'
 'Ducula badia' 'Ptilinopus magnificus' 'Ptilinopus melanospilus'
 'Goura cristata' 'Pterocles orientalis' 'Burhinus oedicnemus'
 'Haematopus ostralegus' 'Vanellus vanellus' 'Pluvialis squatarola'
 'Pluvialis apricaria' 'Fratercula arctica' 'Uria aalge'
 'Chroicocephalus ridibundus' 'Sterna paradisaea' 'Sterna hirundo'
 'Rynchops niger' 'Alca torda' 'Glareola pratincola' 'Numenius arquata'
 'Limosa lapponica' 'Tringa nebularia' 'Arenaria interpres'
 'Calidris canutus' 'Calidris pugnax' 'Scolopax rusticola'
 'Gallinago gallinago' 'Jacana spinosa' 'Attagis gayi' 'Gavia stellata'
 'Ciconia ciconia' 'Pelecanus conspicillatus' 'Plegadis falcinellus'
 'Platalea leucorodia' 'Threskiornis melanocephalus' 'Diomedea exulans'
 'Macronectes giganteus' 'Oceanites oceanicus' 'Aptenodytes forsteri'
 'Eudyptes schlegeli' 'Spheniscus humboldti' 'Eudyptula minor'
 'Psophia viridis' 'Fulica atra' 'Gallinula chloropus'
 'Melopsittacus undulatus' 'Arremon semitorquatus'
 'Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris' 'Pyrrhocorax graculus'
 'Cariama cristata' 'Accipiter gentilis' 'Otus sunia' 'Upupa epops']"
1286,0.0,0.0,1.0,0.0,0.0,8.1605570422500725e-25,14.876601282763284,5.485498258063332e-26,7.817532400412078,0,114,0,0,"['Callipepla californica' 'Gallus gallus' 'Pavo muticus'
 'Argusianus argus' 'Lagopus lagopus' 'Lagopus muta' 'Tetrao urogallus'
 'Lyrurus tetrix tetrix' 'Perdix perdix' 'Lophura nycthemera'
 'Chrysolophus pictus' 'Phasianus colchicus' 'Pternistis capensis'
 'Coturnix japonica' 'Crax rubra' 'Penelope montagnii' 'Tadorna tadorna'
 'Tadorna ferruginea' 'Dendrocygna arcuata' 'Biziura lobata'
 'Oxyura leucocephala' 'Cygnus cygnus' 'Cygnus atratus' 'Cygnus olor'
 'Anser cygnoides' 'Branta bernicla' 'Cereopsis novaehollandiae'
 'Coscoroba coscoroba' 'Anas zonorhyncha' 'Melanitta nigra'
 'Mergellus albellus' 'Bucephala clangula' 'Aythya marila'
 'Mareca strepera' 'Anas acuta' 'Anas platyrhynchos'
 'Chlamydotis undulata undulata' 'Tachybaptus ruficollis'
 'Podiceps cristatus' 'Columba palumbus' 'Ducula badia'
 'Ptilinopus magnificus' 'Ptilinopus melanospilus' 'Goura cristata'
 'Pterocles orientalis' 'Burhinus oedicnemus' 'Haematopus ostralegus'
 'Vanellus vanellus' 'Pluvialis squatarola' 'Pluvialis apricaria'
 'Fratercula arctica' 'Uria aalge' 'Chroicocephalus ridibundus'
 'Sterna paradisaea' 'Sterna hirundo' 'Rynchops niger' 'Alca torda'
 'Glareola pratincola' 'Numenius arquata' 'Limosa lapponica'
 'Tringa nebularia' 'Arenaria interpres' 'Calidris canutus'
 'Calidris pugnax' 'Scolopax rusticola' 'Gallinago gallinago'
 'Jacana spinosa' 'Attagis gayi' 'Gavia stellata' 'Ciconia ciconia'
 'Pelecanus conspicillatus' 'Plegadis falcinellus' 'Platalea leucorodia'
 'Threskiornis melanocephalus' 'Diomedea exulans' 'Macronectes giganteus'
 'Oceanites oceanicus' 'Aptenodytes forsteri' 'Eudyptes schlegeli'
 'Spheniscus humboldti' 'Eudyptula minor' 'Psophia viridis' 'Fulica atra'
 'Gallinula chloropus' 'Melopsittacus undulatus' 'Arremon semitorquatus'
 'Chlorophonia cyanocephala' 'Catharus minimus' 'Chloris sinica'
 'Orthogonys chloricterus' 'Motacilla alba alba'
 'Hemithraupis flavicollis' 'Trichothraupis melanops'
 'Parkerthraustes humeralis' 'Neothraupis fasciata' 'Thraupis ornata'
 'Tangara seledon' 'Saltator coerulescens' 'Cissa thalassina' 'Pica pica'
 'Nucifraga caryocatactes' 'Coloeus monedula' 'Corvus frugilegus'
 'Corvus corone' 'Corvus corax' 'Parus major' 'Alauda arvensis'
 'Hirundo rustica' 'Heteralocha acutirostris' 'Pyrrhocorax graculus'
 'Cariama cristata' 'Accipiter gentilis' 'Otus sunia' 'Upupa epops']"
