name,species,class,C,T,L,S,Ca
(JapaneseGiantSalamander)-(HellbenderSalamander),(Andrias japonicus)-(Cryptobranchus alleganiensis),(Amphibia)-(Amphibia),0.0,0.32017429511499723,0.0,0.0,0.4268990601533296
(Axolotl)-(TigerSalamander),(Ambystoma mexicanum)-(Ambystoma tigrinum),(Amphibia)-(Amphibia),0.1264304343560434,0.1264304343560434,0.0,0.0,-1.896456515340651
(SpottedSalamander)-(JeffersonSalamander),(Ambystoma maculatum)-(Ambystoma jeffersonianum),(Amphibia)-(Amphibia),0.0,-0.22211979650955158,0.0,0.0,-1.9990781685859642
(SpottedSalamander+JeffersonSalamander)-(Long-toedSalamander),(Ambystoma maculatum+Ambystoma jeffersonianum)-(Ambystoma macrodactylum),(Amphibia+Amphibia)-(Amphibia),0.0,-0.10142419743671272,0.0,0.0,-1.1156661718038359
(SpottedSalamander+JeffersonSalamander+Long-toedSalamander)-(SmallmouthSalamander),(Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum)-(Ambystoma texanum),(Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,-0.26360313558979415,0.0,0.0,0.5418571048709421
(Axolotl+TigerSalamander)-(SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander),(Ambystoma mexicanum+Ambystoma tigrinum)-(Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia),0.049435375635825694,0.02725337616476689,0.0,0.0,-0.41031182672380273
(Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander)-(MarbledSalamander),(Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum)-(Ambystoma opacum),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.016610057462556352,0.2175029381292773,0.0,0.0,0.9533424140965564
(MoleSalamander)-(Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander),(Ambystoma talpoideum)-(Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum),(Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),-0.007797543171140102,-0.21851072272273928,0.0,0.0,-0.3311392228774233
(JapaneseFirebellyNewt)-(CaliforniaNewt),(Cynops pyrrhogaster)-(Taricha torosa),(Amphibia)-(Amphibia),0.0,0.20189205431599522,0.0,0.0,0.40378410863199043
(IberianRibbedNewt)-(JapaneseFirebellyNewt+CaliforniaNewt),(Pleurodeles waltl)-(Cynops pyrrhogaster+Taricha torosa),(Amphibia)-(Amphibia+Amphibia),0.0,-0.10671782152217074,0.0,0.0,0.45888663254533385
(FireSalamander)-(IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt),(Salamandra salamandra)-(Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa),(Amphibia)-(Amphibia+Amphibia+Amphibia),0.0,0.11353251001038375,0.0,0.0,-1.6316130926770767
(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander)-(FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt),(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum)-(Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia),0.0027021416055176494,0.06583157729116054,0.0,0.0,0.23234528590762993
(BartonSpringsSalamander)-(AustinBlindSalamander),(Eurycea sosorum)-(Eurycea waterlooensis),(Amphibia)-(Amphibia),0.0,0.8176044284494441,0.0,0.27253480948314807,1.0901392379325923
