name,species,class,C,T,L,S,Ca
(JapaneseGiantSalamander)-(HellbenderSalamander),(Andrias japonicus)-(Cryptobranchus alleganiensis),(Amphibia)-(Amphibia),0.0,3.0,0.0,0.0,4.0
(Axolotl)-(TigerSalamander),(Ambystoma mexicanum)-(Ambystoma tigrinum),(Amphibia)-(Amphibia),0.5,0.5,0.0,0.0,-7.5
(SpottedSalamander)-(JeffersonSalamander),(Ambystoma maculatum)-(Ambystoma jeffersonianum),(Amphibia)-(Amphibia),0.0,-1.0,0.0,0.0,-9.0
(SpottedSalamander+JeffersonSalamander)-(Long-toedSalamander),(Ambystoma maculatum+Ambystoma jeffersonianum)-(Ambystoma macrodactylum),(Amphibia+Amphibia)-(Amphibia),0.0,-0.5000000000000018,0.0,0.0,-5.5
(SpottedSalamander+JeffersonSalamander+Long-toedSalamander)-(SmallmouthSalamander),(Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum)-(Ambystoma texanum),(Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,-1.3021253080402602,0.0,0.0,2.6766216115571737
(Axolotl+TigerSalamander)-(SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander),(Ambystoma mexicanum+Ambystoma tigrinum)-(Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia),0.25,0.13782324810037672,0.0,0.0,-2.074990942449979
(Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander)-(MarbledSalamander),(Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum)-(Ambystoma opacum),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.08866657376583853,1.1610580126769836,0.0,0.0,5.089061592601226
(MoleSalamander)-(Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander),(Ambystoma talpoideum)-(Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum),(Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),-0.0669865547191264,-1.8771656870791613,0.0,0.0,-2.844726240827498
(JapaneseFirebellyNewt)-(CaliforniaNewt),(Cynops pyrrhogaster)-(Taricha torosa),(Amphibia)-(Amphibia),0.0,2.0,0.0,0.0,4.0
(IberianRibbedNewt)-(JapaneseFirebellyNewt+CaliforniaNewt),(Pleurodeles waltl)-(Cynops pyrrhogaster+Taricha torosa),(Amphibia)-(Amphibia+Amphibia),0.0,-1.0,0.0,0.0,4.299999999999997
(FireSalamander)-(IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt),(Salamandra salamandra)-(Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa),(Amphibia)-(Amphibia+Amphibia+Amphibia),0.0,1.3602970900123044,0.0,0.0,-19.549277487052905
(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander)-(FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt),(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum)-(Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia),0.04087454498354903,0.9958159712396135,0.0,0.0,3.51462255758711
(BartonSpringsSalamander)-(AustinBlindSalamander),(Eurycea sosorum)-(Eurycea waterlooensis),(Amphibia)-(Amphibia),0.0,3.0,0.0,1.0,4.0
(Red-backedSalamander)-(BartonSpringsSalamander+AustinBlindSalamander),(Plethodon cinereus)-(Eurycea sosorum+Eurycea waterlooensis),(Amphibia)-(Amphibia+Amphibia),0.0,3.5000000000000018,0.0,-0.5,5.0000000000000036
(Two-toedAmphiuma)-(Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander),(Amphiuma means)-(Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis),(Amphibia)-(Amphibia+Amphibia+Amphibia),0.0,42.79099910849941,0.0,-0.25585701549991535,1.5585701549991597
(Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander)-(OlympicSalamander),(Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis)-(Rhyacotriton olympicus),(Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,17.475171295605485,0.0,0.15261869620977797,8.070312984997976
(Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander+OlympicSalamander)-(Mudpuppy),(Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis+Rhyacotriton olympicus)-(Necturus maculosus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia),0.0,10.852652866848526,0.0,-0.8964853393099268,7.473744246618953
(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander+FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt)-(Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander+OlympicSalamander+Mudpuppy),(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum+Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa)-(Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis+Rhyacotriton olympicus+Necturus maculosus),(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),0.017880522394412734,-12.013377982145409,0.0,-0.372315553435159,1.525841959944998
(JapaneseGiantSalamander+HellbenderSalamander)-(MoleSalamander+Axolotl+TigerSalamander+SpottedSalamander+JeffersonSalamander+Long-toedSalamander+SmallmouthSalamander+MarbledSalamander+FireSalamander+IberianRibbedNewt+JapaneseFirebellyNewt+CaliforniaNewt+Two-toedAmphiuma+Red-backedSalamander+BartonSpringsSalamander+AustinBlindSalamander+OlympicSalamander+Mudpuppy),(Andrias japonicus+Cryptobranchus alleganiensis)-(Ambystoma talpoideum+Ambystoma mexicanum+Ambystoma tigrinum+Ambystoma maculatum+Ambystoma jeffersonianum+Ambystoma macrodactylum+Ambystoma texanum+Ambystoma opacum+Salamandra salamandra+Pleurodeles waltl+Cynops pyrrhogaster+Taricha torosa+Amphiuma means+Plethodon cinereus+Eurycea sosorum+Eurycea waterlooensis+Rhyacotriton olympicus+Necturus maculosus),(Amphibia+Amphibia)-(Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia),-0.008331739823425499,-0.5288207963338074,0.0,-0.1988286577499565,-11.981225257737819
(Hochstetter'sFrog)-(TailedFrog),(Leiopelma hochstetteri)-(Ascaphus truei),(Amphibia)-(Amphibia),0.0,1.0,0.0,0.0,0.0
(KakhienHillsSpadefootToad)-(CommonSpadefootToad),(Megophrys feae)-(Pelobates fuscus),(Amphibia)-(Amphibia),0.0,0.0,0.0,0.0,1.0
