node,C,T,L,S,Ca,insideVariance,totalVariance,explainedVariance,outsideVariance,numMammals,numBirds,numReptiles,numAmphibians,cluster
660,0.0,1.0,0.0,0.0,-2.0,1107.6603949364626,7704.024072617949,0.14377686057256336,109.6674157149293,0,0,74,0,1
1352,0.0,0.0,0.0,0.0,-1.0,35.168367346938766,36.21077806122449,0.9712126949461501,390.1239717399688,0,0,28,0,1
151,0.0,0.0,0.0,0.0,-1.0,157.39147682492003,207.24454494276594,0.7594481045008269,392.9003233560091,0,0,0,73,1
459,0.0,0.0,0.0,0.0,-1.0,53.24706476454995,61.17535664688802,0.8704005613224098,457.5814486974417,89,0,0,0,1
604,0.0,0.0,0.0,0.0,-1.0,293.78114186851207,358.1231244234256,0.8203355824662162,318.1806567597114,0,0,34,0,1
1351,1.0,0.0,0.0,1.0,-1.0,67.41575707341441,91.65975884014159,0.7355000485108223,168.00894477864654,0,116,30,0,1
660,0.0,2.0,0.0,0.0,1.0,6463.030150075173,7704.024072617949,0.8389161416364751,225.33484280056436,0,0,74,0,3
1352,0.0,0.0,0.0,0.0,1.0,35.165378950945,36.21077806122449,0.971130167142171,394.77943408118097,0,0,28,0,3
151,0.0,0.0,0.0,0.0,1.0,171.746475105599,207.24454494276594,0.8287140930683105,631.5567059886966,0,0,0,73,3
604,0.0,0.0,0.0,0.0,1.0,293.97085517550073,358.1231244234256,0.8208653257138607,345.4954894459681,0,0,34,0,3
1349,0.0,-1.0,0.0,0.0,0.0,2745.0812822118146,3198.3855677869474,0.8582709070036272,877.6192427816057,89,116,104,0,2
150,0.0,-1.0,0.0,0.0,0.0,877.6192427816057,1026.1315997756772,0.8552696778595087,2745.0812822118146,0,0,0,79,2
1285,1.0,0.0,0.0,1.0,0.0,11.684108183622591,14.995585818258165,0.7791698387265658,7.043326971058058,0,116,0,0,2
