Callipepla californica
Gallus gallus
Pavo muticus
Argusianus argus
Lagopus lagopus
Lagopus muta
Tetrao urogallus
Lyrurus tetrix tetrix
Perdix perdix
Lophura nycthemera
Chrysolophus pictus
Phasianus colchicus
Pternistis capensis
Coturnix japonica
Crax rubra
Penelope montagnii
Tadorna tadorna
Tadorna ferruginea
Dendrocygna arcuata
Biziura lobata
Oxyura leucocephala
Cygnus cygnus
Cygnus atratus
Cygnus olor
Anser cygnoides
Branta bernicla
Cereopsis novaehollandiae
Coscoroba coscoroba
Anas zonorhyncha
Melanitta nigra
Mergellus albellus
Bucephala clangula
Aythya marila
Mareca strepera
Anas acuta
Anas platyrhynchos
Chlamydotis undulata undulata
Tachybaptus ruficollis
Podiceps cristatus
Columba palumbus
Ducula badia
Ptilinopus magnificus
Ptilinopus melanospilus
Goura cristata
Pterocles orientalis
Burhinus oedicnemus
Haematopus ostralegus
Vanellus vanellus
Pluvialis squatarola
Pluvialis apricaria
Fratercula arctica
Uria aalge
Chroicocephalus ridibundus
Sterna paradisaea
Sterna hirundo
Rynchops niger
Alca torda
Glareola pratincola
Numenius arquata
Limosa lapponica
Tringa nebularia
Arenaria interpres
Calidris canutus
Calidris pugnax
Scolopax rusticola
Gallinago gallinago
Jacana spinosa
Attagis gayi
Gavia stellata
Ciconia ciconia
Pelecanus conspicillatus
Plegadis falcinellus
Platalea leucorodia
Threskiornis melanocephalus
Diomedea exulans
Macronectes giganteus
Oceanites oceanicus
Aptenodytes forsteri
Eudyptes schlegeli
Spheniscus humboldti
Eudyptula minor
Psophia viridis
Fulica atra
Gallinula chloropus
Melopsittacus undulatus
Arremon semitorquatus
Chlorophonia cyanocephala
Catharus minimus
Chloris sinica
Orthogonys chloricterus
Motacilla alba alba
Hemithraupis flavicollis
Trichothraupis melanops
Parkerthraustes humeralis
Neothraupis fasciata
Thraupis ornata
Tangara seledon
Saltator coerulescens
Cissa thalassina
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Corvus frugilegus
Corvus corone
Corvus corax
Parus major
Alauda arvensis
Hirundo rustica
Heteralocha acutirostris
Pyrrhocorax graculus
Cariama cristata
Accipiter gentilis
Otus sunia
Upupa epops
