Acrochordus granulatus
Gloydius himalayanus
Bothrops bilineatus
Bothrops asper
Crotalus atrox
Crotalus tigris
Vipera berus berus
Thamnophis elegans
Xenochrophis vittatus
Xenodon pulcher
Hypsiglena torquata
Dasypeltis scabra
Boiga dendrophila
Bogertophis subocularis
Lampropeltis rhombomaculata
Lampropeltis getula
Coluber constrictor
Enhydris chanardi
Boaedon fuliginosus
Leioheterodon geayi
Micrurus fulvius
Ahaetulla prasina
Python molurus
Lichanura trivirgata
Boa constrictor constrictor
Epicrates cenchria
