Chamaeleo calyptratus
Archaius tigris
Chlamydosaurus kingii
Lophosaurus dilophus
Moloch horridus
Hydrosaurus amboinensis
Draco volans
Gonocephalus chamaeleontinus
Trapelus agilis
Acanthocercus annectans
Uromastyx aegyptia
Dipsosaurus dorsalis
Iguana iguana
Uta stansburiana
Urosaurus ornatus
Phrynosoma solare
Phrynosoma mcallii
Phrynosoma taurus
Phrynosoma cornutum
Corytophanes cristatus
Anolis agassizi
Anolis eulaemus
Anolis coelestinus
Gambelia wislizenii
Crotaphytus vestigium
Crotaphytus collaris
Uranoscodon superciliosus
Heloderma suspectum
Abronia graminea
Anguis fragilis
Shinisaurus crocodilurus
Lanthanotus borneensis
Varanus salvator
Varanus niloticus
