species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Adolfus jacksoni,3.0,23.0,0.0,3.0,20.0
Tupinambis teguixin,3.0,22.0,1.0,2.0,43.0
Chamaeleo calyptratus,2.0,17.0,3.0,2.0,63.0
Archaius tigris,3.0,16.0,0.0,2.0,44.0
Chlamydosaurus kingii,4.0,14.0,4.0,2.0,49.0
Lophosaurus dilophus,3.0,20.0,0.0,2.0,40.0
Moloch horridus,4.0,16.0,0.0,2.0,12.5
Hydrosaurus amboinensis,4.0,18.0,0.0,2.0,56.0
Draco volans,4.0,18.0,0.5,2.0,45.0
Gonocephalus chamaeleontinus,4.0,18.0,0.0,2.0,39.0
Trapelus agilis,4.0,18.0,0.0,2.0,45.0
Acanthocercus annectans,3.0,17.0,0.0,4.0,47.0
Uromastyx aegyptia,4.0,18.0,2.0,2.0,24.0
Dipsosaurus dorsalis,3.0,19.0,0.0,2.0,55.0
Iguana iguana,4.6666,20.5,0.0,2.0,68.0
Uta stansburiana,3.0,20.0,0.0,2.0,35.0
Urosaurus ornatus,3.0,20.0,0.0,2.0,34.0
Phrynosoma solare,3.0,19.0,0.0,3.0,13.0
Phrynosoma mcallii,3.0,17.0,2.0,2.0,24.0
Phrynosoma taurus,3.0,19.0,1.0,1.0,7.0
Phrynosoma cornutum,3.0,18.0,1.0,2.0,7.0
Corytophanes cristatus,4.0,16.0,0.0,3.0,37.0
Anolis agassizi,4.0,17.0,4.0,2.0,29.0
Anolis eulaemus,3.0,16.0,4.0,2.0,23.0
Anolis coelestinus,4.0,16.0,3.0,3.0,49.0
Gambelia wislizenii,3.0,18.0,1.0,2.0,54.0
Crotaphytus vestigium,4.0,18.0,1.0,2.0,46.0
Crotaphytus collaris,4.0,22.0,0.0,2.0,50.0
Uranoscodon superciliosus,3.0,20.0,0.0,2.0,41.0
Heloderma suspectum,3.0,30.0,3.0,2.0,26.5
Abronia graminea,3.0,24.0,0.0,3.0,44.0
Anguis fragilis,3.0,61.0,0.0,0.0,47.0
Shinisaurus crocodilurus,3.0,22.67,1.0,2.0,43.0
Lanthanotus borneensis,4.0,29.0,4.0,2.0,60.0
Varanus salvator,5.0,19.0,3.0,3.0,67.0
Varanus niloticus,5.0,24.0,0.0,2.0,80.0
Acrochordus granulatus,3.0,198.0,0.0,0.0,48.0
Gloydius himalayanus,3.0,156.0,0.0,3.0,24.0
Bothrops bilineatus,4.0,206.0,0.0,0.0,77.0
Bothrops asper,3.0,200.0,0.0,0.0,58.0
Crotalus atrox,3.0,174.0,0.0,0.0,35.0
Crotalus tigris,2.0,168.0,0.0,0.0,25.0
Vipera berus berus,2.0,154.0,0.0,0.0,33.0
Thamnophis elegans,3.0,237.0,0.0,0.0,59.0
Xenochrophis vittatus,2.0,144.0,0.0,0.0,66.0
Xenodon pulcher,2.0,159.0,0.0,0.0,39.0
Hypsiglena torquata,2.0,166.0,0.0,2.0,55.0
Dasypeltis scabra,2.0,202.5,0.0,0.0,63.0
Boiga dendrophila,3.0,190.0,0.0,0.0,81.0
Bogertophis subocularis,3.0,270.0,0.0,4.0,73.0
Lampropeltis rhombomaculata,2.0,208.0,0.0,0.0,39.0
Lampropeltis getula,3.0,217.0,0.0,3.0,50.0
Coluber constrictor,3.0,168.0,0.0,0.0,92.0
Enhydris chanardi,3.0,124.0,0.0,0.0,41.0
Boaedon fuliginosus,3.0,206.0,0.0,0.0,65.0
Leioheterodon geayi,2.0,193.0,0.0,0.0,64.0
Micrurus fulvius,2.0,215.0,0.0,0.0,90.0
Ahaetulla prasina,2.0,210.0,0.0,0.0,180.0
Python molurus,2.0,179.0,0.0,0.0,38.0
Lichanura trivirgata,2.0,224.0,0.0,0.0,46.0
Boa constrictor constrictor,2.0,243.0,0.0,0.0,60.0
Epicrates cenchria,4.0,240.0,0.0,0.0,54.0
Lepidophyma flavimaculatum,3.0,20.0,1.0,2.0,29.0
Corucia zebrata,3.0,23.0,0.0,2.0,48.0
Trachylepis perrotetii,3.0,22.0,1.0,2.0,37.0
Chioninia coctei,3.0,24.0,0.0,3.0,36.0
