Sphenodon punctatus
Adolfus jacksoni
Tupinambis teguixin
Chamaeleo calyptratus
Archaius tigris
Chlamydosaurus kingii
Lophosaurus dilophus
Moloch horridus
Hydrosaurus amboinensis
Draco volans
Gonocephalus chamaeleontinus
Trapelus agilis
Acanthocercus annectans
Uromastyx aegyptia
Dipsosaurus dorsalis
Iguana iguana
Uta stansburiana
Urosaurus ornatus
Phrynosoma solare
Phrynosoma mcallii
Phrynosoma taurus
Phrynosoma cornutum
Corytophanes cristatus
Anolis agassizi
Anolis eulaemus
Anolis coelestinus
Gambelia wislizenii
Crotaphytus vestigium
Crotaphytus collaris
Uranoscodon superciliosus
Heloderma suspectum
Abronia graminea
Anguis fragilis
Shinisaurus crocodilurus
Lanthanotus borneensis
Varanus salvator
Varanus niloticus
Acrochordus granulatus
Gloydius himalayanus
Bothrops bilineatus
Bothrops asper
Crotalus atrox
Crotalus tigris
Vipera berus berus
Thamnophis elegans
Xenochrophis vittatus
Xenodon pulcher
Hypsiglena torquata
Dasypeltis scabra
Boiga dendrophila
Bogertophis subocularis
Lampropeltis rhombomaculata
Lampropeltis getula
Coluber constrictor
Enhydris chanardi
Boaedon fuliginosus
Leioheterodon geayi
Micrurus fulvius
Ahaetulla prasina
Python molurus
Lichanura trivirgata
Boa constrictor constrictor
Epicrates cenchria
Lepidophyma flavimaculatum
Corucia zebrata
Trachylepis perrotetii
Chioninia coctei
Gehyra marginata
Gekko gecko
Gekko japonicus
Goniurosaurus lichtenfelderi
Lialis burtonis
Lialis jicari
Aprasia repens
