Tachybaptus ruficollis
Podiceps cristatus
Columba palumbus
Ducula badia
Ptilinopus magnificus
Ptilinopus melanospilus
Goura cristata
Pterocles orientalis
Burhinus oedicnemus
Haematopus ostralegus
Vanellus vanellus
Pluvialis squatarola
Pluvialis apricaria
Fratercula arctica
Uria aalge
Chroicocephalus ridibundus
Sterna paradisaea
Sterna hirundo
Rynchops niger
Alca torda
Glareola pratincola
Numenius arquata
Limosa lapponica
Tringa nebularia
Arenaria interpres
Calidris canutus
Calidris pugnax
Scolopax rusticola
Gallinago gallinago
Jacana spinosa
Attagis gayi
Gavia stellata
Ciconia ciconia
Pelecanus conspicillatus
Plegadis falcinellus
Platalea leucorodia
Threskiornis melanocephalus
Diomedea exulans
Macronectes giganteus
Oceanites oceanicus
Aptenodytes forsteri
Eudyptes schlegeli
Spheniscus humboldti
Eudyptula minor
Psophia viridis
Fulica atra
Gallinula chloropus
