Melopsittacus undulatus
Arremon semitorquatus
Chlorophonia cyanocephala
Catharus minimus
Chloris sinica
Orthogonys chloricterus
Motacilla alba alba
Hemithraupis flavicollis
Trichothraupis melanops
Parkerthraustes humeralis
Neothraupis fasciata
Thraupis ornata
Tangara seledon
Saltator coerulescens
Cissa thalassina
Pica pica
Nucifraga caryocatactes
Coloeus monedula
Corvus frugilegus
Corvus corone
Corvus corax
Parus major
Alauda arvensis
Hirundo rustica
Heteralocha acutirostris
Pyrrhocorax graculus
Cariama cristata
