subtree1,subtree2,numSpecies,numConstraints,numPlasticity,rank,numConstraintsHumanReadable,numPlasticityHumanReadable,numConstraintsIndivual,numConstraintsCumsum,numConstraintsCumsumReverse,numPlasticityIndivual,numPlasticityCumsum,numPlasticityCumsumReverse
-1,-1,388,0,0,5,5,0,0,0,0,0,0,0
1349,1349,309,0,3,5,5,5,0,0,0,2,1,0
1350,1350,220,1,1,4,5,2,1,0,0,1,0,1
1351,1351,146,3,0,2,5,4,2,4,4,1,0,0
1284,1284,118,3,0,2,5,0,3,4,5,0,0,0
1285,1285,116,3,0,2,5,1,3,4,5,0,0,0
1286,1286,114,3,0,2,5,1,3,4,5,0,0,0
459,459,89,3,0,2,5,1,3,5,2,0,0,0
453,453,87,3,0,2,5,1,3,5,2,0,0,0
150,150,79,3,0,2,4,1,3,1,0,0,0,0
943,943,78,3,0,2,5,0,3,4,5,0,0,0
1151,1151,77,3,0,2,5,0,3,4,5,0,0,0
455,455,76,3,0,2,5,1,3,5,2,0,0,0
660,660,74,2,1,3,4,2,2,1,0,1,4,2
151,151,73,4,0,1,5,1,4,5,2,0,0,0
648,648,73,2,1,3,4,2,2,1,0,1,4,2
430,430,70,3,0,2,5,1,3,5,2,0,0,0
632,632,66,2,1,3,4,3,2,1,0,1,4,2
640,640,62,2,1,3,4,3,2,1,0,1,4,2
603,603,60,2,1,3,4,4,2,1,0,1,4,2
152,152,53,5,0,0,5,0,5,5,5,0,0,0
166,166,51,5,0,0,5,1,5,5,5,0,0,0
175,175,48,5,0,0,5,1,5,5,5,0,0,0
885,885,47,4,0,1,5,0,3,4,5,0,0,0
168,168,45,5,0,0,5,1,5,5,5,0,0,0
169,169,43,5,0,0,5,1,5,5,5,0,0,0
341,341,41,4,0,1,5,1,3,5,3,0,0,0
809,809,39,4,0,1,5,0,4,4,5,0,0,0
333,333,38,4,0,1,5,1,3,5,2,0,0,0
1270,1270,36,3,0,2,5,1,3,4,5,0,0,0
604,604,34,3,0,2,5,1,3,4,1,0,0,0
945,945,30,5,0,0,5,0,5,5,5,0,0,0
415,415,29,3,0,2,5,1,3,5,2,0,0,0
1352,1352,28,5,0,0,5,1,5,5,3,0,0,0
946,946,27,5,0,0,5,0,5,5,5,0,0,0
564,564,27,3,0,2,5,1,3,5,2,0,0,0
1142,1142,26,5,0,0,5,0,5,5,5,0,0,0
170,170,26,5,0,0,5,1,5,5,5,0,0,0
514,514,26,3,0,2,3,0,3,1,0,0,0,0
1310,1310,25,4,0,1,5,1,5,5,3,0,0,0
1121,1121,25,5,0,0,5,0,5,5,5,0,0,0
980,980,24,5,0,0,5,0,5,5,5,0,0,0
810,810,23,4,0,1,5,0,4,5,5,0,0,0
1044,1044,23,5,0,0,5,0,5,5,5,0,0,0
534,534,22,3,0,2,3,0,3,1,0,0,0,0
1111,1111,22,5,0,0,5,0,5,5,5,0,0,0
1311,1311,21,4,0,1,5,1,5,5,3,0,0,0
1103,1103,21,5,0,0,5,0,5,5,5,0,0,0
515,515,21,3,0,2,3,0,3,1,0,0,0,0
157,157,20,5,0,0,5,1,5,5,5,0,0,0
516,516,20,3,0,2,4,1,3,1,0,0,0,0
1208,1208,20,3,0,2,5,1,3,4,5,0,0,0
94,94,20,4,0,1,5,0,4,5,2,0,0,0
