species,Caudal,preCaudal,treeSpecies
,23.0,28.0,Thylacinus_cynocephalus
,22.0,29.0,Myrmecobius_fasciatus
,23.0,29.0,Antechinus_flavipes
,20.0,28.0,Dasyurus_hallucatus
,19.0,28.0,Perameles_nasuta
,25.0,28.0,Phalanger_orientalis
,22.0,28.0,Macropus_rufogriseus
,24.0,28.0,Hypsiprymnodon_moschatus
,10.0,30.0,Vombatus_ursinus
,19.5,29.0,Monodelphis_domestica
,17.0,27.0,Didelphis_virginiana
,15.0,30.0,Sorex_minutus
,12.5,31.0,Erinaceus_europaeus
,10.0,31.0,Talpa_europaea
,33.0,29.0,Paradoxurus_hermaphroditus
,28.0,30.0,Genetta_genetta
,19.0,33.0,Crocuta_crocuta
,27.0,29.0,Herpestes_ichneumon
,22.0,29.0,Felis_catus
,23.0,30.0,Panthera_leo
,23.0,30.0,Panthera_pardus
,22.0,30.0,Vulpes_vulpes
,9.0,30.0,Odobenus_rosmarus
,8.0,31.0,Phoca_groenlandica
,18.0,30.0,Taxidea_taxus
,18.0,30.0,Martes_zibellina
,18.0,29.0,Mustela_nivalis
,18.0,29.0,Mustela_erminea
,15.0,29.0,Mellivora_capensis
,31.0,29.0,Potos_flavus
,17.0,36.0,Equus_caballus
,17.0,36.0,Equus_zebra
,22.0,33.0,Dicerorhinus_sumatrensis
,13.0,32.0,Hippopotamus_amphibius
,24.0,29.0,Orcinus_orca
,6.0,31.0,Moschus_moschiferus
,12.0,30.0,Tetracerus_quadricornis
,21.0,31.0,Bos_taurus
,17.0,30.0,Bison_bonasus
,14.0,30.0,Gazella_dorcas
,14.0,31.0,Hippotragus_equinus
,15.0,31.0,Connochaetes_gnou
,10.0,30.0,Ovis_ammon
,11.0,30.0,Alces_alces
,11.0,30.5,Rangifer_tarandus
,20.0,31.0,Giraffa_camelopardalis
,13.0,30.0,Tragulus_napu
,11.0,30.0,Tragulus_javanicus
,23.0,27.0,Phacochoerus_aethiopicus
,21.5,31.0,Sus_scrofa
,6.0,32.0,Tayassu_pecari
,12.0,31.0,Vicugna_pacos
,10.0,30.0,Oryctolagus_cuniculus
,16.0,29.0,Lepus_timidus
,21.0,30.0,Sciurus_vulgaris
,23.0,29.0,Marmota_marmota
,28.0,28.0,Rattus_fuscipes
,30.0,30.0,Mus_musculus
,30.0,30.0,Hydromys_chrysogaster
,29.0,29.0,Pedetes_capensis
,25.0,30.0,Castor_canadensis
,12.0,30.0,Hystrix_cristata
,15.0,29.0,Hystrix_brachyura
,21.0,30.0,Myocastor_coypus
,23.0,29.0,Chinchilla_lanigera
,14.0,30.5,Myoprocta_acouchy
,8.0,28.0,Hydrochoerus_hydrochaeris
,5.5,30.0,Cavia_porcellus
,19.0,29.0,Callithrix_jacchus
,23.0,29.0,Cebus_capucinus
,24.0,30.0,Saimiri_sciureus
,30.0,27.0,Ateles_paniscus
,31.0,28.0,Ateles_belzebuth
,28.0,27.0,Cercopithecus_mona
,22.0,29.0,Macaca_radiata
,15.0,29.0,Macaca_mulatta
,17.0,29.0,Macaca_nemestrina
,3.0,29.0,Pongo_pygmaeus
,4.0,29.0,Homo_sapiens
,2.0,30.0,Pan_troglodytes
,9.0,32.0,Indri_indri
,25.0,34.0,Orycteropus_afer
,20.0,35.5,Loxodonta_africana
,31.0,33.0,Elephas_maximus
,16.0,30.0,Dasypus_novemcinctus
,11.0,34.0,Bradypus_tridactylus
,4.0,41.0,Choloepus_didactylus
,12.0,29.0,Tachyglossus_aculeatus
,20.0,28.0,Ornithorhynchus_anatinus
