species,Cervical+Thoracic,Sacral+Caudal,treeSpecies
,26.583333333,22.0,Dromaius_novaehollandiae
,24.0,22.0,Apteryx_australis
,18.0,19.0,Callipepla_californica
,20.0,18.0,Gallus_gallus
,19.0,18.0,Pavo_muticus
,20.0,17.0,Argusianus_argus
,21.0,19.5,Lagopus_lagopus
,18.0,21.0,Lagopus_muta
,20.5,24.0,Tetrao_urogallus
,19.0,22.0,Lyrurus_tetrix_tetrix
,18.0,19.0,Perdix_perdix
,19.0,18.0,Lophura_nycthemera
,20.0,20.0,Chrysolophus_pictus
,18.5,20.0,Phasianus_colchicus
,22.0,20.0,Pternistis_capensis
,19.0,19.0,Coturnix_japonica
,22.0,22.0,Crax_rubra
,21.0,20.0,Penelope_montagnii
,22.0,22.0,Tadorna_tadorna
,22.0,24.0,Tadorna_ferruginea
,21.0,24.0,Dendrocygna_arcuata
,21.200000000000003,24.2,Biziura_lobata
,19.0,20.0,Oxyura_leucocephala
,28.5,28.0,Cygnus_cygnus
,29.5,27.0,Cygnus_atratus
,29.83333333,29.0,Cygnus_olor
,23.0,25.0,Anser_cygnoides
,24.0,24.0,Branta_bernicla
,24.0,23.0,Cereopsis_novaehollandiae
,27.0,27.0,Coscoroba_coscoroba
,21.0,21.0,Anas_zonorhyncha
,20.0,22.0,Melanitta_nigra
,21.0,21.0,Mergellus_albellus
,21.0,22.0,Bucephala_clangula
,21.0,22.0,Aythya_marila
,21.0,22.0,Mareca_strepera
,22.5,22.0,Anas_acuta
,21.0,22.5,Anas_platyrhynchos
,20.0,19.0,Chlamydotis_undulata_undulata
,21.0,19.0,Tachybaptus_ruficollis
,26.0,23.0,Podiceps_cristatus
,19.0,19.0,Columba_palumbus
,18.0,18.0,Ducula_badia
,18.0,19.0,Ptilinopus_magnificus
,18.0,18.0,Ptilinopus_melanospilus
,18.5,19.0,Goura_cristata
,19.5,18.0,Pterocles_orientalis
,18.5,18.0,Burhinus_oedicnemus
,19.666666669999998,25.5,Haematopus_ostralegus
,20.0,18.0,Vanellus_vanellus
,19.0,21.0,Pluvialis_squatarola
,19.0,21.0,Pluvialis_apricaria
,21.0,19.5,Fratercula_arctica
,20.666666667,20.5,Uria_aalge
,21.0,19.0,Chroicocephalus_ridibundus
,19.0,18.0,Sterna_paradisaea
,20.0,20.0,Sterna_hirundo
,19.0,20.0,Rynchops_niger
,20.5,25.0,Alca_torda
,18.0,19.0,Glareola_pratincola
,20.5,21.0,Numenius_arquata
,19.5,21.0,Limosa_lapponica
,22.0,20.0,Tringa_nebularia
,16.0,19.0,Arenaria_interpres
,19.0,19.0,Calidris_canutus
,21.5,20.0,Calidris_pugnax
,19.333333330000002,19.0,Scolopax_rusticola
,20.5,20.5,Gallinago_gallinago
,22.0,19.0,Jacana_spinosa
,20.0,19.0,Attagis_gayi
,18.0,22.0,Gavia_stellata
,21.166666669999998,19.0,Ciconia_ciconia
,24.0,21.0,Pelecanus_conspicillatus
,21.0,21.0,Plegadis_falcinellus
,22.0,20.0,Platalea_leucorodia
,23.0,21.0,Threskiornis_melanocephalus
,20.5,20.0,Diomedea_exulans
,20.0,21.0,Macronectes_giganteus
,17.0,18.0,Oceanites_oceanicus
,21.5,21.0,Aptenodytes_forsteri
,19.0,21.0,Eudyptes_schlegeli
,21.0,21.0,Spheniscus_humboldti
,20.5,21.0,Eudyptula_minor
,24.0,20.0,Psophia_viridis
,22.0,21.5,Fulica_atra
,22.0,21.5,Gallinula_chloropus
,16.0,18.0,Melopsittacus_undulatus
,18.0,15.0,Arremon_semitorquatus
,18.0,15.0,Chlorophonia_cyanocephala
,19.0,18.0,Catharus_minimus
,17.0,17.0,Chloris_sinica
,19.0,16.0,Orthogonys_chloricterus
,17.0,17.0,Motacilla_alba_alba
,17.0,15.0,Hemithraupis_flavicollis
,18.0,15.0,Trichothraupis_melanops
,18.0,15.0,Parkerthraustes_humeralis
,18.0,16.0,Neothraupis_fasciata
,17.0,15.0,Thraupis_ornata
,17.0,15.0,Tangara_seledon
,17.0,15.0,Saltator_coerulescens
,18.0,15.0,Cissa_thalassina
,18.0,13.0,Pica_pica
,18.0,15.0,Nucifraga_caryocatactes
,18.0,17.0,Coloeus_monedula
,17.0,16.0,Corvus_frugilegus
,18.5,17.0,Corvus_corone
,18.5,18.0,Corvus_corax
,17.0,17.0,Parus_major
,16.5,15.25,Alauda_arvensis
,18.0,16.0,Hirundo_rustica
,19.0,18.0,Heteralocha_acutirostris
,18.0,16.0,Pyrrhocorax_graculus
,19.0,21.0,Cariama_cristata
,19.5,20.0,Accipiter_gentilis
,17.0,17.0,Otus_sunia
,18.166666669999998,16.0,Upupa_epops
