species,Cervical,Lumbar+Sacral,treeSpecies
,1.0,1.0,Andrias_japonicus
,1.0,1.0,Cryptobranchus_alleganiensis
,1.0,1.0,Ambystoma_talpoideum
,1.5,1.0,Ambystoma_mexicanum
,1.0,1.0,Ambystoma_tigrinum
,1.0,1.0,Ambystoma_maculatum
,1.0,1.0,Ambystoma_jeffersonianum
,1.0,1.0,Ambystoma_macrodactylum
,1.0,1.0,Ambystoma_texanum
,1.0,1.0,Ambystoma_opacum
,1.0,1.0,Salamandra_salamandra
,1.0,1.0,Pleurodeles_waltl
,1.0,1.0,Cynops_pyrrhogaster
,1.0,1.0,Taricha_torosa
,1.0,1.0,Amphiuma_means
,1.0,1.0,Plethodon_cinereus
,1.0,2.0,Eurycea_sosorum
,1.0,1.0,Eurycea_waterlooensis
,1.0,1.0,Rhyacotriton_olympicus
,1.0,2.0,Necturus_maculosus
,1.0,1.0,Leiopelma_hochstetteri
,1.0,1.0,Ascaphus_truei
,1.0,1.0,Megophrys_feae
,1.0,1.0,Pelobates_fuscus
,1.0,1.0,Ceratophrys_ornata
,1.0,1.0,Rhinella_marina
,1.0,1.0,Rhinella_margaritifera
,1.0,1.0,Anaxyrus_woodhousii
,1.0,1.0,Anaxyrus_microscaphus
,1.0,1.0,Anaxyrus_cognatus
,1.0,1.0,Bufo_bufo
,1.0,1.0,Osteopilus_septentrionalis
,1.0,1.0,Dryophytes_gratiosus
,1.0,1.0,Dryophytes_japonicus
,1.0,1.0,Boana_boans
,1.0,1.0,Agalychnis_moreletii
,1.0,1.0,Ischnocnema_guentheri
,1.0,1.0,Brachycephalus_albolineatus
,1.0,1.0,Pristimantis_pulvinatus
,1.0,1.0,Haddadus_binotatus
,1.0,1.0,Eleutherodactylus_gossei
,1.0,1.0,Pyxicephalus_adspersus
,1.0,1.0,Lithobates_clamitans_melanotus
,1.0,1.0,Lithobates_pipiens
,1.0,1.0,Rana_temporaria
,1.0,1.0,Rana_dalmatina
,1.0,1.0,Sylvirana_guentheri
,1.0,1.0,Pelophylax_lessonae
,1.0,1.0,Boophis_albilabris
,1.0,1.0,Raorchestes_signatus
,1.0,1.0,Pseudophilautus_microtympanum
,1.0,1.0,Kurixalus_idiootocus
,1.0,1.0,Rhacophorus_reinwardtii
,1.0,1.0,Polypedates_leucomystax
,1.0,1.0,Polypedates_cruciger
,1.0,1.0,Taruga_eques
,1.0,1.0,Chiromantis_rufescens
,1.0,1.0,Theloderma_stellatum
,1.0,1.0,Nyctixalus_pictus
,1.0,1.0,Buergeria_oxycephala
,1.0,1.0,Hoplobatrachus_tigerinus
,1.0,1.0,Hypopachus_ustum
,1.0,1.0,Hamptophryne_boliviana
,1.0,1.0,Kaloula_pulchra
,1.0,1.0,Dyscophus_guineti
,1.0,1.0,Hemisus_guineensis
,1.0,1.0,Callulina_kreffti
,1.0,1.0,Pipa_pipa
,1.0,1.0,Xenopus_laevis
,1.0,1.0,Xenopus_tropicalis
,1.0,1.0,Bombina_variegata
,1.0,1.0,Bombina_bombina
