species,Cervical,Sacral+Caudal,treeSpecies
,16.0,22.0,Tadorna_tadorna
,16.0,24.0,Tadorna_ferruginea
,15.0,24.0,Dendrocygna_arcuata
,14.8,24.2,Biziura_lobata
,13.0,20.0,Oxyura_leucocephala
,23.0,28.0,Cygnus_cygnus
,22.0,27.0,Cygnus_atratus
,23.33333333,29.0,Cygnus_olor
,17.0,25.0,Anser_cygnoides
,17.0,24.0,Branta_bernicla
,17.5,23.0,Cereopsis_novaehollandiae
,20.0,27.0,Coscoroba_coscoroba
,15.0,21.0,Anas_zonorhyncha
,14.0,22.0,Melanitta_nigra
,15.0,21.0,Mergellus_albellus
,15.0,22.0,Bucephala_clangula
,15.0,22.0,Aythya_marila
,14.0,22.0,Mareca_strepera
,15.5,22.0,Anas_acuta
,15.0,22.5,Anas_platyrhynchos
