species,Cervical,Thoracic+Sacral+Caudal,treeSpecies
,12.0,25.0,Callipepla_californica
,14.0,24.0,Gallus_gallus
,13.0,24.0,Pavo_muticus
,12.0,25.0,Argusianus_argus
,15.0,25.5,Lagopus_lagopus
,12.0,27.0,Lagopus_muta
,14.0,30.5,Tetrao_urogallus
,13.0,28.0,Lyrurus_tetrix_tetrix
,12.0,25.0,Perdix_perdix
,14.0,23.0,Lophura_nycthemera
,13.0,27.0,Chrysolophus_pictus
,13.0,25.5,Phasianus_colchicus
,15.0,27.0,Pternistis_capensis
,13.0,25.0,Coturnix_japonica
,15.0,29.0,Crax_rubra
,14.0,27.0,Penelope_montagnii
,16.0,28.0,Tadorna_tadorna
,16.0,30.0,Tadorna_ferruginea
,15.0,30.0,Dendrocygna_arcuata
,14.8,30.599999999999998,Biziura_lobata
,13.0,26.0,Oxyura_leucocephala
,23.0,33.5,Cygnus_cygnus
,22.0,34.5,Cygnus_atratus
,23.33333333,35.5,Cygnus_olor
,17.0,31.0,Anser_cygnoides
,17.0,31.0,Branta_bernicla
,17.5,29.5,Cereopsis_novaehollandiae
,20.0,34.0,Coscoroba_coscoroba
,15.0,27.0,Anas_zonorhyncha
,14.0,28.0,Melanitta_nigra
,15.0,27.0,Mergellus_albellus
,15.0,28.0,Bucephala_clangula
,15.0,28.0,Aythya_marila
,14.0,29.0,Mareca_strepera
,15.5,29.0,Anas_acuta
,15.0,28.5,Anas_platyrhynchos
