species,Cervical,Thoracic,treeSpecies
,18.25,8.333333333,Dromaius_novaehollandiae
,15.0,9.0,Apteryx_australis
,12.0,6.0,Callipepla_californica
,14.0,6.0,Gallus_gallus
,13.0,6.0,Pavo_muticus
,12.0,8.0,Argusianus_argus
,15.0,6.0,Lagopus_lagopus
,12.0,6.0,Lagopus_muta
,14.0,6.5,Tetrao_urogallus
,13.0,6.0,Lyrurus_tetrix_tetrix
,12.0,6.0,Perdix_perdix
,14.0,5.0,Lophura_nycthemera
,13.0,7.0,Chrysolophus_pictus
,13.0,5.5,Phasianus_colchicus
,15.0,7.0,Pternistis_capensis
,13.0,6.0,Coturnix_japonica
,15.0,7.0,Crax_rubra
,14.0,7.0,Penelope_montagnii
,16.0,6.0,Tadorna_tadorna
,16.0,6.0,Tadorna_ferruginea
,15.0,6.0,Dendrocygna_arcuata
,14.8,6.4,Biziura_lobata
,13.0,6.0,Oxyura_leucocephala
,23.0,5.5,Cygnus_cygnus
,22.0,7.5,Cygnus_atratus
,23.33333333,6.5,Cygnus_olor
,17.0,6.0,Anser_cygnoides
,17.0,7.0,Branta_bernicla
,17.5,6.5,Cereopsis_novaehollandiae
,20.0,7.0,Coscoroba_coscoroba
,15.0,6.0,Anas_zonorhyncha
,14.0,6.0,Melanitta_nigra
,15.0,6.0,Mergellus_albellus
,15.0,6.0,Bucephala_clangula
,15.0,6.0,Aythya_marila
,14.0,7.0,Mareca_strepera
,15.5,7.0,Anas_acuta
,15.0,6.0,Anas_platyrhynchos
,12.0,8.0,Chlamydotis_undulata_undulata
,16.0,5.0,Tachybaptus_ruficollis
,19.0,7.0,Podiceps_cristatus
,13.0,6.0,Columba_palumbus
,12.0,6.0,Ducula_badia
,12.0,6.0,Ptilinopus_magnificus
,12.0,6.0,Ptilinopus_melanospilus
,13.0,5.5,Goura_cristata
,13.0,6.5,Pterocles_orientalis
,12.5,6.0,Burhinus_oedicnemus
,12.66666667,7.0,Haematopus_ostralegus
,12.0,8.0,Vanellus_vanellus
,12.0,7.0,Pluvialis_squatarola
,13.0,6.0,Pluvialis_apricaria
,14.0,7.0,Fratercula_arctica
,14.0,6.666666667,Uria_aalge
,14.0,7.0,Chroicocephalus_ridibundus
,13.0,6.0,Sterna_paradisaea
,13.0,7.0,Sterna_hirundo
,13.0,6.0,Rynchops_niger
,12.5,8.0,Alca_torda
,12.0,6.0,Glareola_pratincola
,14.0,6.5,Numenius_arquata
,12.0,7.5,Limosa_lapponica
,14.0,8.0,Tringa_nebularia
,10.0,6.0,Arenaria_interpres
,13.0,6.0,Calidris_canutus
,13.5,8.0,Calidris_pugnax
,13.33333333,6.0,Scolopax_rusticola
,13.5,7.0,Gallinago_gallinago
,15.0,7.0,Jacana_spinosa
,13.0,7.0,Attagis_gayi
,11.0,7.0,Gavia_stellata
,15.66666667,5.5,Ciconia_ciconia
,19.0,5.0,Pelecanus_conspicillatus
,15.0,6.0,Plegadis_falcinellus
,16.0,6.0,Platalea_leucorodia
,16.0,7.0,Threskiornis_melanocephalus
,13.0,7.5,Diomedea_exulans
,12.0,8.0,Macronectes_giganteus
,11.0,6.0,Oceanites_oceanicus
,13.0,8.5,Aptenodytes_forsteri
,12.0,7.0,Eudyptes_schlegeli
,13.0,8.0,Spheniscus_humboldti
,13.0,7.5,Eudyptula_minor
,16.0,8.0,Psophia_viridis
,14.0,8.0,Fulica_atra
,13.5,8.5,Gallinula_chloropus
,11.0,5.0,Melopsittacus_undulatus
,11.0,7.0,Arremon_semitorquatus
,12.0,6.0,Chlorophonia_cyanocephala
,12.0,7.0,Catharus_minimus
,11.0,6.0,Chloris_sinica
,12.0,7.0,Orthogonys_chloricterus
,12.0,5.0,Motacilla_alba_alba
,11.0,6.0,Hemithraupis_flavicollis
,12.0,6.0,Trichothraupis_melanops
,12.0,6.0,Parkerthraustes_humeralis
,12.0,6.0,Neothraupis_fasciata
,11.0,6.0,Thraupis_ornata
,11.0,6.0,Tangara_seledon
,11.0,6.0,Saltator_coerulescens
,12.0,6.0,Cissa_thalassina
,12.0,6.0,Pica_pica
,11.0,7.0,Nucifraga_caryocatactes
,12.0,6.0,Coloeus_monedula
,11.0,6.0,Corvus_frugilegus
,12.5,6.0,Corvus_corone
,11.5,7.0,Corvus_corax
,11.0,6.0,Parus_major
,11.0,5.5,Alauda_arvensis
,12.0,6.0,Hirundo_rustica
,13.0,6.0,Heteralocha_acutirostris
,12.0,6.0,Pyrrhocorax_graculus
,13.0,6.0,Cariama_cristata
,13.5,6.0,Accipiter_gentilis
,12.0,5.0,Otus_sunia
,12.66666667,5.5,Upupa_epops
,2.0,20.0,Alligator_mississippiensis
,3.0,22.0,Crocodylus_siamensis
,8.0,10.0,Podocnemis_expansa
,8.0,7.0,Pelusios_castaneus
,8.0,9.0,Chelus_fimbriata
,8.0,10.0,Pelodiscus_sinensis
,8.0,9.5,Apalone_spinifera
,8.0,9.0,Pelochelys_bibroni
,8.0,9.0,Carettochelys_insculpta
,8.0,10.0,Trachemys_scripta
,8.0,10.0,Chrysemys_picta
,8.0,10.0,Emys_orbicularis
,8.0,10.0,Terrapene_ornata
,8.0,9.0,Clemmys_guttata
,8.0,9.0,Glyptemys_muhlenbergii
,8.0,10.0,Platysternon_megacephalum
,8.0,10.0,Gopherus_polyphemus
,8.0,9.0,Testudo_graeca
,8.0,8.0,Chelonoidis_niger
,8.0,9.0,Chelonoidis_carbonarius
,8.0,10.0,Caretta_caretta
,8.0,10.0,Lepidochelys_kempii
,8.0,10.0,Eretmochelys_imbricata
,8.0,9.5,Chelonia_mydas
,7.5,9.5,Dermochelys_coriacea
,8.0,9.0,Chelydra_serpentina
,8.0,9.0,Macrochelys_temminckii
,8.0,10.0,Kinosternon_flavescens
,8.0,10.0,Kinosternon_sonoriense
,8.0,8.0,Kinosternon_integrum
