species,Lumbar,Sacral,treeSpecies
,6.0,2.0,Thylacinus_cynocephalus
,6.0,3.0,Myrmecobius_fasciatus
,6.0,3.0,Antechinus_flavipes
,6.0,2.0,Dasyurus_hallucatus
,6.0,2.0,Perameles_nasuta
,6.0,2.0,Phalanger_orientalis
,6.0,2.0,Macropus_rufogriseus
,6.0,2.0,Hypsiprymnodon_moschatus
,4.0,4.0,Vombatus_ursinus
,6.0,2.0,Monodelphis_domestica
,6.0,1.0,Didelphis_virginiana
,6.0,3.0,Sorex_minutus
,5.5,3.5,Erinaceus_europaeus
,6.0,5.0,Talpa_europaea
,7.0,2.0,Paradoxurus_hermaphroditus
,7.0,3.0,Genetta_genetta
,7.0,4.0,Crocuta_crocuta
,7.0,2.0,Herpestes_ichneumon
,7.0,2.0,Felis_catus
,7.0,3.0,Panthera_leo
,7.0,3.0,Panthera_pardus
,7.0,3.0,Vulpes_vulpes
,6.0,3.0,Odobenus_rosmarus
,5.0,4.0,Phoca_groenlandica
,5.0,3.0,Taxidea_taxus
,6.0,3.0,Martes_zibellina
,6.0,2.0,Mustela_nivalis
,6.0,2.0,Mustela_erminea
,4.0,4.0,Mellivora_capensis
,6.0,2.0,Potos_flavus
,5.0,5.0,Equus_caballus
,6.0,5.0,Equus_zebra
,3.0,4.0,Dicerorhinus_sumatrensis
,4.0,6.0,Hippopotamus_amphibius
,11.0,0.0,Orcinus_orca
,5.0,5.0,Moschus_moschiferus
,6.0,4.0,Tetracerus_quadricornis
,6.0,5.0,Bos_taurus
,5.0,4.0,Bison_bonasus
,6.0,4.0,Gazella_dorcas
,6.0,4.0,Hippotragus_equinus
,6.0,4.0,Connochaetes_gnou
,6.0,4.0,Ovis_ammon
,6.0,4.0,Alces_alces
,5.0,4.5,Rangifer_tarandus
,6.0,4.0,Giraffa_camelopardalis
,6.0,4.0,Tragulus_napu
,6.0,4.0,Tragulus_javanicus
,5.0,2.0,Phacochoerus_aethiopicus
,5.75,4.0,Sus_scrofa
,6.0,5.0,Tayassu_pecari
,7.0,5.0,Vicugna_pacos
,7.0,4.0,Oryctolagus_cuniculus
,7.0,3.0,Lepus_timidus
,7.0,4.0,Sciurus_vulgaris
,7.0,3.0,Marmota_marmota
,6.0,2.0,Rattus_fuscipes
,6.0,4.0,Mus_musculus
,7.0,2.0,Hydromys_chrysogaster
,7.0,3.0,Pedetes_capensis
,8.0,4.0,Castor_canadensis
,4.0,4.0,Hystrix_cristata
,5.0,3.0,Hystrix_brachyura
,6.0,4.0,Myocastor_coypus
,6.0,3.0,Chinchilla_lanigera
,6.5,4.0,Myoprocta_acouchy
,6.0,2.0,Hydrochoerus_hydrochaeris
,6.0,3.5,Cavia_porcellus
,6.0,3.0,Callithrix_jacchus
,6.0,3.0,Cebus_capucinus
,7.0,3.0,Saimiri_sciureus
,4.0,3.0,Ateles_paniscus
,4.0,3.0,Ateles_belzebuth
,7.0,1.0,Cercopithecus_mona
,7.0,3.0,Macaca_radiata
,7.0,3.0,Macaca_mulatta
,7.0,3.0,Macaca_nemestrina
,5.0,5.0,Pongo_pygmaeus
,5.0,5.0,Homo_sapiens
,4.0,6.0,Pan_troglodytes
,9.0,4.0,Indri_indri
,8.0,6.0,Orycteropus_afer
,3.0,5.0,Loxodonta_africana
,3.0,3.0,Elephas_maximus
,5.0,8.0,Dasypus_novemcinctus
,3.0,6.0,Bradypus_tridactylus
,3.0,8.0,Choloepus_didactylus
,3.0,3.0,Tachyglossus_aculeatus
,2.0,2.0,Ornithorhynchus_anatinus
