species,Sacral,Caudal,treeSpecies
,2.0,23.0,Thylacinus_cynocephalus
,3.0,22.0,Myrmecobius_fasciatus
,3.0,23.0,Antechinus_flavipes
,2.0,20.0,Dasyurus_hallucatus
,2.0,19.0,Perameles_nasuta
,2.0,25.0,Phalanger_orientalis
,2.0,22.0,Macropus_rufogriseus
,2.0,24.0,Hypsiprymnodon_moschatus
,4.0,10.0,Vombatus_ursinus
,2.0,19.5,Monodelphis_domestica
,1.0,17.0,Didelphis_virginiana
,3.0,15.0,Sorex_minutus
,3.5,12.5,Erinaceus_europaeus
,5.0,10.0,Talpa_europaea
,2.0,33.0,Paradoxurus_hermaphroditus
,3.0,28.0,Genetta_genetta
,4.0,19.0,Crocuta_crocuta
,2.0,27.0,Herpestes_ichneumon
,2.0,22.0,Felis_catus
,3.0,23.0,Panthera_leo
,3.0,23.0,Panthera_pardus
,3.0,22.0,Vulpes_vulpes
,3.0,9.0,Odobenus_rosmarus
,4.0,8.0,Phoca_groenlandica
,3.0,18.0,Taxidea_taxus
,3.0,18.0,Martes_zibellina
,2.0,18.0,Mustela_nivalis
,2.0,18.0,Mustela_erminea
,4.0,15.0,Mellivora_capensis
,2.0,31.0,Potos_flavus
,5.0,17.0,Equus_caballus
,5.0,17.0,Equus_zebra
,4.0,22.0,Dicerorhinus_sumatrensis
,6.0,13.0,Hippopotamus_amphibius
,0.0,24.0,Orcinus_orca
,5.0,6.0,Moschus_moschiferus
,4.0,12.0,Tetracerus_quadricornis
,5.0,21.0,Bos_taurus
,4.0,17.0,Bison_bonasus
,4.0,14.0,Gazella_dorcas
,4.0,14.0,Hippotragus_equinus
,4.0,15.0,Connochaetes_gnou
,4.0,10.0,Ovis_ammon
,4.0,11.0,Alces_alces
,4.5,11.0,Rangifer_tarandus
,4.0,20.0,Giraffa_camelopardalis
,4.0,13.0,Tragulus_napu
,4.0,11.0,Tragulus_javanicus
,2.0,23.0,Phacochoerus_aethiopicus
,4.0,21.5,Sus_scrofa
,5.0,6.0,Tayassu_pecari
,5.0,12.0,Vicugna_pacos
,4.0,10.0,Oryctolagus_cuniculus
,3.0,16.0,Lepus_timidus
,4.0,21.0,Sciurus_vulgaris
,3.0,23.0,Marmota_marmota
,2.0,28.0,Rattus_fuscipes
,4.0,30.0,Mus_musculus
,2.0,30.0,Hydromys_chrysogaster
,3.0,29.0,Pedetes_capensis
,4.0,25.0,Castor_canadensis
,4.0,12.0,Hystrix_cristata
,3.0,15.0,Hystrix_brachyura
,4.0,21.0,Myocastor_coypus
,3.0,23.0,Chinchilla_lanigera
,4.0,14.0,Myoprocta_acouchy
,2.0,8.0,Hydrochoerus_hydrochaeris
,3.5,5.5,Cavia_porcellus
,3.0,19.0,Callithrix_jacchus
,3.0,23.0,Cebus_capucinus
,3.0,24.0,Saimiri_sciureus
,3.0,30.0,Ateles_paniscus
,3.0,31.0,Ateles_belzebuth
,1.0,28.0,Cercopithecus_mona
,3.0,22.0,Macaca_radiata
,3.0,15.0,Macaca_mulatta
,3.0,17.0,Macaca_nemestrina
,5.0,3.0,Pongo_pygmaeus
,5.0,4.0,Homo_sapiens
,6.0,2.0,Pan_troglodytes
,4.0,9.0,Indri_indri
,6.0,25.0,Orycteropus_afer
,5.0,20.0,Loxodonta_africana
,3.0,31.0,Elephas_maximus
,8.0,16.0,Dasypus_novemcinctus
,6.0,11.0,Bradypus_tridactylus
,8.0,4.0,Choloepus_didactylus
,3.0,12.0,Tachyglossus_aculeatus
,2.0,20.0,Ornithorhynchus_anatinus
