species,Thoracic,Caudal,treeSpecies
,21.0,19.0,Andrias_japonicus
,18.0,15.0,Cryptobranchus_alleganiensis
,13.0,30.0,Ambystoma_talpoideum
,15.5,29.0,Ambystoma_mexicanum
,15.0,36.5,Ambystoma_tigrinum
,14.0,29.0,Ambystoma_maculatum
,15.0,38.0,Ambystoma_jeffersonianum
,15.0,39.0,Ambystoma_macrodactylum
,16.0,33.0,Ambystoma_texanum
,14.0,29.0,Ambystoma_opacum
,14.0,16.0,Salamandra_salamandra
,12.0,38.3,Pleurodeles_waltl
,14.0,36.0,Cynops_pyrrhogaster
,12.0,32.0,Taricha_torosa
,60.0,34.0,Amphiuma_means
,19.0,35.0,Plethodon_cinereus
,17.0,32.0,Eurycea_sosorum
,14.0,28.0,Eurycea_waterlooensis
,17.0,25.0,Rhyacotriton_olympicus
,18.0,23.0,Necturus_maculosus
,9.0,3.0,Leiopelma_hochstetteri
,8.0,3.0,Ascaphus_truei
,7.0,3.0,Megophrys_feae
,7.0,2.0,Pelobates_fuscus
,7.0,3.0,Ceratophrys_ornata
,7.0,3.0,Rhinella_marina
,7.0,3.0,Rhinella_margaritifera
,7.0,3.0,Anaxyrus_woodhousii
,7.0,3.0,Anaxyrus_microscaphus
,7.0,3.0,Anaxyrus_cognatus
,7.0,2.5,Bufo_bufo
,7.0,3.0,Osteopilus_septentrionalis
,7.0,3.0,Dryophytes_gratiosus
,7.0,3.0,Dryophytes_japonicus
,7.0,3.0,Boana_boans
,7.0,3.0,Agalychnis_moreletii
,7.0,3.0,Ischnocnema_guentheri
,7.0,3.0,Brachycephalus_albolineatus
,7.0,3.0,Pristimantis_pulvinatus
,7.0,3.0,Haddadus_binotatus
,7.0,3.0,Eleutherodactylus_gossei
,7.0,3.0,Pyxicephalus_adspersus
,7.0,3.0,Lithobates_clamitans_melanotus
,7.0,3.0,Lithobates_pipiens
,7.0,3.0,Rana_temporaria
,7.0,2.0,Rana_dalmatina
,7.0,3.0,Sylvirana_guentheri
,7.0,3.0,Pelophylax_lessonae
,7.0,3.0,Boophis_albilabris
,7.0,3.0,Raorchestes_signatus
,7.0,3.0,Pseudophilautus_microtympanum
,7.0,3.0,Kurixalus_idiootocus
,7.0,3.0,Rhacophorus_reinwardtii
,7.0,3.0,Polypedates_leucomystax
,7.0,3.0,Polypedates_cruciger
,7.0,3.0,Taruga_eques
,7.0,3.0,Chiromantis_rufescens
,7.0,3.0,Theloderma_stellatum
,7.0,3.0,Nyctixalus_pictus
,7.0,3.0,Buergeria_oxycephala
,7.0,3.0,Hoplobatrachus_tigerinus
,7.0,3.0,Hypopachus_ustum
,7.0,3.0,Hamptophryne_boliviana
,7.0,3.0,Kaloula_pulchra
,7.0,3.0,Dyscophus_guineti
,7.0,3.0,Hemisus_guineensis
,7.0,3.0,Callulina_kreffti
,6.0,3.0,Pipa_pipa
,7.0,4.0,Xenopus_laevis
,7.0,3.0,Xenopus_tropicalis
,7.0,2.0,Bombina_variegata
,7.0,2.0,Bombina_bombina
,7.0,3.0,Discoglossus_pictus
