species,Thoracic,Lumbar,treeSpecies
,13.0,6.0,Thylacinus_cynocephalus
,13.0,6.0,Myrmecobius_fasciatus
,13.0,6.0,Antechinus_flavipes
,13.0,6.0,Dasyurus_hallucatus
,13.0,6.0,Perameles_nasuta
,13.0,6.0,Phalanger_orientalis
,13.0,6.0,Macropus_rufogriseus
,13.0,6.0,Hypsiprymnodon_moschatus
,15.0,4.0,Vombatus_ursinus
,14.0,6.0,Monodelphis_domestica
,13.0,6.0,Didelphis_virginiana
,14.0,6.0,Sorex_minutus
,15.0,5.5,Erinaceus_europaeus
,13.0,6.0,Talpa_europaea
,13.0,7.0,Paradoxurus_hermaphroditus
,13.0,7.0,Genetta_genetta
,15.0,7.0,Crocuta_crocuta
,13.0,7.0,Herpestes_ichneumon
,13.0,7.0,Felis_catus
,13.0,7.0,Panthera_leo
,13.0,7.0,Panthera_pardus
,13.0,7.0,Vulpes_vulpes
,14.0,6.0,Odobenus_rosmarus
,15.0,5.0,Phoca_groenlandica
,15.0,5.0,Taxidea_taxus
,14.0,6.0,Martes_zibellina
,14.0,6.0,Mustela_nivalis
,14.0,6.0,Mustela_erminea
,14.0,4.0,Mellivora_capensis
,14.0,6.0,Potos_flavus
,19.0,5.0,Equus_caballus
,18.0,6.0,Equus_zebra
,19.0,3.0,Dicerorhinus_sumatrensis
,15.0,4.0,Hippopotamus_amphibius
,11.0,11.0,Orcinus_orca
,14.0,5.0,Moschus_moschiferus
,13.0,6.0,Tetracerus_quadricornis
,13.0,6.0,Bos_taurus
,14.0,5.0,Bison_bonasus
,13.0,6.0,Gazella_dorcas
,14.0,6.0,Hippotragus_equinus
,14.0,6.0,Connochaetes_gnou
,13.0,6.0,Ovis_ammon
,13.0,6.0,Alces_alces
,14.0,5.0,Rangifer_tarandus
,14.0,6.0,Giraffa_camelopardalis
,13.0,6.0,Tragulus_napu
,13.0,6.0,Tragulus_javanicus
,13.0,5.0,Phacochoerus_aethiopicus
,14.25,5.75,Sus_scrofa
,14.0,6.0,Tayassu_pecari
,12.0,7.0,Vicugna_pacos
,12.0,7.0,Oryctolagus_cuniculus
,12.0,7.0,Lepus_timidus
,12.0,7.0,Sciurus_vulgaris
,12.0,7.0,Marmota_marmota
,13.0,6.0,Rattus_fuscipes
,13.0,6.0,Mus_musculus
,14.0,7.0,Hydromys_chrysogaster
,12.0,7.0,Pedetes_capensis
,11.0,8.0,Castor_canadensis
,15.0,4.0,Hystrix_cristata
,14.0,5.0,Hystrix_brachyura
,13.0,6.0,Myocastor_coypus
,13.0,6.0,Chinchilla_lanigera
,13.0,6.5,Myoprocta_acouchy
,13.0,6.0,Hydrochoerus_hydrochaeris
,13.5,6.0,Cavia_porcellus
,13.0,6.0,Callithrix_jacchus
,13.0,6.0,Cebus_capucinus
,13.0,7.0,Saimiri_sciureus
,13.0,4.0,Ateles_paniscus
,14.0,4.0,Ateles_belzebuth
,12.0,7.0,Cercopithecus_mona
,12.0,7.0,Macaca_radiata
,12.0,7.0,Macaca_mulatta
,12.0,7.0,Macaca_nemestrina
,12.0,5.0,Pongo_pygmaeus
,12.0,5.0,Homo_sapiens
,13.0,4.0,Pan_troglodytes
,12.0,9.0,Indri_indri
,13.0,8.0,Orycteropus_afer
,20.5,3.0,Loxodonta_africana
,20.0,3.0,Elephas_maximus
,10.0,5.0,Dasypus_novemcinctus
,16.0,3.0,Bradypus_tridactylus
,23.0,3.0,Choloepus_didactylus
,16.0,3.0,Tachyglossus_aculeatus
,17.0,2.0,Ornithorhynchus_anatinus
