Class,Order,Family,Species,Common name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal,Annotation 1,Annotation 2,Annotation 3,Reference 1,Reference 2,Reference 3,Reference 4
Amphibia,Urodela,Cryptobranchidae,Andrias japonicus,Japanese Giant Salamander,166789,1,21,0,1,19,https://ctseibutsu.jp/ex/giant_salamander.html,,,ctseibutsu,,,
Amphibia,Urodela,Cryptobranchidae,Cryptobranchus alleganiensis,Hellbender salamander,43048,1,18,0,1,15,Owens calls them Menopoma alleghaniense but see https://en.wikipedia.org/wiki/Hellbender and https://amphibiaweb.org/cgi/amphib_query?where-genus=Cryptobranchus&where-species=alleganiensis,,,Owen R. 1853. Descriptive catalogue of the osteological series contained in the museum of the Royal College of Surgeons of England. London: Royal College of Surgeons.,,,
Amphibia,Urodela,Ambystomatidae,Ambystoma talpoideum,Mole salamander,8306,1,13,0,1,30,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Ambystomatidae,Ambystoma mexicanum,Axolotl,8296,1.5,15.5,0,1,29, thoracolumbar I take the dominant value of 19 for the precaudal and the (rough average) of 29 for the caudal,,,"Matsubara, Yoshiyuki, et al. ""Anatomical integration of the sacral–hindlimb unit coordinated by GDF11 underlies variation in hindlimb positioning in tetrapods."" Nature Ecology & Evolution 1.9 (2017): 1392-1399.","Ackerly, Kerri L., and Andrea B. Ward. ""Linking vertebral number to performance of aquatic escape responses in the axolotl (Ambystoma mexicanum)."" Zoology 118.6 (2015): 394-402.",,
Amphibia,Urodela,Ambystomatidae,Ambystoma tigrinum,Tiger salamander,8305,1,15,0,1,36.5, http://digimorph.org/specimens/Ambystoma_tigrinum/whole/ , using the CT scanned image they said essentially all specimens have ribs on all trunk vertebrae a bit difficulto to resolve the very end of the tail so maybe missed one or two,they calld it Ambystoma tigrinum tigrinum,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",Digimorph: Texas Memorial Museum (TNHC 17991),,
Amphibia,Urodela,Ambystomatidae,Ambystoma maculatum,Spotted salamander,43114,1,14,0,1,29,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Ambystomatidae,Ambystoma jeffersonianum,Jefferson salamander,8297,1,15,0,1,38,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Ambystomatidae,Ambystoma macrodactylum,Long-toed salamander,43111,1,15,0,1,39,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Ambystomatidae,Ambystoma texanum,Smallmouth salamander,8304,1,16,0,1,33,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Ambystomatidae,Ambystoma opacum,Marbled salamander,43115,1,14,0,1,29,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Salamandridae,Salamandra salamandra,Fire salamander,57571,1,14,0,1,16,https://portal.idigbio.org/portal/records/3c7165c6-f5e8-49e2-b0f1-2353cb898e60,,,IDigBio: Yale Peabody Museum YPM HERA 006016,,,
Amphibia,Urodela,Salamandridae,Pleurodeles waltl,Iberian ribbed newt,8319,1,12,0,1,38.3,from the appendix table where the modal of the trunk 14 and the mean caudal 38.3 are given from an earlier reference,,,"Arntzen, Jan W., et al. ""Vertebral number is highly evolvable in salamanders and newts (family Salamandridae) and variably associated with climatic parameters."" Contributions to Zoology 84.2 (2015): 85-113.",,,
Amphibia,Urodela,Salamandridae,Cynops pyrrhogaster,Japanese Firebelly Newt,8330,1,14,0,1,36,https://ctseibutsu.jp/ex/newt.html,the caudal bones at the end are not so clear,,ctseibutsu,,,
Amphibia,Urodela,Salamandridae,Taricha torosa,California newt,36314,1,12,0,1,32,http://digimorph.org/specimens/Taricha_torosa/whole/,,,Digimorph: Texas Memorial Museum (TNHC 19196),,,
Amphibia,Urodela,Amphiumidae,Amphiuma means,Two-toed amphiuma,8312,1,60,0,1,34,using the picture,,,"de Panafieu J-B, Gries P (2007) Evolution [in action]. Thames and Hudson, London",,,
Amphibia,Urodela,Plethodontidae,Plethodon cinereus,Red-backed salamander,141976,1,19,0,1,35,https://sketchfab.com/3d-models/plethodon-cinereus-uf43538-030857e90f78478cb86cc24a66ffff0c,,,Blackburn lab: UF43538,,,
Amphibia,Urodela,Plethodontidae,Eurycea sosorum,Barton Springs salamander,147901,1,17,0,2,32,http://digimorph.org/specimens/Eurycea_sosorum/whole/,,,Digimorph: Texas Memorial Museum (TNHC 50916),,,
Amphibia,Urodela,Plethodontidae,Eurycea waterlooensis,Austin blind salamander,148412,1,14,0,1,28,http://digimorph.org/specimens/Eurycea_waterlooensis/whole/,,,"Digimorph: Texas Memorial Museum (TNHC 60202), paratype",,,
Amphibia,Urodela,Rhyacotritonidae,Rhyacotriton olympicus,Olympic salamander,43569,1,17,0,1,25,they said essentially all specimens have ribs on all trunk vertebrae,,,"Stokely, Paul S., and Paul A. Holle. “Variation in the Vertebral Axis of the Ambystomidae.” Herpetologica, vol. 9, no. 3, 1953, pp. 133–38.",,,
Amphibia,Urodela,Proteidae,Necturus maculosus,Mudpuppy,42757,1,18,0,2,23,https://portal.idigbio.org/portal/records/2dc15d19-da0c-4518-9e8b-073832b2938a,the caudal bones were difficult to count,,IDigBio: Yale Peabody Museum YPM HERA 020270,,,
Amphibia,Anura,Leiopelmatidae,Leiopelma hochstetteri,Hochstetter's Frog,51644,1,9,0,1,3,http://digimorph.org/specimens/Leiopelma_hochstetteri/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: University of Michigan Museum of Zoology (UMMZ 146857),,,
Amphibia,Anura,Ascaphidae,Ascaphus truei,Tailed frog,8439,1,8,0,1,3,http://digimorph.org/specimens/Ascaphus_truei/adult/,assuming that Rockova is correct that all Anura have 3 fused caudal,,Digimorph: University of Michigan Museum of Zoology (UMMZ 133050),,,
Amphibia,Anura,Megophryidae,Megophrys feae,Kakhien Hills spadefoot toad,233775,1,7,0,1,3,https://portal.idigbio.org/portal/records/8283d21c-3f7c-41b5-8e07-ea4b0486bb47,assuming that Rockova is correct that all Anura have 3 fused caudal,had homotypic synonym Brachytarsophrys feae,IDigBio: Yale Peabody Museum YPM HERA 010814,,,
